s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 2.1343959E-001, 5.5029618E-002, 4.8066908E-005, 1.0000000E+000, 3.4185534E+001, 1.1000000E+001, 7.8129522E-009, 8.4139798E-002
 2.1476423E-001, 5.4995593E-002, 4.8525128E-005, 1.0000000E+000, 3.4842353E+001, 1.1000000E+001, 7.8933469E-009, 8.4145069E-002
 2.1608887E-001, 5.4961425E-002, 4.8985597E-005, 1.0000000E+000, 3.5477687E+001, 1.1000000E+001, 7.9741673E-009, 8.4150270E-002
 2.1741350E-001, 5.4927078E-002, 4.9448224E-005, 1.0000000E+000, 3.6147853E+001, 1.1000000E+001, 8.0554057E-009, 8.4155410E-002
 2.1873814E-001, 5.4892551E-002, 4.9912988E-005, 1.0000000E+000, 3.6764407E+001, 1.1000000E+001, 8.1370603E-009, 8.4160492E-002
 2.2006278E-001, 5.4857845E-002, 4.4278352E-005, 1.0000000E+000, 3.7588874E+001, 1.2000000E+001, 5.9329393E-010, 8.2805953E-002
 2.2138742E-001, 5.4874260E-002, 4.4635644E-005, 1.0000000E+000, 3.8066058E+001, 1.2000000E+001, 5.9915940E-010, 8.2818308E-002
 2.2271206E-001, 5.4839207E-002, 4.5048761E-005, 1.0000000E+000, 3.8370433E+001, 1.2000000E+001, 6.0532740E-010, 8.2824942E-002
 2.2403669E-001, 5.4704262E-002, 4.5359239E-005, 1.0000000E+000, 3.8787696E+001, 1.2000000E+001, 6.1100677E-010, 8.2842267E-002
 2.2536133E-001, 5.4667497E-002, 4.5774653E-005, 1.0000000E+000, 3.9134043E+001, 1.2000000E+001, 6.1723327E-010, 8.2848843E-002
 2.2668597E-001, 5.4631432E-002, 4.6192878E-005, 1.0000000E+000, 3.9429698E+001, 1.2000000E+001, 6.2349660E-010, 8.2855258E-002
 2.2801061E-001, 5.4595199E-002, 4.6612835E-005, 1.0000000E+000, 3.9777514E+001, 1.2000000E+001, 6.2979162E-010, 8.2861626E-002
 2.2933525E-001, 5.4558789E-002, 4.7034492E-005, 1.0000000E+000, 4.0091101E+001, 1.2000000E+001, 6.3611815E-010, 8.2867951E-002
 2.3065989E-001, 5.4522203E-002, 4.7457831E-005, 1.0000000E+000, 4.0403380E+001, 1.2000000E+001, 6.4247605E-010, 8.2874235E-002
 2.3198452E-001, 5.4485440E-002, 4.7882832E-005, 1.0000000E+000, 4.1160071E+001, 1.2000000E+001, 6.4886519E-010, 8.2880479E-002
 2.3330916E-001, 5.4448502E-002, 4.8309480E-005, 1.0000000E+000, 4.1467658E+001, 1.2000000E+001, 6.5528546E-010, 8.2886686E-002
 2.3463380E-001, 5.4411388E-002, 4.8737756E-005, 1.0000000E+000, 4.1808226E+001, 1.2000000E+001, 6.6173673E-010, 8.2892857E-002
 2.3595844E-001, 5.4374101E-002, 4.9167646E-005, 1.0000000E+000, 4.2163111E+001, 1.2000000E+001, 6.6821891E-010, 8.2898995E-002
 2.3728308E-001, 5.4336640E-002, 4.9599134E-005, 1.0000000E+000, 4.2458686E+001, 1.2000000E+001, 6.7473189E-010, 8.2905100E-002
 2.3860771E-001, 5.4299006E-002, 4.1952914E-005, 1.0000000E+000, 4.2788321E+001, 1.2000000E+001, 6.6786132E-010, 8.2546211E-002
 2.3993235E-001, 5.4322685E-002, 4.2264014E-005, 1.0000000E+000, 4.3534209E+001, 1.2000000E+001, 6.7330672E-010, 8.2551125E-002
 2.4112268E-001, 5.4347940E-002, 4.5690627E-005, 1.0000000E+000, 4.3976790E+001, 1.2000000E+001, 6.9369700E-010, 8.2923592E-002
 2.4231301E-001, 5.4198885E-002, 4.6058529E-005, 1.0000000E+000, 4.4354163E+001, 1.2000000E+001, 6.9976006E-010, 8.2927717E-002
 2.4350334E-001, 5.4164645E-002, 4.6413321E-005, 1.0000000E+000, 4.4704009E+001, 1.2000000E+001, 7.0574529E-010, 8.2933048E-002
 2.4469367E-001, 5.4130133E-002, 4.6769044E-005, 1.0000000E+000, 4.5000006E+001, 1.2000000E+001, 7.1175414E-010, 8.2938378E-002
 2.4588400E-001, 5.4095482E-002, 4.7125831E-005, 1.0000000E+000, 4.5326285E+001, 1.2000000E+001, 7.1778731E-010, 8.2943692E-002
 2.4707433E-001, 5.4060695E-002, 4.7483674E-005, 1.0000000E+000, 4.5623439E+001, 1.2000000E+001, 7.2384473E-010, 8.2948992E-002
 2.4826466E-001, 5.4025772E-002, 4.7842561E-005, 1.0000000E+000, 4.6244410E+001, 1.2000000E+001, 7.2992637E-010, 8.2954278E-002
 2.4945499E-001, 5.3990712E-002, 4.8202482E-005, 1.0000000E+000, 4.6584670E+001, 1.2000000E+001, 7.3603217E-010, 8.2959552E-002
 2.5064532E-001, 5.3955518E-002, 4.8563428E-005, 1.0000000E+000, 4.6893275E+001, 1.2000000E+001, 7.4216211E-010, 8.2964815E-002
 2.5183564E-001, 5.3920188E-002, 4.8925390E-005, 1.0000000E+000, 4.7229510E+001, 1.2000000E+001, 7.4831615E-010, 8.2970068E-002
