s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 2.6244369E-001, 5.4055801E-002, 0.0000000E+000, 1.0000000E+000, 1.3052022E+002
 2.6363393E-001, 5.4022435E-002, 0.0000000E+000, 1.0000000E+000, 1.3164019E+002
 2.6482416E-001, 5.3988947E-002, 0.0000000E+000, 1.0000000E+000, 1.3216843E+002
 2.6601440E-001, 5.3955338E-002, 0.0000000E+000, 1.0000000E+000, 1.3321210E+002
 2.6720463E-001, 5.3921607E-002, 0.0000000E+000, 1.0000000E+000, 1.3430726E+002
 2.6839487E-001, 5.3887755E-002, 0.0000000E+000, 1.0000000E+000, 1.3477917E+002
 2.6958510E-001, 5.3853782E-002, 2.7755576E-017, 1.0000000E+000, 1.3587664E+002
 2.7077534E-001, 5.3819689E-002, 2.7755576E-017, 1.0000000E+000, 1.3634531E+002
 2.7315581E-001, 5.3768310E-002, 2.7755576E-017, 1.0000000E+000, 1.3767373E+002
 2.7434604E-001, 5.3716692E-002, 2.7755576E-017, 1.0000000E+000, 1.3904299E+002
 2.7672651E-001, 5.3664776E-002, 2.7755576E-017, 1.0000000E+000, 1.4035095E+002
 2.7886239E-001, 5.3607689E-002, 2.7755576E-017, 1.0000000E+000, 1.4208242E+002
 2.8099828E-001, 5.3544903E-002, 2.7755576E-017, 1.0000000E+000, 1.4365371E+002
 2.8206622E-001, 5.3497577E-002, 2.7755576E-017, 1.0000000E+000, 1.4500124E+002
 2.8420210E-001, 5.3450016E-002, 2.7755576E-017, 1.0000000E+000, 1.4640552E+002
 2.8633798E-001, 5.3386289E-002, 2.7755576E-017, 1.0000000E+000, 1.4801199E+002
 2.8847387E-001, 5.3322190E-002, 2.7755576E-017, 1.0000000E+000, 1.4962384E+002
 2.9060975E-001, 5.3257721E-002, 2.7755576E-017, 1.0000000E+000, 1.5119227E+002
 2.9274563E-001, 5.3192884E-002, 2.7755576E-017, 1.0000000E+000, 1.5275751E+002
 2.9488152E-001, 5.3127681E-002, 2.7755576E-017, 1.0000000E+000, 1.5436667E+002
 2.9701740E-001, 5.3062113E-002, 2.7755576E-017, 1.0000000E+000, 1.5593721E+002
 2.9808534E-001, 5.3012711E-002, 2.7755576E-017, 1.0000000E+000, 1.5731684E+002
 3.0022122E-001, 5.2963084E-002, 2.7755576E-017, 1.0000000E+000, 1.5862008E+002
 3.0235711E-001, 5.2896616E-002, 2.7755576E-017, 1.0000000E+000, 1.6028702E+002
 3.0449299E-001, 5.2829791E-002, 2.7755576E-017, 1.0000000E+000, 1.6185618E+002
 3.0662887E-001, 5.2762612E-002, 2.7755576E-017, 1.0000000E+000, 1.6342171E+002
 3.0876476E-001, 5.2695080E-002, 2.7755576E-017, 1.0000000E+000, 1.6503407E+002
 3.1090064E-001, 5.2627198E-002, 2.7755576E-017, 1.0000000E+000, 1.6664665E+002
 3.1303652E-001, 5.2558967E-002, 2.7755576E-017, 1.0000000E+000, 1.6821583E+002
 3.1410446E-001, 5.2507578E-002, 2.7755576E-017, 1.0000000E+000, 1.6952959E+002
 3.1624035E-001, 5.2455974E-002, 2.7755576E-017, 1.0000000E+000, 1.7086074E+002
 3.1837623E-001, 5.2386883E-002, 2.7755576E-017, 1.0000000E+000, 1.7243213E+002
 3.2040384E-001, 5.2323391E-002, 2.7755576E-017, 1.0000000E+000, 1.7425109E+002
 3.2232318E-001, 5.2263621E-002, 2.7755576E-017, 1.0000000E+000, 1.7591749E+002
 3.2424252E-001, 5.2200707E-002, 2.7755576E-017, 1.0000000E+000, 1.7748916E+002
 3.2616185E-001, 5.2137522E-002, 2.7755576E-017, 1.0000000E+000, 1.7906004E+002
 3.2808119E-001, 5.2074069E-002, 2.7755576E-017, 1.0000000E+000, 1.8062835E+002
 3.3000053E-001, 5.2010348E-002, 2.7755576E-017, 1.0000000E+000, 1.8231229E+002
 3.3287954E-001, 5.1930310E-002, 2.7755576E-017, 1.0000000E+000, 1.8413423E+002
 3.3479888E-001, 5.1849888E-002, 2.7755576E-017, 1.0000000E+000, 1.8599219E+002
 3.3671821E-001, 5.1785245E-002, 2.7755576E-017, 1.0000000E+000, 1.8759952E+002
 3.3863755E-001, 5.1720341E-002, 2.7755576E-017, 1.0000000E+000, 1.8917761E+002
 3.4055689E-001, 5.1655180E-002, 2.7755576E-017, 1.0000000E+000, 1.9075037E+002
 3.4247623E-001, 5.1589761E-002, 2.7755576E-017, 1.0000000E+000, 1.9232201E+002
 3.4439556E-001, 5.1524088E-002, 2.7755576E-017, 1.0000000E+000, 1.9394081E+002
 3.4631490E-001, 5.1458161E-002, 2.7755576E-017, 1.0000000E+000, 1.9550770E+002
 3.4823424E-001, 5.1391982E-002, 2.7755576E-017, 1.0000000E+000, 1.9707265E+002
 3.5015358E-001, 5.1325552E-002, 2.7755576E-017, 1.0000000E+000, 1.9864603E+002
 3.5207292E-001, 5.1258874E-002, 2.7755576E-017, 1.0000000E+000, 2.0025300E+002
 3.5495192E-001, 5.1175167E-002, 2.7755576E-017, 1.0000000E+000, 2.0207088E+002
 3.5687126E-001, 5.1091102E-002, 2.7755576E-017, 1.0000000E+000, 2.0389723E+002
 3.5879060E-001, 5.1023566E-002, 2.7755576E-017, 1.0000000E+000, 2.0546547E+002
 3.6070994E-001, 5.0955789E-002, 2.7755576E-017, 1.0000000E+000, 2.0712121E+002
 3.6262928E-001, 5.0887773E-002, 2.7755576E-017, 1.0000000E+000, 2.0870199E+002
 3.6454861E-001, 5.0819518E-002, 2.7755576E-017, 1.0000000E+000, 2.1027165E+002
 3.6646795E-001, 5.0751027E-002, 2.7755576E-017, 1.0000000E+000, 2.1183921E+002
 3.6829130E-001, 5.0688107E-002, 2.7755576E-017, 1.0000000E+000, 2.1347235E+002
 3.7001865E-001, 5.0628893E-002, 2.7755576E-017, 1.0000000E+000, 2.1514235E+002
 3.7260967E-001, 5.0551089E-002, 2.7755576E-017, 1.0000000E+000, 2.1706592E+002
 3.7433702E-001, 5.0473013E-002, 2.7755576E-017, 1.0000000E+000, 2.1892495E+002
 3.7606437E-001, 5.0410337E-002, 2.7755576E-017, 1.0000000E+000, 2.2059946E+002
 3.7865539E-001, 5.0331725E-002, 2.7755576E-017, 1.0000000E+000, 2.2241392E+002
 3.8038274E-001, 5.0252847E-002, 2.7755576E-017, 1.0000000E+000, 2.2423707E+002
 3.8211009E-001, 5.0189533E-002, 2.7755576E-017, 1.0000000E+000, 2.2584871E+002
 3.8470112E-001, 5.0110130E-002, 2.7755576E-017, 1.0000000E+000, 2.2771385E+002
 3.8642847E-001, 5.0030468E-002, 2.7755576E-017, 1.0000000E+000, 2.2956209E+002
 3.8815581E-001, 4.9966532E-002, 2.7755576E-017, 1.0000000E+000, 2.3121475E+002
 3.9074684E-001, 4.9886358E-002, 2.7755576E-017, 1.0000000E+000, 2.3307789E+002
 3.9247419E-001, 4.9805930E-002, 2.7755576E-017, 1.0000000E+000, 2.3490442E+002
 3.9420154E-001, 4.9741387E-002, 2.7755576E-017, 1.0000000E+000, 2.3647750E+002
 3.9679256E-001, 4.9660459E-002, 2.7755576E-017, 1.0000000E+000, 2.3830141E+002
 3.9851991E-001, 4.9579284E-002, 2.7755576E-017, 1.0000000E+000, 2.4015537E+002
 4.0024726E-001, 4.9514149E-002, 2.7755576E-017, 1.0000000E+000, 2.4180028E+002
 4.0283829E-001, 4.9432486E-002, 2.7755576E-017, 1.0000000E+000, 2.4362242E+002
 4.0456564E-001, 4.9350583E-002, 2.7755576E-017, 1.0000000E+000, 2.4545190E+002
 4.0629298E-001, 4.9284870E-002, 2.7755576E-017, 1.0000000E+000, 2.4706394E+002
 4.0802033E-001, 4.9218994E-002, 2.7755576E-017, 1.0000000E+000, 2.4863120E+002
 4.1061136E-001, 4.9136415E-002, 2.7755576E-017, 1.0000000E+000, 2.5045616E+002
 4.1233871E-001, 4.9053603E-002, 2.7755576E-017, 1.0000000E+000, 2.5229764E+002
 4.1406606E-001, 4.8987168E-002, 2.7755576E-017, 1.0000000E+000, 2.5386985E+002
 4.1665708E-001, 4.8903897E-002, 2.7755576E-017, 1.0000000E+000, 2.5568430E+002
 4.1838443E-001, 4.8820400E-002, 2.7755576E-017, 1.0000000E+000, 2.5750924E+002
 4.2011178E-001, 4.8753422E-002, 2.7755576E-017, 1.0000000E+000, 2.5907964E+002
 4.2261545E-001, 4.8673824E-002, 2.7755576E-017, 1.0000000E+000, 2.6101788E+002
 4.2416809E-001, 4.8600676E-002, 2.7755576E-017, 1.0000000E+000, 2.6300446E+002
 4.2649705E-001, 4.8524850E-002, 2.7755576E-017, 1.0000000E+000, 2.6482015E+002
 4.2804969E-001, 4.8448849E-002, 2.7755576E-017, 1.0000000E+000, 2.6668538E+002
 4.3037865E-001, 4.8372650E-002, 2.7755576E-017, 1.0000000E+000, 2.6850966E+002
 4.3270761E-001, 4.8280976E-002, 2.7755576E-017, 1.0000000E+000, 2.7058654E+002
 4.3426025E-001, 4.8204387E-002, 2.7755576E-017, 1.0000000E+000, 2.7245328E+002
 4.3658921E-001, 4.8127606E-002, 2.7755576E-017, 1.0000000E+000, 2.7440749E+002
 4.3814186E-001, 4.8050658E-002, 2.7755576E-017, 1.0000000E+000, 2.7622489E+002
 4.4047082E-001, 4.7973522E-002, 2.7755576E-017, 1.0000000E+000, 2.7804930E+002
