s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 9.5383626E-002, 5.7335769E-002, 4.8667751E-005, 1.0000000E+000, 6.3639260E+001, 1.2000000E+001, 4.8707990E-010, 9.2310153E-002
 9.8396721E-002, 5.7300245E-002, 4.9699171E-005, 1.0000000E+000, 6.5898480E+001, 1.2000000E+001, 5.0095641E-010, 9.2365913E-002
 1.0140982E-001, 5.7244198E-002, 4.5680265E-005, 1.0000000E+000, 6.8589810E+001, 1.1000000E+001, 2.8580131E-009, 8.2999806E-002
 1.0404044E-001, 5.7352285E-002, 4.7424851E-005, 1.0000000E+000, 7.1564007E+001, 1.2000000E+001, 5.2273495E-010, 9.3666326E-002
 1.0667107E-001, 5.7195462E-002, 4.8597133E-005, 1.0000000E+000, 7.3708996E+001, 1.2000000E+001, 5.3769719E-010, 9.3696822E-002
 1.0930169E-001, 5.7161212E-002, 4.9546351E-005, 1.0000000E+000, 7.6013768E+001, 1.2000000E+001, 5.5133963E-010, 9.3742316E-002
 1.1193232E-001, 5.7126061E-002, 4.7885078E-005, 1.0000000E+000, 7.8264226E+001, 1.2000000E+001, 5.7041515E-010, 9.2611068E-002
 1.1456295E-001, 5.7101290E-002, 4.8799990E-005, 1.0000000E+000, 8.0551388E+001, 1.2000000E+001, 5.8495558E-010, 9.2660000E-002
 1.1687378E-001, 5.7082702E-002, 4.6152009E-005, 1.0000000E+000, 8.3430455E+001, 1.2000000E+001, 5.9357263E-010, 9.3863133E-002
 1.1918461E-001, 5.7033628E-002, 4.6897650E-005, 1.0000000E+000, 8.5642361E+001, 1.2000000E+001, 6.0644717E-010, 9.3906313E-002
 1.2149544E-001, 5.7000359E-002, 4.7741755E-005, 1.0000000E+000, 8.7799222E+001, 1.2000000E+001, 6.2020247E-010, 9.3942850E-002
 1.2380627E-001, 5.6966542E-002, 4.8610409E-005, 1.0000000E+000, 9.0012036E+001, 1.2000000E+001, 6.3431335E-010, 9.3978397E-002
 1.2611710E-001, 5.6932134E-002, 4.9502442E-005, 1.0000000E+000, 9.2170628E+001, 1.2000000E+001, 6.4877035E-010, 9.4013027E-002
 1.2842793E-001, 5.6897136E-002, 4.7779226E-005, 1.0000000E+000, 9.4539403E+001, 1.2000000E+001, 6.7088091E-010, 9.2884065E-002
 1.3048194E-001, 5.6911160E-002, 4.5686285E-005, 1.0000000E+000, 9.7350659E+001, 1.2000000E+001, 6.7810528E-010, 9.4065870E-002
 1.3253595E-001, 5.6841073E-002, 4.6325357E-005, 1.0000000E+000, 9.9567738E+001, 1.2000000E+001, 6.9084941E-010, 9.4103420E-002
 1.3458995E-001, 5.6808578E-002, 4.7097718E-005, 1.0000000E+000, 1.0172648E+002, 1.2000000E+001, 7.0482716E-010, 9.4131218E-002
 1.3664396E-001, 5.6775697E-002, 4.7888618E-005, 1.0000000E+000, 1.0398456E+002, 1.2000000E+001, 7.1909052E-010, 9.4158102E-002
 1.3869797E-001, 5.6742356E-002, 4.8695720E-005, 1.0000000E+000, 1.0614125E+002, 1.2000000E+001, 7.3361954E-010, 9.4184253E-002
 1.4075198E-001, 5.6708555E-002, 4.9518817E-005, 1.0000000E+000, 1.0835802E+002, 1.2000000E+001, 7.4841132E-010, 9.4209687E-002
 1.4280598E-001, 5.6674295E-002, 4.7717914E-005, 1.0000000E+000, 1.1063565E+002, 1.2000000E+001, 7.7324416E-010, 9.3083713E-002
 1.4485999E-001, 5.6653799E-002, 4.8490592E-005, 1.0000000E+000, 1.1299939E+002, 1.2000000E+001, 7.8863042E-010, 9.3112227E-002
 1.4668645E-001, 5.6635996E-002, 4.6302456E-005, 1.0000000E+000, 1.1597818E+002, 1.2000000E+001, 7.9326584E-010, 9.4272829E-002
 1.4851290E-001, 5.6584208E-002, 4.6934697E-005, 1.0000000E+000, 1.1820236E+002, 1.2000000E+001, 8.0673060E-010, 9.4298769E-002
 1.5033936E-001, 5.6552273E-002, 4.7642569E-005, 1.0000000E+000, 1.2037297E+002, 1.2000000E+001, 8.2094898E-010, 9.4318623E-002
 1.5216581E-001, 5.6520026E-002, 4.8362112E-005, 1.0000000E+000, 1.2263523E+002, 1.2000000E+001, 8.3537305E-010, 9.4337882E-002
 1.5399227E-001, 5.6487424E-002, 4.9091992E-005, 1.0000000E+000, 1.2480701E+002, 1.2000000E+001, 8.4999011E-010, 9.4356659E-002
 1.5581872E-001, 5.6454465E-002, 4.9832079E-005, 1.0000000E+000, 1.2645602E+002, 1.2000000E+001, 8.6479819E-010, 9.4374964E-002
 1.5764518E-001, 5.6421150E-002, 4.7928643E-005, 1.0000000E+000, 1.2869602E+002, 1.2000000E+001, 8.9258891E-010, 9.3253731E-002
 1.5947163E-001, 5.6403541E-002, 4.8612046E-005, 1.0000000E+000, 1.3099263E+002, 1.2000000E+001, 9.0782607E-010, 9.3275405E-002
 1.6129808E-001, 5.6369718E-002, 4.9340544E-005, 1.0000000E+000, 1.3323444E+002, 1.2000000E+001, 9.2359682E-010, 9.3293781E-002
 1.6312454E-001, 5.6303953E-002, 4.5699653E-005, 1.0000000E+000, 1.3602330E+002, 1.1000000E+001, 5.1503662E-009, 8.3788078E-002
 1.6476371E-001, 5.6488138E-002, 4.7830845E-005, 1.0000000E+000, 1.3902054E+002, 1.2000000E+001, 9.3715640E-010, 9.4479260E-002
 1.6640288E-001, 5.6263099E-002, 4.8751583E-005, 1.0000000E+000, 1.4128161E+002, 1.2000000E+001, 9.5434255E-010, 9.4472108E-002
 1.6804205E-001, 5.6231670E-002, 4.9407219E-005, 1.0000000E+000, 1.4344896E+002, 1.2000000E+001, 9.6881117E-010, 9.4485469E-002
 1.6968122E-001, 5.6199740E-002, 4.7437646E-005, 1.0000000E+000, 1.4574666E+002, 1.2000000E+001, 9.9892723E-010, 9.3368483E-002
 1.7132039E-001, 5.6185234E-002, 4.8030511E-005, 1.0000000E+000, 1.4741578E+002, 1.2000000E+001, 1.0136472E-009, 9.3385760E-002
 1.7295956E-001, 5.6152928E-002, 4.8665250E-005, 1.0000000E+000, 1.4971285E+002, 1.2000000E+001, 1.0288888E-009, 9.3399801E-002
 1.7459873E-001, 5.6120388E-002, 4.9307113E-005, 1.0000000E+000, 1.5199738E+002, 1.2000000E+001, 1.0442835E-009, 9.3413472E-002
 1.7623789E-001, 5.6052351E-002, 4.9886239E-005, 1.0000000E+000, 1.5445762E+002, 1.2000000E+001, 1.0590946E-009, 9.3432308E-002
 1.7787706E-001, 5.6018715E-002, 4.6211718E-005, 1.0000000E+000, 1.5727457E+002, 1.1000000E+001, 5.8802514E-009, 8.3894273E-002
 1.7951623E-001, 5.6157398E-002, 4.6529068E-005, 1.0000000E+000, 1.5949591E+002, 1.1000000E+001, 5.9444282E-009, 8.3927360E-002
 1.8115540E-001, 5.6124014E-002, 4.7133349E-005, 1.0000000E+000, 1.6223343E+002, 1.1000000E+001, 6.0296867E-009, 8.3937852E-002
 1.8279457E-001, 5.6091861E-002, 4.7746345E-005, 1.0000000E+000, 1.6503190E+002, 1.1000000E+001, 6.1159179E-009, 8.3947816E-002
 1.8443374E-001, 5.5718165E-002, 4.7820778E-005, 1.0000000E+000, 1.6820168E+002, 1.1000000E+001, 6.1637660E-009, 8.3999725E-002
 1.8590621E-001, 5.6099418E-002, 4.8177341E-005, 1.0000000E+000, 1.7171990E+002, 1.2000000E+001, 1.1516104E-009, 9.3521102E-002
 1.8737868E-001, 5.5863728E-002, 4.8990780E-005, 1.0000000E+000, 1.7338889E+002, 1.2000000E+001, 1.1693556E-009, 9.3509635E-002
 1.8885114E-001, 5.5832746E-002, 4.9557956E-005, 1.0000000E+000, 1.7568349E+002, 1.2000000E+001, 1.1843573E-009, 9.3519287E-002
 1.9032361E-001, 5.5761793E-002, 4.5774346E-005, 1.0000000E+000, 1.7848649E+002, 1.1000000E+001, 6.5448638E-009, 8.3966608E-002
 1.9179607E-001, 5.5919691E-002, 4.6009211E-005, 1.0000000E+000, 1.8127750E+002, 1.1000000E+001, 6.6033417E-009, 8.3997578E-002
 1.9326854E-001, 5.5887732E-002, 4.6528195E-005, 1.0000000E+000, 1.8344088E+002, 1.1000000E+001, 6.6848096E-009, 8.4005487E-002
