s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 1.8591500E-001, 5.5867499E-002, 5.1809586E-005, 1.0000000E+000, 2.6873889E+002, 1.0000000E+001, 4.5688739E-009, 8.0597707E-002
 1.8738795E-001, 5.5829320E-002, 5.2302156E-005, 1.0000000E+000, 2.7208078E+002, 1.0000000E+001, 4.6125658E-009, 8.0598351E-002
 1.8886089E-001, 5.5797453E-002, 5.2901299E-005, 1.0000000E+000, 2.7604847E+002, 1.0000000E+001, 4.6653938E-009, 8.0598331E-002
 1.9033384E-001, 5.5765487E-002, 5.3506972E-005, 1.0000000E+000, 2.7995938E+002, 1.0000000E+001, 4.7187777E-009, 8.0598263E-002
 1.9180679E-001, 5.5733302E-002, 5.4117277E-005, 1.0000000E+000, 2.8396411E+002, 1.0000000E+001, 4.7725541E-009, 8.0598159E-002
 1.9327974E-001, 5.5700897E-002, 5.4732139E-005, 1.0000000E+000, 2.8731308E+002, 1.0000000E+001, 4.8267167E-009, 8.0598019E-002
 1.9475268E-001, 5.5668271E-002, 5.5351517E-005, 1.0000000E+000, 2.9131491E+002, 1.0000000E+001, 4.8812615E-009, 8.0597846E-002
 1.9622563E-001, 5.5635427E-002, 5.5975372E-005, 1.0000000E+000, 2.9526029E+002, 1.0000000E+001, 4.9361851E-009, 8.0597638E-002
 1.9769858E-001, 5.5602364E-002, 5.6603663E-005, 1.0000000E+000, 2.9931629E+002, 1.0000000E+001, 4.9914837E-009, 8.0597398E-002
 1.9917153E-001, 5.5569083E-002, 5.7236347E-005, 1.0000000E+000, 3.0267597E+002, 1.0000000E+001, 5.0471537E-009, 8.0597127E-002
 2.0064447E-001, 5.5535584E-002, 5.7873382E-005, 1.0000000E+000, 3.0677378E+002, 1.0000000E+001, 5.1031911E-009, 8.0596826E-002
 2.0211742E-001, 5.5501868E-002, 5.8514723E-005, 1.0000000E+000, 3.1072754E+002, 1.0000000E+001, 5.1595923E-009, 8.0596495E-002
 2.0359037E-001, 5.5467936E-002, 5.9160324E-005, 1.0000000E+000, 3.1471540E+002, 1.0000000E+001, 5.2163532E-009, 8.0596137E-002
 2.0506332E-001, 5.5433789E-002, 5.9810138E-005, 1.0000000E+000, 3.1808625E+002, 1.0000000E+001, 5.2734698E-009, 8.0595752E-002
 2.0653627E-001, 5.5399426E-002, 6.0464116E-005, 1.0000000E+000, 3.2214823E+002, 1.0000000E+001, 5.3309379E-009, 8.0595342E-002
