s,m/s
Time,"Ub"
 3.1118857E+001, 9.6066903E-001
 3.1218765E+001, 9.5780451E-001
 3.1318674E+001, 9.5734590E-001
 3.1418583E+001, 9.5742148E-001
 3.1518492E+001, 9.5634494E-001
 3.1618401E+001, 9.5687710E-001
 3.1718310E+001, 9.5587134E-001
 3.1818219E+001, 9.5518056E-001
 3.1918128E+001, 9.5644206E-001
 3.2018037E+001, 9.5785640E-001
 3.2121942E+001, 9.5942578E-001
 3.2209862E+001, 9.5950349E-001
 3.2319762E+001, 9.6012933E-001
 3.2407681E+001, 9.6044739E-001
 3.2517581E+001, 9.5962716E-001
 3.2605501E+001, 9.5849277E-001
 3.2715401E+001, 9.5754857E-001
 3.2803321E+001, 9.5770672E-001
 3.2913220E+001, 9.5931260E-001
 3.3001140E+001, 9.6175592E-001
 3.3111040E+001, 9.6287423E-001
 3.3220940E+001, 9.6354632E-001
 3.3308860E+001, 9.6528950E-001
 3.3418760E+001, 9.6505923E-001
 3.3506679E+001, 9.6397302E-001
 3.3616579E+001, 9.6387438E-001
 3.3704499E+001, 9.6419887E-001
 3.3814399E+001, 9.6444099E-001
 3.3902319E+001, 9.6499303E-001
 3.4012218E+001, 9.6578425E-001
 3.4100138E+001, 9.6579935E-001
 3.4210038E+001, 9.6519438E-001
 3.4319938E+001, 9.6506402E-001
 3.4407858E+001, 9.6388618E-001
 3.4517757E+001, 9.6332234E-001
 3.4605677E+001, 9.6398163E-001
 3.4715577E+001, 9.6443437E-001
 3.4803497E+001, 9.6523639E-001
 3.4913397E+001, 9.6647579E-001
 3.5001317E+001, 9.6738309E-001
 3.5111216E+001, 9.6723699E-001
 3.5221116E+001, 9.6536064E-001
 3.5309036E+001, 9.6342524E-001
 3.5418936E+001, 9.6325787E-001
 3.5506856E+001, 9.6323654E-001
 3.5616755E+001, 9.6227958E-001
 3.5704675E+001, 9.6098028E-001
 3.5814575E+001, 9.6035256E-001
 3.5902495E+001, 9.5999362E-001
 3.6012395E+001, 9.6029609E-001
 3.6100314E+001, 9.6116841E-001
 3.6210214E+001, 9.6242865E-001
 3.6320114E+001, 9.6415277E-001
 3.6408034E+001, 9.6470044E-001
 3.6517934E+001, 9.6455503E-001
 3.6605854E+001, 9.6426039E-001
 3.6715753E+001, 9.6406040E-001
 3.6803673E+001, 9.6305349E-001
 3.6913573E+001, 9.6116283E-001
 3.7001493E+001, 9.6058546E-001
 3.7111393E+001, 9.6045315E-001
 3.7221292E+001, 9.6052504E-001
 3.7309212E+001, 9.6165105E-001
 3.7419112E+001, 9.6327256E-001
 3.7507032E+001, 9.6433239E-001
 3.7616932E+001, 9.6463771E-001
 3.7704851E+001, 9.6492447E-001
 3.7814751E+001, 9.6578590E-001
 3.7902671E+001, 9.6686780E-001
 3.8012571E+001, 9.6767734E-001
 3.8100491E+001, 9.6824368E-001
 3.8210391E+001, 9.6901127E-001
 3.8320290E+001, 9.7032115E-001
 3.8408210E+001, 9.7116589E-001
 3.8518110E+001, 9.7164200E-001
 3.8606030E+001, 9.7172837E-001
 3.8715930E+001, 9.7199661E-001
 3.8803849E+001, 9.7241456E-001
 3.8913749E+001, 9.7282551E-001
 3.9001669E+001, 9.7312185E-001
 3.9111569E+001, 9.7321310E-001
 3.9221469E+001, 9.7252756E-001
 3.9309388E+001, 9.7157087E-001
 3.9419288E+001, 9.7073312E-001
 3.9507208E+001, 9.7056748E-001
 3.9617108E+001, 9.7119821E-001
 3.9705028E+001, 9.7207452E-001
 3.9814927E+001, 9.7257855E-001
 3.9902847E+001, 9.7261245E-001
 4.0012747E+001, 9.7226770E-001
 4.0100667E+001, 9.7174037E-001
 4.0210567E+001, 9.7175326E-001
 4.0320467E+001, 9.7219925E-001
 4.0408386E+001, 9.7256156E-001
 4.0518286E+001, 9.7261151E-001
 4.0606206E+001, 9.7236375E-001
 4.0716106E+001, 9.7174406E-001
 4.0804026E+001, 9.7118439E-001
 4.0913925E+001, 9.7118532E-001
 4.1001845E+001, 9.7170220E-001
 4.1111745E+001, 9.7216750E-001
 4.1221645E+001, 9.7229991E-001
 4.1309565E+001, 9.7206247E-001
 4.1419464E+001, 9.7137503E-001
 4.1507384E+001, 9.6993044E-001
 4.1617284E+001, 9.6769214E-001
 4.1705204E+001, 9.6564290E-001
 4.1815104E+001, 9.6403523E-001
 4.1903024E+001, 9.6285979E-001
 4.2010601E+001, 9.6218167E-001
 4.2108889E+001, 9.6287477E-001
 4.2207176E+001, 9.6386026E-001
 4.2305464E+001, 9.6378793E-001
 4.2403752E+001, 9.6300446E-001
 4.2502039E+001, 9.6241356E-001
 4.2600327E+001, 9.6224307E-001
 4.2718272E+001, 9.6136977E-001
 4.2816560E+001, 9.6168216E-001
 4.2914847E+001, 9.6205086E-001
 4.3013135E+001, 9.6145281E-001
 4.3111423E+001, 9.6072745E-001
 4.3209710E+001, 9.6044683E-001
 4.3307998E+001, 9.6136120E-001
 4.3406286E+001, 9.6159949E-001
 4.3504574E+001, 9.6154448E-001
 4.3610724E+001, 9.6187629E-001
 4.3718841E+001, 9.6298627E-001
 4.3805334E+001, 9.6365994E-001
 4.3913450E+001, 9.6395117E-001
 4.4021567E+001, 9.6384896E-001
 4.4108060E+001, 9.6446961E-001
 4.4216176E+001, 9.6570676E-001
 4.4311319E+001, 9.6677579E-001
 4.4406461E+001, 9.6730748E-001
