s,m/s
Time,"Ub"
 2.2503570E+001, 9.7226574E-001
 2.2603971E+001, 9.7066103E-001
 2.2704373E+001, 9.6733675E-001
 2.2804774E+001, 9.6291101E-001
 2.2905176E+001, 9.5846655E-001
 2.3005578E+001, 9.5989083E-001
 2.3105979E+001, 9.6217740E-001
 2.3206381E+001, 9.5983292E-001
 2.3306782E+001, 9.5333008E-001
 2.3407184E+001, 9.5022467E-001
 2.3507586E+001, 9.5073523E-001
 2.3607987E+001, 9.5245250E-001
 2.3706557E+001, 9.5499557E-001
 2.3805096E+001, 9.5590098E-001
 2.3904457E+001, 9.5628488E-001
 2.4003817E+001, 9.5314709E-001
 2.4103177E+001, 9.5335149E-001
 2.4202537E+001, 9.5614767E-001
 2.4301898E+001, 9.5663664E-001
 2.4401258E+001, 9.6192397E-001
 2.4500618E+001, 9.6629033E-001
 2.4609011E+001, 9.7025196E-001
 2.4708371E+001, 9.7704317E-001
 2.4807732E+001, 9.7973056E-001
 2.4907092E+001, 9.7848368E-001
 2.5006452E+001, 9.6826062E-001
 2.5105812E+001, 9.5791784E-001
 2.5205172E+001, 9.4983299E-001
 2.5304533E+001, 9.4821499E-001
 2.5403893E+001, 9.5204677E-001
 2.5503253E+001, 9.5503317E-001
 2.5602613E+001, 9.5339656E-001
 2.5701974E+001, 9.5088812E-001
 2.5801334E+001, 9.4952706E-001
 2.5900694E+001, 9.5346007E-001
 2.6000054E+001, 9.5861175E-001
 2.6108447E+001, 9.6362584E-001
 2.6207808E+001, 9.6436385E-001
 2.6307168E+001, 9.6195724E-001
 2.6406528E+001, 9.6338679E-001
 2.6505888E+001, 9.6601426E-001
 2.6606152E+001, 9.6810776E-001
 2.6705512E+001, 9.7394265E-001
 2.6800640E+001, 9.7917146E-001
 2.6907176E+001, 9.7720214E-001
 2.7009272E+001, 9.7096006E-001
 2.7106930E+001, 9.7026435E-001
 2.7204588E+001, 9.6930105E-001
 2.7302245E+001, 9.6298403E-001
 2.7409669E+001, 9.5910155E-001
 2.7507326E+001, 9.5809802E-001
 2.7604984E+001, 9.6112021E-001
 2.7702641E+001, 9.6043054E-001
 2.7800299E+001, 9.5735505E-001
 2.7907723E+001, 9.5784756E-001
 2.8004076E+001, 9.5838115E-001
 2.8100430E+001, 9.5913075E-001
 2.8205544E+001, 9.6071537E-001
 2.8301022E+001, 9.6498412E-001
 2.8407011E+001, 9.6449887E-001
 2.8503365E+001, 9.6470261E-001
 2.8609355E+001, 9.6414794E-001
 2.8705709E+001, 9.6406866E-001
 2.8802063E+001, 9.6607484E-001
 2.8908052E+001, 9.7125934E-001
 2.9004406E+001, 9.7543880E-001
 2.9100760E+001, 9.7433025E-001
 2.9206749E+001, 9.7063010E-001
 2.9303103E+001, 9.6757925E-001
 2.9409093E+001, 9.6525129E-001
 2.9505447E+001, 9.6357655E-001
 2.9601801E+001, 9.6678154E-001
 2.9707790E+001, 9.7065434E-001
 2.9804144E+001, 9.7314326E-001
 2.9900498E+001, 9.7332192E-001
 3.0006487E+001, 9.6948172E-001
 3.0102841E+001, 9.6879887E-001
 3.0208831E+001, 9.6873682E-001
 3.0305184E+001, 9.7183977E-001
 3.0401538E+001, 9.7437112E-001
 3.0507528E+001, 9.7160834E-001
 3.0603882E+001, 9.6717070E-001
 3.0700236E+001, 9.6410835E-001
 3.0806225E+001, 9.6352539E-001
 3.0902372E+001, 9.6357227E-001
 3.1006187E+001, 9.6364553E-001
 3.1101350E+001, 9.6467397E-001
 3.1206029E+001, 9.6362292E-001
 3.1301193E+001, 9.6319305E-001
 3.1405872E+001, 9.6716588E-001
 3.1501035E+001, 9.6907055E-001
 3.1601463E+001, 9.7069219E-001
 3.1702906E+001, 9.7149448E-001
 3.1804348E+001, 9.7213587E-001
 3.1905790E+001, 9.7013625E-001
 3.2008078E+001, 9.7049967E-001
 3.2101066E+001, 9.6543590E-001
 3.2203354E+001, 9.6203703E-001
 3.2305641E+001, 9.6339002E-001
 3.2407929E+001, 9.6101491E-001
 3.2500918E+001, 9.5835910E-001
 3.2603205E+001, 9.5786538E-001
 3.2705493E+001, 9.5695135E-001
 3.2807780E+001, 9.5753682E-001
 3.2900769E+001, 9.6082361E-001
 3.3003057E+001, 9.6495131E-001
 3.3105344E+001, 9.6648154E-001
 3.3207632E+001, 9.6628015E-001
 3.3300620E+001, 9.6049546E-001
 3.3402908E+001, 9.5292809E-001
 3.3505196E+001, 9.5621672E-001
 3.3607483E+001, 9.6310214E-001
 3.3700472E+001, 9.6115925E-001
 3.3802759E+001, 9.5403270E-001
 3.3903073E+001, 9.4937147E-001
 3.4003189E+001, 9.5048383E-001
 3.4103306E+001, 9.5379860E-001
 3.4203422E+001, 9.5798467E-001
 3.4303538E+001, 9.5692675E-001
 3.4403654E+001, 9.6097576E-001
 3.4503771E+001, 9.6244132E-001
 3.4603887E+001, 9.5917012E-001
 3.4704003E+001, 9.5735958E-001
 3.4804119E+001, 9.5899874E-001
 3.4904236E+001, 9.6054089E-001
 3.5004352E+001, 9.6184256E-001
 3.5105209E+001, 9.6406607E-001
 3.5204007E+001, 9.6468782E-001
 3.5306397E+001, 9.6366141E-001
 3.5405194E+001, 9.6222552E-001
 3.5503992E+001, 9.6099364E-001
 3.5602789E+001, 9.6202689E-001
 3.5701587E+001, 9.6623765E-001
 3.5800384E+001, 9.6956199E-001
 3.5909062E+001, 9.7300224E-001
 3.6006855E+001, 9.7558619E-001
 3.6104484E+001, 9.7413015E-001
 3.6202113E+001, 9.6672422E-001
 3.6308618E+001, 9.6291805E-001
 3.6406995E+001, 9.6492506E-001
 3.6503461E+001, 9.6533070E-001
 3.6608696E+001, 9.6646912E-001
 3.6705162E+001, 9.6573505E-001
 3.6801628E+001, 9.6211057E-001
 3.6906864E+001, 9.6300255E-001
 3.7003330E+001, 9.6363639E-001
 3.7108565E+001, 9.6389058E-001
 3.7205031E+001, 9.6419799E-001
 3.7301497E+001, 9.6464481E-001
 3.7406732E+001, 9.6624123E-001
 3.7503198E+001, 9.6664581E-001
 3.7601418E+001, 9.6607093E-001
 3.7707530E+001, 9.6819152E-001
 3.7803996E+001, 9.7139669E-001
 3.7900462E+001, 9.7242367E-001
 3.8006575E+001, 9.7244675E-001
 3.8103040E+001, 9.7383086E-001
 3.8209153E+001, 9.7009931E-001
 3.8305619E+001, 9.6759590E-001
 3.8406745E+001, 9.6875817E-001
 3.8501888E+001, 9.6861583E-001
