m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
 6.2500000E-003, 2.2382158E-008,NaN,NaN, 6.2500000E-003, 1.2000000E-005, 6.2500000E-003, 2.1782162E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8750000E-002, 3.9052240E-008,NaN,NaN, 1.8750000E-002, 1.2000000E-005, 1.8750000E-002, 2.0883281E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1250000E-002, 4.5314716E-008,NaN,NaN, 3.1250000E-002, 1.2000000E-005, 3.1250000E-002, 2.0673319E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3750000E-002, 3.2138147E-008,NaN,NaN, 4.3750000E-002, 6.0997820E-005, 4.3750000E-002, 2.1122179E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.6250000E-002,-2.1888599E-002,NaN,NaN, 5.6250000E-002, 6.0997820E-005, 5.6250000E-002, 1.8673003E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.8750000E-002,-7.1993677E-002,NaN,NaN, 6.8750000E-002, 5.4880503E-005, 6.8750000E-002, 2.1847428E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.1250000E-002,-1.0883384E-001,NaN,NaN, 8.1250000E-002, 5.6724985E-005, 8.1250000E-002, 2.3614684E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.3750000E-002,-1.4467779E-001,NaN,NaN, 9.3750000E-002, 6.1276872E-005, 9.3750000E-002, 2.5396693E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0625000E-001,-1.7537365E-001,NaN,NaN, 1.0625000E-001, 6.7922038E-005, 1.0625000E-001, 2.5891283E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1875000E-001,-2.1718968E-001,NaN,NaN, 1.1875000E-001, 7.4536894E-005, 1.1875000E-001, 2.6256130E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3125000E-001,-2.5815078E-001,NaN,NaN, 1.3125000E-001, 8.2652343E-005, 1.3125000E-001, 2.6792335E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4375000E-001,-3.0536456E-001,NaN,NaN, 1.4375000E-001, 9.2270604E-005, 1.4375000E-001, 2.6780228E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.5625000E-001,-3.4672703E-001,NaN,NaN, 1.5625000E-001, 1.0117733E-004, 1.5625000E-001, 2.6327386E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6875000E-001,-3.8125861E-001,NaN,NaN, 1.6875000E-001, 1.0978323E-004, 1.6875000E-001, 2.7024463E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8125000E-001,-4.2032462E-001,NaN,NaN, 1.8125000E-001, 1.1963920E-004, 1.8125000E-001, 2.7166617E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.9375000E-001,-4.4980431E-001,NaN,NaN, 1.9375000E-001, 1.2915356E-004, 1.9375000E-001, 2.7456386E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.0625000E-001,-4.8213738E-001,NaN,NaN, 2.0625000E-001, 1.3964851E-004, 2.0625000E-001, 2.8664108E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.1875000E-001,-5.1287836E-001,NaN,NaN, 2.1875000E-001, 1.5112766E-004, 2.1875000E-001, 2.8579807E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.3125000E-001,-5.3334616E-001,NaN,NaN, 2.3125000E-001, 1.5987546E-004, 2.3125000E-001, 2.8679107E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.4375000E-001,-5.4267499E-001,NaN,NaN, 2.4375000E-001, 1.6713675E-004, 2.4375000E-001, 2.8889023E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5625000E-001,-5.4815935E-001,NaN,NaN, 2.5625000E-001, 1.7123019E-004, 2.5625000E-001, 2.8700663E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.6875000E-001,-5.4555668E-001,NaN,NaN, 2.6875000E-001, 1.7337426E-004, 2.6875000E-001, 2.9502779E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.8125000E-001,-5.3409168E-001,NaN,NaN, 2.8125000E-001, 1.7746186E-004, 2.8125000E-001, 3.0221215E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.9375000E-001,-5.2060647E-001,NaN,NaN, 2.9375000E-001, 1.7829328E-004, 2.9375000E-001, 3.0875235E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.0625000E-001,-4.9932779E-001,NaN,NaN, 3.0625000E-001, 1.8100183E-004, 3.0625000E-001, 3.1648926E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1875000E-001,-4.7009915E-001,NaN,NaN, 3.1875000E-001, 1.8095686E-004, 3.1875000E-001, 3.2066216E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.3125000E-001,-4.5653250E-001,NaN,NaN, 3.3125000E-001, 1.7928000E-004, 3.3125000E-001, 3.2020342E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.4375000E-001,-4.3074722E-001,NaN,NaN, 3.4375000E-001, 1.7576948E-004, 3.4375000E-001, 3.2314547E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
