m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
 5.9375000E-002, 0.0000000E+000,NaN,NaN, 5.9375000E-002, 0.0000000E+000, 5.9375000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.5625000E-002, 0.0000000E+000,NaN,NaN, 6.5625000E-002, 0.0000000E+000, 6.5625000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.1875000E-002, 0.0000000E+000,NaN,NaN, 7.1875000E-002, 0.0000000E+000, 7.1875000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.8125000E-002, 0.0000000E+000,NaN,NaN, 7.8125000E-002, 0.0000000E+000, 7.8125000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.4375000E-002, 0.0000000E+000,NaN,NaN, 8.4375000E-002, 0.0000000E+000, 8.4375000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.0625000E-002, 0.0000000E+000,NaN,NaN, 9.0625000E-002, 0.0000000E+000, 9.0625000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.6875000E-002, 0.0000000E+000,NaN,NaN, 9.6875000E-002, 0.0000000E+000, 9.6875000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0312500E-001, 0.0000000E+000,NaN,NaN, 1.0312500E-001, 0.0000000E+000, 1.0312500E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0937500E-001, 0.0000000E+000,NaN,NaN, 1.0937500E-001, 0.0000000E+000, 1.0937500E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1562500E-001, 0.0000000E+000,NaN,NaN, 1.1562500E-001, 0.0000000E+000, 1.1562500E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2187500E-001, 0.0000000E+000,NaN,NaN, 1.2187500E-001, 0.0000000E+000, 1.2187500E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2812500E-001, 0.0000000E+000,NaN,NaN, 1.2812500E-001, 0.0000000E+000, 1.2812500E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3437500E-001, 0.0000000E+000,NaN,NaN, 1.3437500E-001, 0.0000000E+000, 1.3437500E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.4062500E-001, 0.0000000E+000,NaN,NaN, 1.4062500E-001, 0.0000000E+000, 1.4062500E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
