s,,,
Time,"scarc-iter","scarc-rate","scarc-res"
 6.5203846E-001, 1.0600000E+002, 7.8645087E-001, 7.1919932E-009
 6.5728019E-001, 1.0700000E+002, 7.7942144E-001, 5.9066477E-009
 6.6252192E-001, 1.0700000E+002, 7.7534966E-001, 6.1192896E-009
 6.6776365E-001, 1.0800000E+002, 7.7477712E-001, 6.6668220E-009
 6.7300538E-001, 1.0900000E+002, 7.7545155E-001, 7.8359680E-009
 6.7824711E-001, 1.1000000E+002, 7.7454001E-001, 6.9137175E-009
 6.8348884E-001, 1.1000000E+002, 7.7454142E-001, 8.5611508E-009
 6.8873057E-001, 1.1000000E+002, 7.7435608E-001, 9.9803294E-009
 6.9397230E-001, 1.1100000E+002, 7.7001697E-001, 4.8272130E-009
 6.9921403E-001, 1.1100000E+002, 7.6989121E-001, 5.4065040E-009
 7.0445576E-001, 1.1100000E+002, 7.6970084E-001, 5.8912690E-009
 7.0969749E-001, 1.1100000E+002, 7.6936374E-001, 6.1877520E-009
 7.1493923E-001, 1.1100000E+002, 7.6878776E-001, 6.1932298E-009
 7.2018096E-001, 1.1000000E+002, 7.6861714E-001, 8.4459740E-009
 7.2542269E-001, 1.1000000E+002, 7.6671753E-001, 6.8342143E-009
 7.3066442E-001, 1.1000000E+002, 7.6509984E-001, 5.6949016E-009
 7.3590615E-001, 1.0900000E+002, 7.6685030E-001, 9.9389135E-009
 7.4114788E-001, 1.1000000E+002, 7.6403258E-001, 5.2412859E-009
 7.4638961E-001, 1.1000000E+002, 7.6434279E-001, 5.5973418E-009
 7.5163134E-001, 1.1000000E+002, 7.6482047E-001, 6.0740897E-009
 7.5687307E-001, 1.1000000E+002, 7.6530376E-001, 6.5450350E-009
 7.6211480E-001, 1.1000000E+002, 7.6569561E-001, 6.8852458E-009
 7.6735653E-001, 1.1000000E+002, 7.6599696E-001, 7.0886542E-009
 7.7259826E-001, 1.1000000E+002, 7.6621084E-001, 7.1428417E-009
 7.7783999E-001, 1.1000000E+002, 7.6635491E-001, 7.0615034E-009
 7.8308172E-001, 1.1000000E+002, 7.6645454E-001, 6.8733093E-009
 7.8832346E-001, 1.1000000E+002, 7.6654647E-001, 6.6204686E-009
 7.9356519E-001, 1.1000000E+002, 7.6667984E-001, 6.3536977E-009
 7.9880692E-001, 1.1000000E+002, 7.6691704E-001, 6.1282435E-009
 8.0404865E-001, 1.0900000E+002, 7.6892108E-001, 9.7995033E-009
 8.0929038E-001, 1.0900000E+002, 7.6931646E-001, 9.4616153E-009
 8.1453211E-001, 1.0900000E+002, 7.6984978E-001, 9.2107550E-009
 8.1977384E-001, 1.0900000E+002, 7.7052055E-001, 9.0329899E-009
 8.2501557E-001, 1.0900000E+002, 7.7129824E-001, 8.8772198E-009
 8.3025730E-001, 1.0900000E+002, 7.7212389E-001, 8.6592770E-009
 8.3549903E-001, 1.0900000E+002, 7.7292387E-001, 8.2843618E-009
 8.4074076E-001, 1.0900000E+002, 7.7361614E-001, 7.6685503E-009
 8.4598249E-001, 1.0800000E+002, 7.7477070E-001, 9.5795358E-009
 8.5122422E-001, 1.0800000E+002, 7.7500382E-001, 7.9463145E-009
 8.5646595E-001, 1.0800000E+002, 7.7503279E-001, 6.2200075E-009
 8.6170769E-001, 1.0700000E+002, 7.7742922E-001, 8.3838309E-009
 8.6694942E-001, 1.0700000E+002, 7.7724334E-001, 5.8316708E-009
 8.7219115E-001, 1.0600000E+002, 7.8214706E-001, 9.6851554E-009
 8.7743288E-001, 1.0300000E+002, 7.8041049E-001, 9.4584934E-009
 8.8267461E-001, 1.0500000E+002, 7.8620676E-001, 5.9168600E-009
 8.8791634E-001, 1.0100000E+002, 7.8668962E-001, 8.4569810E-009
 8.9315807E-001, 1.0300000E+002, 7.8571132E-001, 7.6361458E-009
 8.9839980E-001, 1.0500000E+002, 7.8626991E-001, 7.1849753E-009
 9.0364153E-001, 1.0500000E+002, 7.8621166E-001, 8.3223366E-009
 9.0888326E-001, 1.0500000E+002, 7.8601641E-001, 8.4814944E-009
 9.1412499E-001, 1.0500000E+002, 7.8581482E-001, 8.0426757E-009
 9.1936672E-001, 1.0500000E+002, 7.8563376E-001, 7.2640599E-009
 9.2460845E-001, 1.0500000E+002, 7.8546695E-001, 6.3380002E-009
 9.2985018E-001, 1.0500000E+002, 7.8530612E-001, 5.4171296E-009
 9.3509192E-001, 1.0400000E+002, 7.8802104E-001, 8.5858211E-009
 9.4033365E-001, 1.0400000E+002, 7.8783577E-001, 7.3954339E-009
 9.4557538E-001, 1.0300000E+002, 7.8878887E-001, 9.6712242E-009
 9.5081711E-001, 1.0300000E+002, 7.8840459E-001, 8.5902292E-009
 9.5605884E-001, 1.0300000E+002, 7.8781323E-001, 7.5868058E-009
 9.6182474E-001, 1.0300000E+002, 7.8803308E-001, 8.3589564E-009
 9.6759065E-001, 1.0300000E+002, 7.8808145E-001, 7.9274140E-009
 9.7335655E-001, 1.0300000E+002, 7.8777473E-001, 7.1241547E-009
 9.7912245E-001, 1.0200000E+002, 7.8855073E-001, 9.1302570E-009
 9.8488836E-001, 1.0100000E+002, 7.8456406E-001, 6.1276509E-009
 9.9123085E-001, 9.8000000E+001, 7.8234316E-001, 9.2627471E-009
 9.9757335E-001, 1.0200000E+002, 7.8665616E-001, 7.6312148E-009
 1.0000000E+000, 1.0000000E+002, 7.8564513E-001, 8.4160786E-009
