s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 4.5754031E-001, 1.7938074E+000,-2.7406758E+000, 1.0000000E-001, 9.3000000E+001, 6.5434487E-001, 8.5822923E-015
 4.6375134E-001, 1.7992232E+000,-2.7215080E+000, 1.0000000E-001, 9.3000000E+001, 6.5412337E-001, 8.0943698E-015
 4.6940433E-001, 1.8040389E+000,-2.6988953E+000, 1.0000000E-001, 9.3000000E+001, 6.5420546E-001, 7.9869574E-015
 4.7562261E-001, 1.8092108E+000,-2.6796052E+000, 1.0000000E-001, 9.3000000E+001, 6.5400134E-001, 7.5442221E-015
 4.8128205E-001, 1.8138033E+000,-2.6569208E+000, 1.0000000E-001, 9.3000000E+001, 6.5405789E-001, 7.4106069E-015
 4.8750743E-001, 1.8187285E+000,-2.6375186E+000, 1.0000000E-001, 9.3000000E+001, 6.5386248E-001, 7.0015628E-015
 4.9317341E-001, 1.8230955E+000,-2.6147771E+000, 1.0000000E-001, 9.3000000E+001, 6.5392511E-001, 6.8772966E-015
 4.9940599E-001, 1.8277717E+000,-2.5952721E+000, 1.0000000E-001, 9.0000000E+001, 6.4756187E-001, 9.8991589E-015
 5.0507859E-001, 1.8319111E+000,-2.5724871E+000, 1.0000000E-001, 9.3000000E+001, 6.5379195E-001, 6.3696723E-015
 5.1131844E-001, 1.8363358E+000,-2.5528890E+000, 1.0000000E-001, 9.0000000E+001, 6.4776853E-001, 9.6061406E-015
 5.1699769E-001, 1.8402455E+000,-2.5300737E+000, 1.0000000E-001, 9.3000000E+001, 6.5369610E-001, 5.9192608E-015
 5.2324486E-001, 1.8444167E+000,-2.5103922E+000, 1.0000000E-001, 9.0000000E+001, 6.4791982E-001, 9.2320643E-015
 5.2893059E-001, 1.8480946E+000,-2.4875602E+000, 1.0000000E-001, 9.3000000E+001, 6.5365927E-001, 5.5361176E-015
 5.3518488E-001, 1.8520099E+000,-2.4678059E+000, 1.0000000E-001, 9.0000000E+001, 6.4778904E-001, 8.5147852E-015
 5.4087716E-001, 1.8554543E+000,-2.4449716E+000, 1.0000000E-001, 9.0000000E+001, 6.4865963E-001, 9.3196883E-015
