s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 5.8301609E-001, 1.9858341E+000,-2.6313959E+000, 1.0000000E-010, 9.0000000E+001, 6.4866740E-001, 9.2128521E-015
 5.8894868E-001, 1.9899140E+000,-2.6113600E+000, 1.0000000E-010, 9.0000000E+001, 6.4826382E-001, 8.4264894E-015
 5.9434194E-001, 1.9935084E+000,-2.5879256E+000, 1.0000000E-010, 9.0000000E+001, 6.4856979E-001, 8.5286263E-015
 6.0027452E-001, 1.9973357E+000,-2.5676972E+000, 1.0000000E-010, 9.0000000E+001, 6.4819555E-001, 7.8285573E-015
 6.0566784E-001, 2.0006997E+000,-2.5441422E+000, 1.0000000E-010, 9.0000000E+001, 6.4837439E-001, 7.7821794E-015
 6.1160050E-001, 2.0042726E+000,-2.5237307E+000, 1.0000000E-010, 9.0000000E+001, 6.4801889E-001, 7.1600179E-015
 6.1699386E-001, 2.0074043E+000,-2.5000680E+000, 1.0000000E-010, 9.0000000E+001, 6.4818348E-001, 7.1028834E-015
 6.2292656E-001, 2.0107209E+000,-2.4794835E+000, 1.0000000E-010, 9.0000000E+001, 6.4767757E-001, 6.4001795E-015
 6.2831984E-001, 2.0136188E+000,-2.4557263E+000, 1.0000000E-010, 9.0000000E+001, 6.4792099E-001, 6.4206218E-015
 6.3964569E-001, 2.0179452E+000,-2.4236281E+000, 1.0000000E-010, 9.0000000E+001, 6.4743738E-001, 5.7244463E-015
 6.4557827E-001, 2.0221388E+000,-2.3902422E+000, 1.0000000E-010, 9.0000000E+001, 6.4706846E-001, 5.1822370E-015
 6.5097156E-001, 2.0245647E+000,-2.3663369E+000, 1.0000000E-010, 9.0000000E+001, 6.4684708E-001, 4.8826318E-015
 6.5690419E-001, 2.0271026E+000,-2.3452951E+000, 1.0000000E-010, 9.0000000E+001, 6.4646443E-001, 4.4892678E-015
 6.6229759E-001, 2.0292907E+000,-2.3213351E+000, 1.0000000E-010, 9.0000000E+001, 6.4630120E-001, 4.2718260E-015
 6.6823033E-001, 2.0315663E+000,-2.3001613E+000, 1.0000000E-010, 9.0000000E+001, 6.4572660E-001, 3.8330161E-015
 6.7362363E-001, 2.0335153E+000,-2.2761593E+000, 1.0000000E-010, 9.0000000E+001, 6.4533350E-001, 3.5411925E-015
 6.7955626E-001, 2.0355274E+000,-2.2548649E+000, 1.0000000E-010, 9.0000000E+001, 6.4475369E-001, 3.1848814E-015
 6.8494951E-001, 2.0372364E+000,-2.2308350E+000, 1.0000000E-010, 8.9000000E+001, 6.4941951E-001, 9.1880659E-015
 6.9627536E-001, 2.0396830E+000,-2.1979808E+000, 1.0000000E-010, 8.9000000E+001, 6.4938779E-001, 8.8869056E-015
 7.0220796E-001, 2.0419342E+000,-2.1638824E+000, 1.0000000E-010, 8.9000000E+001, 6.4839749E-001, 7.5584696E-015
 7.0760132E-001, 2.0431607E+000,-2.1398352E+000, 1.0000000E-010, 8.9000000E+001, 6.4727641E-001, 6.3967281E-015
 7.1353401E-001, 2.0443766E+000,-2.1182433E+000, 1.0000000E-010, 8.9000000E+001, 6.4605254E-001, 5.3425821E-015
 7.1892734E-001, 2.0453609E+000,-2.0942063E+000, 1.0000000E-010, 8.9000000E+001, 6.4481058E-001, 4.4646473E-015
 7.2486000E-001, 2.0463100E+000,-2.0725377E+000, 1.0000000E-010, 8.8000000E+001, 6.4688466E-001, 9.1252047E-015
 7.3025326E-001, 2.0470515E+000,-2.0485243E+000, 1.0000000E-010, 8.8000000E+001, 6.4432438E-001, 6.4130980E-015
 7.3618585E-001, 2.0477334E+000,-2.0267906E+000, 1.0000000E-010, 8.8000000E+001, 6.3955005E-001, 3.3272837E-015
 7.4157910E-001, 2.0482316E+000,-2.0028137E+000, 1.0000000E-010, 8.8000000E+001, 6.3922928E-001, 3.1851513E-015
 7.5290501E-001, 2.0487673E+000,-1.9696317E+000, 1.0000000E-010, 8.8000000E+001, 6.4428134E-001, 6.4766711E-015
 7.5883766E-001, 2.0490472E+000,-1.9352676E+000, 1.0000000E-010, 8.9000000E+001, 6.4380498E-001, 3.8920082E-015
 7.6423103E-001, 2.0490586E+000,-1.9114009E+000, 1.0000000E-010, 8.9000000E+001, 6.4507096E-001, 4.6686266E-015
 7.7016373E-001, 2.0489371E+000,-1.8895394E+000, 1.0000000E-010, 8.9000000E+001, 6.4619034E-001, 5.4978364E-015
 7.7555701E-001, 2.0487049E+000,-1.8657465E+000, 1.0000000E-010, 8.9000000E+001, 6.4702463E-001, 6.2247326E-015
 7.8148961E-001, 2.0483156E+000,-1.8438663E+000, 1.0000000E-010, 8.9000000E+001, 6.4746201E-001, 6.6855273E-015
 7.8688286E-001, 2.0478399E+000,-1.8201601E+000, 1.0000000E-010, 8.8000000E+001, 6.4667497E-001, 9.3793155E-015
 7.9281544E-001, 2.0471830E+000,-1.7982727E+000, 1.0000000E-010, 8.9000000E+001, 6.4838654E-001, 7.7717316E-015
 7.9820873E-001, 2.0464642E+000,-1.7746652E+000, 1.0000000E-010, 8.9000000E+001, 6.4901981E-001, 8.5783054E-015
 8.0953475E-001, 2.0450819E+000,-1.7415931E+000, 1.0000000E-010, 8.9000000E+001, 6.4945258E-001, 9.2825158E-015
 8.1546749E-001, 2.0433871E+000,-1.7074185E+000, 1.0000000E-010, 8.9000000E+001, 6.4969933E-001, 9.7943798E-015
 8.2086079E-001, 2.0421831E+000,-1.6840438E+000, 1.0000000E-010, 9.0000000E+001, 6.4614133E-001, 3.9303010E-015
 8.2679342E-001, 2.0407257E+000,-1.6622061E+000, 1.0000000E-010, 9.0000000E+001, 6.4618172E-001, 4.0065459E-015
 8.3218668E-001, 2.0392801E+000,-1.6389664E+000, 1.0000000E-010, 9.0000000E+001, 6.4662587E-001, 4.3141836E-015
 8.3811925E-001, 2.0375573E+000,-1.6171695E+000, 1.0000000E-010, 9.0000000E+001, 6.4649717E-001, 4.2938331E-015
 8.4351252E-001, 2.0358707E+000,-1.5940762E+000, 1.0000000E-010, 9.0000000E+001, 6.4691252E-001, 4.6027385E-015
 8.4944512E-001, 2.0338832E+000,-1.5723321E+000, 1.0000000E-010, 9.0000000E+001, 6.4683015E-001, 4.6078622E-015
 8.5483848E-001, 2.0319565E+000,-1.5493964E+000, 1.0000000E-010, 9.0000000E+001, 6.4726870E-001, 4.9520340E-015
 8.6616450E-001, 2.0286740E+000,-1.5168757E+000, 1.0000000E-010, 9.0000000E+001, 6.4728647E-001, 5.0522125E-015
 8.7209716E-001, 2.0250260E+000,-1.4833480E+000, 1.0000000E-010, 9.0000000E+001, 6.4717257E-001, 5.0504065E-015
 8.7749042E-001, 2.0226222E+000,-1.4607619E+000, 1.0000000E-010, 9.0000000E+001, 6.4760272E-001, 5.4126170E-015
 8.8342301E-001, 2.0198475E+000,-1.4392494E+000, 1.0000000E-010, 9.0000000E+001, 6.4716263E-001, 5.1425953E-015
 8.8881627E-001, 2.0172069E+000,-1.4168550E+000, 1.0000000E-010, 9.0000000E+001, 6.4780814E-001, 5.6739079E-015
 8.9474885E-001, 2.0141726E+000,-1.3954442E+000, 1.0000000E-010, 9.0000000E+001, 6.4717287E-001, 5.2415108E-015
 9.0014217E-001, 2.0112965E+000,-1.3732521E+000, 1.0000000E-010, 9.0000000E+001, 6.4785440E-001, 5.8068530E-015
 9.0607482E-001, 2.0080039E+000,-1.3519548E+000, 1.0000000E-010, 9.0000000E+001, 6.4732805E-001, 5.4408184E-015
 9.1146819E-001, 2.0048939E+000,-1.3299758E+000, 1.0000000E-010, 9.0000000E+001, 6.4804589E-001, 6.0525113E-015
