Time, u-vel
   1.287,   1.42568
   1.300,   1.40633
   1.312,   1.38859
   1.325,   1.36897
   1.337,   1.35099
   1.350,   1.33113
   1.363,   1.31297
   1.376,   1.29294
   1.388,   1.27464
   1.401,   1.25447
   1.413,   1.23608
   1.427,   1.21584
   1.439,   1.19740
   1.452,   1.17714
   1.464,   1.15870
   1.478,   1.13847
   1.490,   1.12008
   1.503,   1.09993
   1.515,   1.08164
   1.529,   1.06162
   1.541,   1.04348
   1.555,   1.02364
   1.567,   1.00569
   1.580,   0.98610
   1.593,   0.96839
   1.606,   0.94908
   1.619,   0.93165
   1.632,   0.91268
   1.644,   0.89559
   1.658,   0.87701
   1.670,   0.86029
   1.684,   0.84214
   1.697,   0.82585
   1.710,   0.80818
   1.723,   0.79234
   1.736,   0.77521
   1.749,   0.75987
   1.762,   0.74332
   1.775,   0.72852
   1.789,   0.71258
   1.801,   0.69837
   1.815,   0.68309
   1.828,   0.66949
   1.841,   0.65491
   1.854,   0.64197
   1.868,   0.62812
   1.880,   0.61586
   1.894,   0.60279
   1.907,   0.59125
   1.921,   0.57898
   1.934,   0.56819
   1.948,   0.55675
   1.960,   0.54673
   1.974,   0.53616
   1.987,   0.52695
   2.001,   0.51727
   2.014,   0.50887
   2.028,   0.50011
   2.041,   0.49255
   2.055,   0.48473
   2.067,   0.47803
   2.081,   0.47116
   2.094,   0.46534
   2.108,   0.45944
   2.121,   0.45451
   2.136,   0.44959
   2.148,   0.44557
   2.163,   0.44164
   2.176,   0.43852
   2.190,   0.43559
   2.203,   0.43338
   2.217,   0.43146
   2.230,   0.43016
   2.244,   0.42925
   2.257,   0.42887
   2.272,   0.42895
   2.285,   0.42948
   2.299,   0.43056
   2.312,   0.43200
   2.326,   0.43407
   2.340,   0.43640
   2.354,   0.43945
   2.367,   0.44267
   2.382,   0.44669
   2.395,   0.45077
   2.409,   0.45574
   2.422,   0.46068
   2.437,   0.46657
   2.450,   0.47235
   2.465,   0.47914
   2.478,   0.48573
   2.493,   0.49341
   2.506,   0.50078
   2.520,   0.50931
   2.534,   0.51745
   2.548,   0.52679
   2.562,   0.53566
   2.576,   0.54579
   2.590,   0.55536
   2.605,   0.56624
   2.618,   0.57648
   2.633,   0.58808
   2.646,   0.59894
   2.661,   0.61120
   2.674,   0.62266
   2.689,   0.63555
   2.703,   0.64756
   2.717,   0.66104
   2.731,   0.67355
   2.746,   0.68757
   2.759,   0.70055
   2.774,   0.71505
   2.788,   0.72845
   2.803,   0.74339
   2.816,   0.75717
   2.831,   0.77250
   2.845,   0.78661
   2.860,   0.80227
   2.874,   0.81665
   2.889,   0.83259
   2.902,   0.84721
   2.918,   0.86338
   2.931,   0.87817
   2.946,   0.89451
   2.960,   0.90943
   2.975,   0.92588
   2.989,   0.94089
   3.004,   0.95739
   3.018,   0.97242
   3.033,   0.98893
   3.047,   1.00394
   3.062,   1.02039
   3.076,   1.03532
   3.091,   1.05166
   3.105,   1.06646
   3.121,   1.08264
   3.135,   1.09727
   3.150,   1.11322
   3.164,   1.12762
   3.179,   1.14329
   3.193,   1.15741
   3.209,   1.17276
   3.223,   1.18656
   3.238,   1.20152
   3.252,   1.21495
   3.268,   1.22948
   3.282,   1.24249
   3.297,   1.25654
   3.311,   1.26909
   3.327,   1.28262
   3.341,   1.29467
   3.357,   1.30761
   3.371,   1.31912
   3.386,   1.33145
   3.401,   1.34237
   3.416,   1.35404
   3.430,   1.36435
   3.446,   1.37532
   3.460,   1.38498
   3.476,   1.39522
   3.490,   1.40419
   3.506,   1.41366
   3.520,   1.42192
   3.536,   1.43060
   3.551,   1.43812
   3.566,   1.44597
   3.581,   1.45273
   3.597,   1.45973
   3.611,   1.46571
   3.627,   1.47184
   3.641,   1.47701
   3.657,   1.48225
   3.672,   1.48661
   3.688,   1.49095
   3.702,   1.49448
   3.718,   1.49790
   3.733,   1.50060
   3.749,   1.50310
   3.763,   1.50495
   3.779,   1.50653
   3.794,   1.50753
   3.810,   1.50818
   3.824,   1.50834
   3.841,   1.50806
   3.855,   1.50739
   3.871,   1.50619
   3.886,   1.50468
   3.902,   1.50257
   3.917,   1.50024
   3.933,   1.49723
   3.948,   1.49409
   3.964,   1.49021
   3.979,   1.48628
   3.995,   1.48153
   4.010,   1.47683
   4.026,   1.47124
   4.041,   1.46579
   4.057,   1.45940
   4.072,   1.45322
   4.089,   1.44604
   4.104,   1.43917
   4.120,   1.43125
   4.135,   1.42371
   4.151,   1.41507
   4.166,   1.40690
   4.183,   1.39759
   4.198,   1.38882
   4.214,   1.37887
   4.229,   1.36955
   4.246,   1.35902
   4.261,   1.34917
   4.277,   1.33809
   4.293,   1.32778
   4.309,   1.31620
   4.324,   1.30545
   4.341,   1.29342
   4.356,   1.28229
   4.373,   1.26987
   4.388,   1.25840
   4.405,   1.24563
   4.420,   1.23387
   4.436,   1.22081
   4.452,   1.20881
   4.468,   1.19551
   4.484,   1.18332
   4.501,   1.16985
   4.516,   1.15752
   4.533,   1.14392
   4.548,   1.13151
   4.565,   1.11784
   4.580,   1.10540
   4.597,   1.09172
   4.612,   1.07929
   4.629,   1.06565
   4.645,   1.05329
   4.662,   1.03976
   4.677,   1.02752
   4.694,   1.01415
   4.710,   1.00207
   4.727,   0.98892
   4.742,   0.97706
   4.759,   0.96417
   4.775,   0.95258
   4.792,   0.94001
   4.808,   0.92873
   4.825,   0.91653
   4.840,   0.90561
   4.857,   0.89383
   4.873,   0.88332
   4.890,   0.87200
   4.906,   0.86194
   4.923,   0.85113
   4.939,   0.84155
   4.956,   0.83130
   4.972,   0.82224
   4.989,   0.81258
   5.005,   0.80408
   5.022,   0.79506
   5.038,   0.78714
   5.055,   0.77879
   5.071,   0.77149
   5.088,   0.76383
   5.104,   0.75719
   5.122,   0.75025
   5.138,   0.74428
   5.155,   0.73809
   5.171,   0.73281
   5.188,   0.72739
   5.204,   0.72282
   5.222,   0.71819
   5.238,   0.71434
   5.255,   0.71052
   5.271,   0.70740
   5.289,   0.70439
   5.305,   0.70202
   5.323,   0.69983
   5.339,   0.69821
   5.356,   0.69684
   5.372,   0.69597
   5.390,   0.69542
   5.406,   0.69529
   5.424,   0.69556
   5.440,   0.69618
   5.458,   0.69726
   5.474,   0.69860
   5.492,   0.70048
   5.508,   0.70254
   5.526,   0.70520
   5.542,   0.70797
   5.560,   0.71138
   5.576,   0.71483
   5.594,   0.71899
   5.610,   0.72310
   5.628,   0.72798
   5.644,   0.73272
   5.662,   0.73828
   5.679,   0.74364
   5.697,   0.74984
   5.713,   0.75578
   5.731,   0.76260
   5.747,   0.76908
   5.765,   0.77648
   5.782,   0.78346
   5.800,   0.79140
   5.816,   0.79886
   5.834,   0.80729
   5.851,   0.81518
   5.869,   0.82406
   5.885,   0.83233
   5.904,   0.84162
   5.920,   0.85023
   5.938,   0.85987
   5.955,   0.86879
   5.973,   0.87873
   5.990,   0.88790
   6.008,   0.89810
   6.025,   0.90747
   6.043,   0.91786
   6.060,   0.92739
   6.078,   0.93794
   6.095,   0.94757
   6.113,   0.95821
   6.130,   0.96791
   6.148,   0.97858
   6.165,   0.98829
   6.183,   0.99895
   6.200,   1.00862
   6.218,   1.01921
   6.235,   1.02880
   6.254,   1.03927
   6.271,   1.04872
   6.283,   1.05579
