s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 1.0061427E+001, 9.9985581E-001, 9.7839729E-001, 9.5541769E-004, 7.0000000E+000, 3.8084378E+002
 1.0149334E+001, 9.9985434E-001, 9.7734631E-001, 9.4420426E-004, 8.0000000E+000, 3.8185663E+002
 1.0237242E+001, 9.9985580E-001, 9.7610668E-001, 9.8527108E-004, 8.0000000E+000, 3.8288364E+002
 1.0325150E+001, 9.9986202E-001, 9.7464238E-001, 9.0870120E-004, 9.0000000E+000, 3.8394351E+002
 1.0413057E+001, 9.9987353E-001, 9.7294073E-001, 9.8900356E-004, 8.0000000E+000, 3.8497214E+002
 1.0500965E+001, 9.9988812E-001, 9.7113367E-001, 9.9536947E-004, 8.0000000E+000, 3.8600479E+002
 1.0588872E+001, 9.9990365E-001, 9.6947595E-001, 9.1122531E-004, 1.0000000E+001, 3.8710181E+002
 1.0676780E+001, 9.9991725E-001, 9.6824234E-001, 9.8918880E-004, 1.3000000E+001, 3.8823349E+002
 1.0764687E+001, 9.9992635E-001, 9.6796388E-001, 9.8921028E-004, 2.1000000E+001, 3.8968735E+002
 1.0852595E+001, 9.9993059E-001, 9.6864630E-001, 9.9682934E-004, 2.3000000E+001, 3.9125876E+002
 1.0940502E+001, 9.9993115E-001, 9.7029774E-001, 9.9942059E-004, 2.4000000E+001, 3.9283676E+002
 1.1028410E+001, 9.9993170E-001, 9.7269730E-001, 9.9607872E-004, 2.3000000E+001, 3.9435666E+002
 1.1116317E+001, 9.9993514E-001, 9.7569949E-001, 9.8826354E-004, 2.2000000E+001, 3.9672919E+002
 1.1204225E+001, 9.9994209E-001, 9.7923771E-001, 9.8775878E-004, 2.0000000E+001, 3.9830222E+002
 1.1292133E+001, 9.9995166E-001, 9.8331736E-001, 9.9471108E-004, 1.8000000E+001, 3.9962885E+002
 1.1380040E+001, 9.9996282E-001, 9.8802064E-001, 9.7308351E-004, 1.7000000E+001, 4.0100928E+002
 1.1467948E+001, 9.9997497E-001, 9.9331879E-001, 9.9993724E-004, 1.4000000E+001, 4.0223255E+002
 1.1555855E+001, 9.9998817E-001, 9.9933843E-001, 9.7669239E-004, 1.3000000E+001, 4.0342053E+002
 1.1643763E+001, 1.0000030E+000, 1.0060490E+000, 9.5500208E-004, 1.2000000E+001, 4.0453375E+002
 1.1731670E+001, 1.0000201E+000, 1.0132956E+000, 9.9230678E-004, 1.3000000E+001, 4.0567673E+002
 1.1819578E+001, 1.0000416E+000, 1.0207387E+000, 9.9719823E-004, 1.7000000E+001, 4.0701267E+002
 1.1907485E+001, 1.0000662E+000, 1.0280712E+000, 9.9632910E-004, 1.6000000E+001, 4.0829697E+002
 1.1995393E+001, 1.0000923E+000, 1.0349860E+000, 9.9239893E-004, 1.3000000E+001, 4.0942789E+002
 1.2083300E+001, 1.0001193E+000, 1.0413004E+000, 9.5294787E-004, 1.2000000E+001, 4.1056397E+002
 1.2171208E+001, 1.0001559E+000, 1.0435520E+000, 9.9996468E-004, 9.4000000E+001, 4.1272104E+002
 1.2259116E+001, 1.0001880E+000, 1.0435871E+000, 9.9974276E-004, 6.5000000E+001, 4.1496015E+002
 1.2347023E+001, 1.0001867E+000, 1.0364012E+000, 9.9989416E-004, 3.7200000E+002, 4.2550351E+002
 1.2434931E+001, 1.0001856E+000, 1.0294001E+000, 9.9991689E-004, 2.6000000E+001, 4.2703717E+002
 1.2522838E+001, 1.0001844E+000, 1.0228041E+000, 9.9934980E-004, 1.4000000E+001, 4.2829993E+002
 1.2610746E+001, 1.0001827E+000, 1.0166504E+000, 9.9337216E-004, 1.0000000E+001, 4.2942774E+002
 1.2698653E+001, 1.0001799E+000, 1.0109169E+000, 9.8010983E-004, 8.0000000E+000, 4.3047660E+002
 1.2786561E+001, 1.0001756E+000, 1.0058312E+000, 9.5967516E-004, 9.0000000E+000, 4.3151279E+002
 1.2874468E+001, 1.0001680E+000, 1.0014907E+000, 8.8944273E-004, 1.0000000E+001, 4.3256342E+002
 1.2962376E+001, 1.0001564E+000, 9.9777153E-001, 9.6767061E-004, 1.0000000E+001, 4.3368122E+002
 1.3050283E+001, 1.0001402E+000, 9.9446835E-001, 9.1849126E-004, 1.2000000E+001, 4.3477570E+002
 1.3138191E+001, 1.0001170E+000, 9.9128165E-001, 9.7332512E-004, 1.2000000E+001, 4.3588184E+002
 1.3226099E+001, 1.0000860E+000, 9.8812158E-001, 9.9531794E-004, 1.2000000E+001, 4.3700901E+002
 1.3314006E+001, 1.0000469E+000, 9.8502378E-001, 9.6207346E-004, 1.3000000E+001, 4.3813126E+002
 1.3401914E+001, 1.0000012E+000, 9.8208266E-001, 9.7063902E-004, 1.2000000E+001, 4.3922623E+002
 1.3489821E+001, 9.9995098E-001, 9.7933188E-001, 9.4682141E-004, 1.2000000E+001, 4.4032120E+002
 1.3577729E+001, 9.9989909E-001, 9.7676255E-001, 9.6292956E-004, 1.0000000E+001, 4.4199137E+002
 1.3665636E+001, 9.9984756E-001, 9.7438291E-001, 9.8619405E-004, 1.0000000E+001, 4.4367307E+002
 1.3753544E+001, 9.9981152E-001, 9.7302803E-001, 9.9990530E-004, 2.0900000E+002, 4.4911829E+002
 1.3841451E+001, 9.9981006E-001, 9.7243113E-001, 9.9954091E-004, 1.2600000E+002, 4.5421292E+002
 1.3929359E+001, 9.9981208E-001, 9.7181071E-001, 9.9451182E-004, 1.0000000E+001, 4.5525659E+002
 1.4017266E+001, 9.9981592E-001, 9.7160301E-001, 9.7777047E-004, 1.0000000E+001, 4.5631961E+002
 1.4105174E+001, 9.9982150E-001, 9.7209706E-001, 9.5926985E-004, 1.0000000E+001, 4.5739112E+002
 1.4193082E+001, 9.9982840E-001, 9.7333713E-001, 9.4424890E-004, 1.0000000E+001, 4.5845667E+002
 1.4280989E+001, 9.9983582E-001, 9.7513042E-001, 9.6087597E-004, 9.0000000E+000, 4.5953644E+002
 1.4368897E+001, 9.9984303E-001, 9.7730136E-001, 9.8744897E-004, 1.4000000E+001, 4.6068900E+002
 1.4456804E+001, 9.9985217E-001, 9.7927220E-001, 9.7920743E-004, 1.6000000E+001, 4.6192383E+002
 1.4544712E+001, 9.9986229E-001, 9.8077163E-001, 9.8963457E-004, 1.4000000E+001, 4.6312635E+002
 1.4632619E+001, 9.9987005E-001, 9.8151870E-001, 9.8275869E-004, 1.6000000E+001, 4.6440607E+002
 1.4720527E+001, 9.9987306E-001, 9.8161378E-001, 9.9918773E-004, 1.6000000E+001, 4.6566324E+002
 1.4808434E+001, 9.9986996E-001, 9.8113867E-001, 9.8668763E-004, 1.8000000E+001, 4.6703699E+002
 1.4896342E+001, 9.9986367E-001, 9.8031491E-001, 9.7711195E-004, 1.8000000E+001, 4.6838388E+002
 1.4984249E+001, 9.9985824E-001, 9.7928183E-001, 9.9543726E-004, 1.6000000E+001, 4.6965665E+002
 1.5072157E+001, 9.9985721E-001, 9.7809010E-001, 9.6923973E-004, 1.6000000E+001, 4.7091431E+002
 1.5160065E+001, 9.9986240E-001, 9.7687004E-001, 9.7926324E-004, 1.4000000E+001, 4.7211951E+002
 1.5247972E+001, 9.9987426E-001, 9.7576600E-001, 9.7279743E-004, 1.3000000E+001, 4.7330091E+002
 1.5335880E+001, 9.9989151E-001, 9.7496057E-001, 9.4204391E-004, 1.2000000E+001, 4.7443332E+002
 1.5423787E+001, 9.9991390E-001, 9.7475773E-001, 9.6315897E-004, 1.6000000E+001, 4.7559815E+002
 1.5511695E+001, 9.9994468E-001, 9.7602568E-001, 9.9936855E-004, 3.6000000E+001, 4.7713538E+002
 1.5599602E+001, 9.9998048E-001, 9.7856225E-001, 9.9475988E-004, 3.1000000E+001, 4.7870957E+002
 1.5687510E+001, 1.0000153E+000, 9.8186760E-001, 9.8241794E-004, 2.2000000E+001, 4.8008341E+002
 1.5775417E+001, 1.0000453E+000, 9.8569431E-001, 9.7541508E-004, 1.8000000E+001, 4.8136560E+002
 1.5863325E+001, 1.0000679E+000, 9.8987742E-001, 9.6524970E-004, 1.6000000E+001, 4.8259058E+002
 1.5951232E+001, 1.0000830E+000, 9.9424782E-001, 9.5512228E-004, 1.3000000E+001, 4.8378205E+002
 1.6039140E+001, 1.0000904E+000, 9.9875692E-001, 8.3607360E-004, 1.3000000E+001, 4.8493347E+002
 1.6127048E+001, 1.0000917E+000, 1.0032651E+000, 9.5141663E-004, 1.1000000E+001, 4.8607175E+002
 1.6214955E+001, 1.0000882E+000, 1.0079005E+000, 9.6488136E-004, 1.2000000E+001, 4.8722574E+002
