s,Pa,Pa,Pa,C,C,C,kg/m3,kg/m3,kg/m3
Time,"Pres 1","Pres 2","Pres 3","Temp 1","Temp 2","Temp 3","Dens 1","Dens 2","Dens 3"
 2.5219164E+001, 1.9680345E+004, 1.9680345E+004, 1.9680350E+004, 3.5111158E+001, 3.5112282E+001, 3.5115743E+001, 1.3574349E+000, 1.3574299E+000, 1.3574147E+000
 2.5851620E+001, 2.0168393E+004, 2.0168391E+004, 2.0168398E+004, 3.5462015E+001, 3.5463276E+001, 3.5466824E+001, 1.3613602E+000, 1.3613546E+000, 1.3613390E+000
 2.6405018E+001, 2.0656965E+004, 2.0656962E+004, 2.0656969E+004, 3.5812229E+001, 3.5813621E+001, 3.5817267E+001, 1.3652855E+000, 1.3652794E+000, 1.3652633E+000
 2.7037474E+001, 2.1146089E+004, 2.1146085E+004, 2.1146093E+004, 3.6161793E+001, 3.6163127E+001, 3.6167062E+001, 1.3692108E+000, 1.3692049E+000, 1.3691875E+000
 2.7669930E+001, 2.1668407E+004, 2.1668402E+004, 2.1668411E+004, 3.6533962E+001, 3.6533601E+001, 3.6539478E+001, 1.3733978E+000, 1.3733994E+000, 1.3733733E+000
 2.8223328E+001, 2.2158630E+004, 2.2158623E+004, 2.2158634E+004, 3.6882219E+001, 3.6862944E+001, 3.6887966E+001, 1.3773231E+000, 1.3774087E+000, 1.3772975E+000
 2.8855784E+001, 2.2649405E+004, 2.2649398E+004, 2.2649410E+004, 3.7229841E+001, 3.7181918E+001, 3.7235817E+001, 1.3812483E+000, 1.3814616E+000, 1.3812217E+000
 2.9409182E+001, 2.3140708E+004, 2.3140699E+004, 2.3140712E+004, 3.7576849E+001, 3.7502765E+001, 3.7583049E+001, 1.3851736E+000, 1.3855039E+000, 1.3851459E+000
 3.0041638E+001, 2.3632561E+004, 2.3632552E+004, 2.3632566E+004, 3.7923224E+001, 3.7829613E+001, 3.7929645E+001, 1.3890989E+000, 1.3895170E+000, 1.3890702E+000
 3.0674093E+001, 2.4157795E+004, 2.4157786E+004, 2.4157800E+004, 3.8292027E+001, 3.8188193E+001, 3.8298680E+001, 1.3932858E+000, 1.3937505E+000, 1.3932560E+000
 3.1227492E+001, 2.4650753E+004, 2.4650744E+004, 2.4650757E+004, 3.8637146E+001, 3.8525702E+001, 3.8644012E+001, 1.3972111E+000, 1.3977107E+000, 1.3971804E+000
 3.1859947E+001, 2.5144262E+004, 2.5144253E+004, 2.5144266E+004, 3.8981647E+001, 3.8872341E+001, 3.8988721E+001, 1.4011365E+000, 1.4016273E+000, 1.4011047E+000
 3.2413346E+001, 2.5638300E+004, 2.5638292E+004, 2.5638305E+004, 3.9325561E+001, 3.9220713E+001, 3.9332842E+001, 1.4050618E+000, 1.4055334E+000, 1.4050291E+000
 3.3045802E+001, 2.6132888E+004, 2.6132880E+004, 2.6132892E+004, 3.9668852E+001, 3.9573784E+001, 3.9676336E+001, 1.4089872E+000, 1.4094156E+000, 1.4089535E+000
 3.3678257E+001, 2.6661035E+004, 2.6661028E+004, 2.6661039E+004, 4.0034381E+001, 3.9956197E+001, 4.0042082E+001, 1.4131744E+000, 1.4135272E+000, 1.4131396E+000
 3.4231656E+001, 2.7156724E+004, 2.7156718E+004, 2.7156727E+004, 4.0376462E+001, 4.0318642E+001, 4.0384369E+001, 1.4170998E+000, 1.4173612E+000, 1.4170641E+000
 3.4864111E+001, 2.7652957E+004, 2.7652951E+004, 2.7652959E+004, 4.0717930E+001, 4.0680581E+001, 4.0726046E+001, 1.4210253E+000, 1.4211944E+000, 1.4209886E+000
 3.5417510E+001, 2.8149711E+004, 2.8149706E+004, 2.8149713E+004, 4.1058829E+001, 4.1038304E+001, 4.1067162E+001, 1.4249508E+000, 1.4250439E+000, 1.4249130E+000
 3.6049965E+001, 2.8647012E+004, 2.8647008E+004, 2.8647014E+004, 4.1399138E+001, 4.1388394E+001, 4.1407681E+001, 1.4288762E+000, 1.4289251E+000, 1.4288374E+000
 3.6603364E+001, 2.9144831E+004, 2.9144827E+004, 2.9144832E+004, 4.1738871E+001, 4.1733564E+001, 4.1747547E+001, 1.4328017E+000, 1.4328259E+000, 1.4327622E+000
 3.7235819E+001, 2.9643194E+004, 2.9643191E+004, 2.9643194E+004, 4.2078022E+001, 4.2075723E+001, 4.2086126E+001, 1.4367272E+000, 1.4367376E+000, 1.4366902E+000
 3.7868275E+001, 3.0175364E+004, 3.0175361E+004, 3.0175364E+004, 4.2439163E+001, 4.2438586E+001, 4.2419160E+001, 1.4409143E+000, 1.4409170E+000, 1.4410057E+000
 3.8421674E+001, 3.0674820E+004, 3.0674817E+004, 3.0674818E+004, 4.2777143E+001, 4.2777412E+001, 4.2657796E+001, 1.4448399E+000, 1.4448386E+000, 1.4453860E+000
 3.9054129E+001, 3.1174826E+004, 3.1174824E+004, 3.1174824E+004, 4.3114552E+001, 4.3115255E+001, 4.2842331E+001, 1.4487655E+000, 1.4487622E+000, 1.4500137E+000
 3.9607528E+001, 3.1675361E+004, 3.1675359E+004, 3.1675358E+004, 4.3451411E+001, 4.3452312E+001, 4.3021834E+001, 1.4526912E+000, 1.4526870E+000, 1.4546650E+000
 4.0239983E+001, 3.2176441E+004, 3.2176440E+004, 3.2176438E+004, 4.3787688E+001, 4.3788716E+001, 4.3217927E+001, 1.4566170E+000, 1.4566122E+000, 1.4592404E+000
 4.0872439E+001, 3.2711507E+004, 3.2711506E+004, 3.2711503E+004, 4.4145776E+001, 4.4146987E+001, 4.3460729E+001, 1.4608045E+000, 1.4607990E+000, 1.4639653E+000
 4.1425837E+001, 3.3213668E+004, 3.3213667E+004, 3.3213664E+004, 4.4480907E+001, 4.4482310E+001, 4.3727942E+001, 1.4647304E+000, 1.4647239E+000, 1.4682109E+000
 4.2058293E+001, 3.3716363E+004, 3.3716362E+004, 3.3716358E+004, 4.4815458E+001, 4.4817061E+001, 4.4026277E+001, 1.4686563E+000, 1.4686489E+000, 1.4723105E+000
 4.2611691E+001, 3.4219568E+004, 3.4219567E+004, 3.4219563E+004, 4.5149469E+001, 4.5151271E+001, 4.4343065E+001, 1.4725822E+000, 1.4725738E+000, 1.4763224E+000
 4.3244147E+001, 3.4723304E+004, 3.4723303E+004, 3.4723299E+004, 4.5482908E+001, 4.5484938E+001, 4.4668693E+001, 1.4765080E+000, 1.4764986E+000, 1.4802907E+000
 4.3876603E+001, 3.5261186E+004, 3.5261185E+004, 3.5261181E+004, 4.5837958E+001, 4.5840255E+001, 4.5017347E+001, 1.4806956E+000, 1.4806850E+000, 1.4845146E+000
 4.4430001E+001, 3.5765981E+004, 3.5765981E+004, 3.5765977E+004, 4.6170193E+001, 4.6172797E+001, 4.5343736E+001, 1.4846218E+000, 1.4846097E+000, 1.4884743E+000
 4.5062457E+001, 3.6271308E+004, 3.6271307E+004, 3.6271304E+004, 4.6501438E+001, 4.6504757E+001, 4.5681951E+001, 1.4885500E+000, 1.4885346E+000, 1.4923760E+000
 4.5615855E+001, 3.6777143E+004, 3.6777142E+004, 3.6777139E+004, 4.6830857E+001, 4.6836176E+001, 4.6053762E+001, 1.4924843E+000, 1.4924595E+000, 1.4961177E+000
 4.6248311E+001, 3.7283547E+004, 3.7283546E+004, 3.7283543E+004, 4.7157533E+001, 4.7167232E+001, 4.6438882E+001, 1.4964292E+000, 1.4963839E+000, 1.4997942E+000
 4.6801709E+001, 3.7790467E+004, 3.7790466E+004, 3.7790463E+004, 4.7480861E+001, 4.7497789E+001, 4.6803213E+001, 1.5003875E+000, 1.5003083E+000, 1.5035653E+000
 4.7434165E+001, 3.8297895E+004, 3.8297893E+004, 3.8297891E+004, 4.7800596E+001, 4.7827756E+001, 4.7130488E+001, 1.5043600E+000, 1.5042327E+000, 1.5075075E+000
 4.8066620E+001, 3.8839691E+004, 3.8839689E+004, 3.8839688E+004, 4.8137817E+001, 4.8179099E+001, 4.7419569E+001, 1.5086125E+000, 1.5084187E+000, 1.5119927E+000
 4.8620019E+001, 3.9348131E+004, 3.9348130E+004, 3.9348128E+004, 4.8452649E+001, 4.8507889E+001, 4.7650502E+001, 1.5126028E+000, 1.5123430E+000, 1.5163850E+000
 4.9252475E+001, 3.9857076E+004, 3.9857075E+004, 3.9857074E+004, 4.8769020E+001, 4.8836097E+001, 4.7890412E+001, 1.5165833E+000, 1.5162673E+000, 1.5207339E+000
 4.9805873E+001, 4.0366510E+004, 4.0366509E+004, 4.0366509E+004, 4.9091096E+001, 4.9163763E+001, 4.8158821E+001, 1.5205345E+000, 1.5201916E+000, 1.5249463E+000
 5.0438329E+001, 4.0876459E+004, 4.0876459E+004, 4.0876459E+004, 4.9419973E+001, 4.9490854E+001, 4.8473009E+001, 1.5244510E+000, 1.5241161E+000, 1.5289394E+000
 5.1070784E+001, 4.1420956E+004, 4.1420957E+004, 4.1420957E+004, 4.9776466E+001, 4.9839117E+001, 4.8820844E+001, 1.5285988E+000, 1.5283023E+000, 1.5331358E+000
