s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 2.2549999E+001, 0.0000000E+000, 1.1183963E-002,-8.3168348E-001, 6.3769650E-003, 0.0000000E+000,-3.2594621E-001, 0.0000000E+000,-1.1700633E+000,-1.1400688E+000, 0.0000000E+000, 0.0000000E+000, 1.3844040E+000, 1.3843157E+000
 2.2600000E+001, 0.0000000E+000, 1.1215835E-002,-7.9140770E-001, 6.0585748E-003, 0.0000000E+000,-3.1005633E-001, 0.0000000E+000,-1.1130225E+000,-1.0841896E+000, 0.0000000E+000, 0.0000000E+000, 1.3169143E+000, 1.3168303E+000
 2.2650000E+001, 0.0000000E+000, 1.1246412E-002,-7.5350489E-001, 6.1300131E-003, 0.0000000E+000,-2.9494108E-001, 0.0000000E+000,-1.0587630E+000,-1.0310695E+000, 0.0000000E+000, 0.0000000E+000, 1.2527148E+000, 1.2526349E+000
 2.2700001E+001, 0.0000000E+000, 9.9995530E-003,-7.1618979E-001, 6.1877099E-003, 0.0000000E+000,-2.8056271E-001, 0.0000000E+000,-1.0071481E+000,-9.8056523E-001, 0.0000000E+000, 0.0000000E+000, 1.1916449E+000, 1.1915689E+000
 2.2750000E+001, 0.0000000E+000, 1.0027788E-002,-6.8154157E-001, 5.8534859E-003, 0.0000000E+000,-2.6688527E-001, 0.0000000E+000,-9.5804987E-001,-9.3254557E-001, 0.0000000E+000, 0.0000000E+000, 1.1335522E+000, 1.1334799E+000
 2.2799999E+001, 0.0000000E+000, 1.0054957E-002,-6.4898642E-001, 5.9206192E-003, 0.0000000E+000,-2.5387462E-001, 0.0000000E+000,-9.1134479E-001,-8.8688546E-001, 0.0000000E+000, 0.0000000E+000, 1.0782916E+000, 1.0782228E+000
 2.2850000E+001, 0.0000000E+000, 8.9255762E-003,-6.1687392E-001, 5.9709249E-003, 0.0000000E+000,-2.4149823E-001, 0.0000000E+000,-8.6691662E-001,-8.4347565E-001, 0.0000000E+000, 0.0000000E+000, 1.0257248E+000, 1.0256594E+000
 2.2900000E+001, 0.0000000E+000, 8.9507878E-003,-5.8708873E-001, 5.6608947E-003, 0.0000000E+000,-2.2972519E-001, 0.0000000E+000,-8.2465473E-001,-8.0220224E-001, 0.0000000E+000, 0.0000000E+000, 9.7572076E-001, 9.7565852E-001
 2.2950001E+001, 0.0000000E+000, 8.9751097E-003,-5.5910964E-001, 5.7005358E-003, 0.0000000E+000,-2.1852609E-001, 0.0000000E+000,-7.8445244E-001,-7.6296009E-001, 0.0000000E+000, 0.0000000E+000, 9.2815437E-001, 9.2809516E-001
 2.3000000E+001, 0.0000000E+000, 7.9381825E-003,-5.3144766E-001, 5.7333222E-003, 0.0000000E+000,-2.0787294E-001, 0.0000000E+000,-7.4621042E-001,-7.2564909E-001, 0.0000000E+000, 0.0000000E+000, 8.8290685E-001, 8.8285052E-001
 2.3049999E+001, 0.0000000E+000, 7.9608414E-003,-5.0581990E-001, 5.4242051E-003, 0.0000000E+000,-1.9773913E-001, 0.0000000E+000,-7.0983282E-001,-6.9017399E-001, 0.0000000E+000, 0.0000000E+000, 8.3986514E-001, 8.3981156E-001
