s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 2.0999999E+000, 0.0000000E+000,-2.7332162E-001, 3.2229620E+002,-1.3598270E-001, 0.0000000E+000, 1.1852022E+002, 0.0000000E+000, 4.1483453E+002, 4.4040711E+002, 0.0000000E+000, 1.0000000E+000, 1.3687816E+003, 0.0000000E+000
 2.1500001E+000, 0.0000000E+000,-2.5557966E-001, 3.2997817E+002,-1.4387870E-001, 0.0000000E+000, 1.1851819E+002, 0.0000000E+000, 4.1480676E+002, 4.4809690E+002, 0.0000000E+000, 1.0000000E+000, 1.4021476E+003, 0.0000000E+000
 2.2000000E+000, 0.0000000E+000,-2.6760104E-001, 3.3580738E+002,-1.3173191E-001, 0.0000000E+000, 1.1852488E+002, 0.0000000E+000, 4.1483700E+002, 4.5393293E+002, 0.0000000E+000, 1.0000000E+000, 1.4355161E+003, 0.0000000E+000
 2.2500000E+000, 0.0000000E+000,-2.7961759E-001, 3.3966404E+002,-1.3939355E-001, 0.0000000E+000, 1.1851633E+002, 0.0000000E+000, 4.1482092E+002, 4.5776136E+002, 0.0000000E+000, 1.0000000E+000, 1.4688833E+003, 0.0000000E+000
 2.3000000E+000, 0.0000000E+000,-2.6254020E-001, 3.4151946E+002,-1.4730949E-001, 0.0000000E+000, 1.1851416E+002, 0.0000000E+000, 4.1479315E+002, 4.5962377E+002, 0.0000000E+000, 1.0000000E+000, 1.5022482E+003, 0.0000000E+000
 2.3499999E+000, 0.0000000E+000,-2.7455125E-001, 3.4143147E+002,-1.3586110E-001, 0.0000000E+000, 1.1852044E+002, 0.0000000E+000, 4.1482195E+002, 4.5954151E+002, 0.0000000E+000, 1.0000000E+000, 1.5356155E+003, 0.0000000E+000
 2.4000001E+000, 0.0000000E+000,-2.8655856E-001, 3.3953552E+002,-1.4355759E-001, 0.0000000E+000, 1.1851188E+002, 0.0000000E+000, 4.1480537E+002, 4.5761728E+002, 0.0000000E+000, 1.0000000E+000, 1.5689815E+003, 0.0000000E+000
 2.4500000E+000, 0.0000000E+000,-2.6720036E-001, 3.3602644E+002,-1.5151072E-001, 0.0000000E+000, 1.1851015E+002, 0.0000000E+000, 4.1477756E+002, 4.5411789E+002, 0.0000000E+000, 1.0000000E+000, 1.6023452E+003, 0.0000000E+000
 2.5000000E+000, 0.0000000E+000,-2.7920465E-001, 3.3114824E+002,-1.3828379E-001, 0.0000000E+000, 1.1851763E+002, 0.0000000E+000, 4.1481086E+002, 4.4924839E+002, 0.0000000E+000, 1.0000000E+000, 1.6357115E+003, 0.0000000E+000
 2.5500000E+000, 0.0000000E+000,-2.9120619E-001, 3.2518366E+002,-1.4599943E-001, 0.0000000E+000, 1.1850904E+002, 0.0000000E+000, 4.1479544E+002, 4.4325550E+002, 0.0000000E+000, 1.0000000E+000, 1.6690767E+003, 0.0000000E+000
 2.5999999E+000, 0.0000000E+000,-2.7096818E-001, 3.1843454E+002,-1.5398041E-001, 0.0000000E+000, 1.1850748E+002, 0.0000000E+000, 4.1476760E+002, 4.3651707E+002, 0.0000000E+000, 1.0000000E+000, 1.7024396E+003, 0.0000000E+000
 2.6500001E+000, 0.0000000E+000,-2.8296825E-001, 3.1121114E+002,-1.4094145E-001, 0.0000000E+000, 1.1851506E+002, 0.0000000E+000, 4.1480200E+002, 4.2930230E+002, 0.0000000E+000, 1.0000000E+000, 1.7358052E+003, 0.0000000E+000
 2.7000000E+000, 0.0000000E+000,-2.9496595E-001, 3.0382849E+002,-1.4868980E-001, 0.0000000E+000, 1.1850645E+002, 0.0000000E+000, 4.1478641E+002, 4.2189129E+002, 0.0000000E+000, 1.0000000E+000, 1.7691697E+003, 0.0000000E+000
 2.7500000E+000, 0.0000000E+000,-2.7422022E-001, 2.9658232E+002,-1.5670522E-001, 0.0000000E+000, 1.1850498E+002, 0.0000000E+000, 4.1475853E+002, 4.1465638E+002, 0.0000000E+000, 1.0000000E+000, 1.8025318E+003, 0.0000000E+000
 2.8000000E+000, 0.0000000E+000,-2.8621702E-001, 2.8974494E+002,-1.4330933E-001, 0.0000000E+000, 1.1851282E+002, 0.0000000E+000, 4.1479390E+002, 4.0782824E+002, 0.0000000E+000, 1.0000000E+000, 1.8358969E+003, 0.0000000E+000
 2.8499999E+000, 0.0000000E+000,-2.9821135E-001, 2.8355878E+002,-1.5108701E-001, 0.0000000E+000, 1.1850419E+002, 0.0000000E+000, 4.1477852E+002, 4.0161367E+002, 0.0000000E+000, 1.0000000E+000, 1.8692606E+003, 0.0000000E+000
 2.9000001E+000, 0.0000000E+000,-2.7723509E-001, 2.7822320E+002,-1.5913328E-001, 0.0000000E+000, 1.1850276E+002, 0.0000000E+000, 4.1475060E+002, 3.9628959E+002, 0.0000000E+000, 1.0000000E+000, 1.9026222E+003, 0.0000000E+000
