s,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR
 6.9016708E+001, 9.5706703E-003, 7.2973500E-003, 2.2108004E-003, 5.6607176E-006, 5.6859199E-005
 6.9649162E+001, 9.5706711E-003, 7.2973506E-003, 2.2108006E-003, 5.6607181E-006, 5.6859204E-005
 7.0202560E+001, 9.5706719E-003, 7.2973512E-003, 2.2108008E-003, 5.6607185E-006, 5.6859209E-005
 7.0835022E+001, 9.5706717E-003, 7.2973510E-003, 2.2108007E-003, 5.6607184E-006, 5.6859208E-005
 7.1467476E+001, 9.5706713E-003, 7.2973507E-003, 2.2108006E-003, 5.6607182E-006, 5.6859205E-005
 7.2020874E+001, 9.5706719E-003, 7.2973512E-003, 2.2108008E-003, 5.6607185E-006, 5.6859209E-005
 7.2653328E+001, 9.5706728E-003, 7.2973519E-003, 2.2108010E-003, 5.6607191E-006, 5.6859214E-005
 7.3206726E+001, 9.5706728E-003, 7.2973519E-003, 2.2108010E-003, 5.6607191E-006, 5.6859214E-005
 7.3839180E+001, 9.5706722E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859211E-005
 7.4471642E+001, 9.5706721E-003, 7.2973513E-003, 2.2108008E-003, 5.6607186E-006, 5.6859210E-005
 7.5025040E+001, 9.5706723E-003, 7.2973515E-003, 2.2108009E-003, 5.6607188E-006, 5.6859211E-005
 7.5657494E+001, 9.5706724E-003, 7.2973516E-003, 2.2108009E-003, 5.6607188E-006, 5.6859212E-005
 7.6210892E+001, 9.5706721E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859210E-005
 7.6843346E+001, 9.5706720E-003, 7.2973513E-003, 2.2108008E-003, 5.6607186E-006, 5.6859210E-005
 7.7475800E+001, 9.5706721E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859210E-005
 7.8029198E+001, 9.5706722E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859211E-005
 7.8661659E+001, 9.5706721E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859210E-005
 7.9215057E+001, 9.5706721E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859210E-005
 7.9847511E+001, 9.5706722E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859211E-005
 8.0400909E+001, 9.5706723E-003, 7.2973515E-003, 2.2108009E-003, 5.6607188E-006, 5.6859211E-005
 8.1033363E+001, 9.5706722E-003, 7.2973515E-003, 2.2108008E-003, 5.6607188E-006, 5.6859211E-005
 8.1665817E+001, 9.5706722E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859211E-005
 8.2219215E+001, 9.5706722E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859211E-005
 8.2851677E+001, 9.5706722E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859210E-005
 8.3405075E+001, 9.5706721E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859210E-005
 8.4037529E+001, 9.5706720E-003, 7.2973513E-003, 2.2108008E-003, 5.6607186E-006, 5.6859210E-005
