s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 1.0562007E+002, 0.0000000E+000, 2.0110538E-008,-1.0522670E-019, 6.3472578E-008, 0.0000000E+000, 3.4083933E-008, 0.0000000E+000, 1.1977841E-007, 1.1766705E-007, 0.0000000E+000, 0.0000000E+000, 4.9838641E+004
 1.0625253E+002, 0.0000000E+000, 9.4763008E-009,-1.0520449E-019, 7.5166963E-008, 0.0000000E+000, 3.4407432E-008, 0.0000000E+000, 1.2077150E-007, 1.1905070E-007, 0.0000000E+000, 0.0000000E+000, 4.9838644E+004
 1.0680593E+002, 0.0000000E+000,-1.1942539E-009,-1.0518641E-019, 8.8655680E-008, 0.0000000E+000, 3.5597751E-008, 0.0000000E+000, 1.2468751E-007, 1.2305918E-007, 0.0000000E+000, 0.0000000E+000, 4.9838648E+004
 1.0743839E+002, 0.0000000E+000,-1.2319401E-008,-1.0517040E-019, 1.0366654E-007, 0.0000000E+000, 3.7206670E-008, 0.0000000E+000, 1.3041017E-007, 1.2855381E-007, 0.0000000E+000, 0.0000000E+000, 4.9838651E+004
 1.0807084E+002, 0.0000000E+000,-2.4302592E-008,-1.0515493E-019, 1.1810613E-007, 0.0000000E+000, 3.8103730E-008, 0.0000000E+000, 1.3375432E-007, 1.3190726E-007, 0.0000000E+000, 0.0000000E+000, 4.9838655E+004
 1.0862424E+002, 0.0000000E+000,-3.5707749E-008,-1.0514135E-019, 1.3027997E-007, 0.0000000E+000, 3.8569850E-008, 0.0000000E+000, 1.3562130E-007, 1.3314208E-007, 0.0000000E+000, 0.0000000E+000, 4.9838659E+004
 1.0925669E+002, 0.0000000E+000,-4.6757880E-008,-1.0512755E-019, 1.4024559E-007, 0.0000000E+000, 3.8106132E-008, 0.0000000E+000, 1.3408897E-007, 1.3159384E-007, 0.0000000E+000, 0.0000000E+000, 4.9838663E+004
 1.0981009E+002, 0.0000000E+000,-5.7660698E-008,-1.0511359E-019, 1.5073822E-007, 0.0000000E+000, 3.7927513E-008, 0.0000000E+000, 1.3327774E-007, 1.3100504E-007, 0.0000000E+000, 0.0000000E+000, 4.9838667E+004
 1.1044255E+002, 0.0000000E+000,-6.8706448E-008,-1.0510105E-019, 1.6157613E-007, 0.0000000E+000, 3.7871719E-008, 0.0000000E+000, 1.3320318E-007, 1.3074140E-007, 0.0000000E+000, 0.0000000E+000, 4.9838671E+004
 1.1107500E+002, 0.0000000E+000,-8.0186961E-008,-1.0508911E-019, 1.7056344E-007, 0.0000000E+000, 3.6869449E-008, 0.0000000E+000, 1.2993490E-007, 1.2724592E-007, 0.0000000E+000, 0.0000000E+000, 4.9838674E+004
