s,Pa,Pa,Pa
Time,"pres_1","pres_2","pres_3"
 1.1400000E+001, 2.4970840E+003, 2.4973304E+003, 2.4916654E+003
 1.1500000E+001, 2.4969328E+003, 2.4971629E+003, 2.4920522E+003
 1.1600000E+001, 2.4968037E+003, 2.4970072E+003, 2.4923876E+003
 1.1700000E+001, 2.4966934E+003, 2.4968624E+003, 2.4926765E+003
 1.1800000E+001, 2.4965987E+003, 2.4967283E+003, 2.4929235E+003
 1.1900000E+001, 2.4965162E+003, 2.4966045E+003, 2.4931329E+003
 1.2000000E+001, 2.4964427E+003, 2.4964906E+003, 2.4933091E+003
 1.2100000E+001, 2.4963755E+003, 2.4963865E+003, 2.4934565E+003
 1.2200000E+001, 2.4963125E+003, 2.4962912E+003, 2.4935793E+003
 1.2300000E+001, 2.4962522E+003, 2.4962040E+003, 2.4936815E+003
 1.2400000E+001, 2.4961938E+003, 2.4961237E+003, 2.4937672E+003
 1.2500000E+001, 2.4961365E+003, 2.4960491E+003, 2.4938402E+003
 1.2600000E+001, 2.4960803E+003, 2.4959787E+003, 2.4939037E+003
 1.2700000E+001, 2.4960250E+003, 2.4959116E+003, 2.4939611E+003
 1.2800000E+001, 2.4959704E+003, 2.4958466E+003, 2.4940148E+003
 1.2900000E+001, 2.4959163E+003, 2.4957832E+003, 2.4940671E+003
 1.3000000E+001, 2.4958621E+003, 2.4957209E+003, 2.4941196E+003
 1.3100000E+001, 2.4958069E+003, 2.4956595E+003, 2.4941735E+003
 1.3200000E+001, 2.4957495E+003, 2.4955989E+003, 2.4942289E+003
 1.3300000E+001, 2.4956889E+003, 2.4955389E+003, 2.4942861E+003
 1.3400000E+001, 2.4956242E+003, 2.4954799E+003, 2.4943447E+003
 1.3500000E+001, 2.4955546E+003, 2.4954218E+003, 2.4944041E+003
 1.3600000E+001, 2.4954803E+003, 2.4953648E+003, 2.4944638E+003
 1.3700000E+001, 2.4954018E+003, 2.4953094E+003, 2.4945234E+003
 1.3800000E+001, 2.4953201E+003, 2.4952555E+003, 2.4945821E+003
 1.3900000E+001, 2.4952366E+003, 2.4952032E+003, 2.4946393E+003
 1.4000000E+001, 2.4951528E+003, 2.4951524E+003, 2.4946941E+003
 1.4100000E+001, 2.4950703E+003, 2.4951029E+003, 2.4947456E+003
 1.4200000E+001, 2.4949909E+003, 2.4950548E+003, 2.4947932E+003
 1.4300000E+001, 2.4949159E+003, 2.4950079E+003, 2.4948359E+003
 1.4400000E+001, 2.4948466E+003, 2.4949624E+003, 2.4948730E+003
 1.4500000E+001, 2.4947840E+003, 2.4949186E+003, 2.4949038E+003
 1.4600000E+001, 2.4947285E+003, 2.4948770E+003, 2.4949276E+003
 1.4700000E+001, 2.4946805E+003, 2.4948379E+003, 2.4949439E+003
 1.4800000E+001, 2.4946398E+003, 2.4948015E+003, 2.4949519E+003
 1.4900000E+001, 2.4946057E+003, 2.4947679E+003, 2.4949511E+003
 1.5000000E+001, 2.4945774E+003, 2.4947369E+003, 2.4949408E+003
 1.5100000E+001, 2.3736063E+003, 2.3742278E+003, 2.3737537E+003
 1.5200000E+001, 2.1490256E+003, 2.1495610E+003, 2.1486231E+003
 1.5300000E+001, 1.9450856E+003, 1.9453346E+003, 1.9444265E+003
 1.5400000E+001, 1.7611057E+003, 1.7604548E+003, 1.7595846E+003
