s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 1.9843292E+001, 0.0000000E+000,-2.3881563E-005, 2.1049681E-004,-2.0439332E-005, 0.0000000E+000, 4.8856206E-003, 0.0000000E+000, 5.0504488E-003, 5.0517965E-003, 0.0000000E+000, 4.0000000E-005, 1.5473435E+004
 2.0475748E+001, 0.0000000E+000,-2.4057184E-005, 2.2552676E-004,-2.0386582E-005, 0.0000000E+000, 4.8915216E-003, 0.0000000E+000, 5.0713402E-003, 5.0726046E-003, 0.0000000E+000, 4.0000000E-005, 1.5989008E+004
 2.1029146E+001, 0.0000000E+000,-2.4160322E-005, 2.3949556E-004,-2.0427956E-005, 0.0000000E+000, 4.8969217E-003, 0.0000000E+000, 5.0905240E-003, 5.0918290E-003, 0.0000000E+000, 4.0000000E-005, 1.6440638E+004
 2.1661602E+001, 0.0000000E+000,-2.4364706E-005, 2.5370258E-004,-2.0344720E-005, 0.0000000E+000, 4.9025348E-003, 0.0000000E+000, 5.1102238E-003, 5.1115279E-003, 0.0000000E+000, 4.0000000E-005, 1.6957371E+004
 2.2215000E+001, 0.0000000E+000,-2.4561193E-005, 2.6790595E-004,-2.0276369E-005, 0.0000000E+000, 4.9081209E-003, 0.0000000E+000, 5.1297831E-003, 5.1311893E-003, 0.0000000E+000, 4.0000000E-005, 1.7410024E+004
 2.2847456E+001, 0.0000000E+000,-2.4638034E-005, 2.8185213E-004,-2.0356392E-005, 0.0000000E+000, 4.9135175E-003, 0.0000000E+000, 5.1489526E-003, 5.1503752E-003, 0.0000000E+000, 4.0000000E-005, 1.7927915E+004
 2.3400854E+001, 0.0000000E+000,-2.4706136E-005, 2.9577389E-004,-2.0420661E-005, 0.0000000E+000, 4.9189567E-003, 0.0000000E+000, 5.1684531E-003, 5.1696038E-003, 0.0000000E+000, 4.0000000E-005, 1.8381577E+004
 2.4033310E+001, 0.0000000E+000,-2.4879835E-005, 3.0991168E-004,-2.0312608E-005, 0.0000000E+000, 4.9245279E-003, 0.0000000E+000, 5.1879195E-003, 5.1892472E-003, 0.0000000E+000, 4.0000000E-005, 1.8900629E+004
 2.4665766E+001, 0.0000000E+000,-2.5005095E-005, 3.2485646E-004,-2.0247918E-005, 0.0000000E+000, 4.9303985E-003, 0.0000000E+000, 5.2086037E-003, 5.2100019E-003, 0.0000000E+000, 4.0000000E-005, 1.9420300E+004
 2.5219164E+001, 0.0000000E+000,-2.5181275E-005, 3.3892299E-004,-2.0097765E-005, 0.0000000E+000, 4.9359938E-003, 0.0000000E+000, 5.2282735E-003, 5.2296377E-003, 0.0000000E+000, 4.0000000E-005, 1.9875523E+004
 2.5851620E+001, 0.0000000E+000,-2.5250109E-005, 3.5269701E-004,-2.0095008E-005, 0.0000000E+000, 4.9413531E-003, 0.0000000E+000, 5.2473685E-003, 5.2487050E-003, 0.0000000E+000, 4.0000000E-005, 2.0396350E+004
 2.6405018E+001, 0.0000000E+000,-2.5319829E-005, 3.6644102E-004,-2.0109221E-005, 0.0000000E+000, 4.9467185E-003, 0.0000000E+000, 5.2664755E-003, 5.2677304E-003, 0.0000000E+000, 4.0000000E-005, 2.0852572E+004
 2.7037474E+001, 0.0000000E+000,-2.5498912E-005, 3.8043530E-004,-2.0001765E-005, 0.0000000E+000, 4.9522671E-003, 0.0000000E+000, 5.2859600E-003, 5.2872017E-003, 0.0000000E+000, 4.0000000E-005, 2.1374548E+004
