Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
     49,      1,     98,      1,     66,     18,      7,  0.13012925E-01,      1,     66,     18,      8,  0.58561241E+00
     50,      1,     99,      1,     66,     18,      7,  0.22967013E-01,      1,     66,     18,      8,  0.27796838E+00
     50,      1,    100,      1,     66,     18,      7,  0.12559414E-01,      1,     66,     18,      8,  0.60708942E+00
     51,      1,    101,      1,     70,     16,     11,  0.21406206E-01,      1,     66,     18,      8,  0.33159328E+00
     51,      1,    102,      1,     70,     16,     11,  0.11556435E-01,      1,     66,     18,      8,  0.45590410E+00
     52,      1,    103,      1,     70,     16,     11,  0.22324006E-01,      1,     66,     18,      8,  0.27773738E+00
     52,      1,    104,      1,     70,     16,     11,  0.10921046E-01,      1,     66,     13,      8,  0.43518852E+00
     53,      1,    105,      1,     70,     16,     11,  0.21679564E-01,      1,     66,     17,      8,  0.23656845E+00
     53,      1,    106,      1,     70,     16,     11,  0.95763008E-02,      1,     66,     13,      8,  0.46042755E+00
     54,      1,    107,      1,     70,     16,     11,  0.19554641E-01,      1,     66,     13,      8,  0.23069801E+00
     54,      1,    108,      1,     66,     19,      7,  0.10141474E-01,      1,     66,     13,      8,  0.46903461E+00
     55,      1,    109,      1,     66,     13,      7,  0.18206994E-01,      1,     66,     13,      8,  0.22983984E+00
     55,      1,    110,      1,     66,     19,      7,  0.99847714E-02,      1,     66,     19,      8,  0.40387564E+00
     56,      1,    111,      1,     66,     19,      7,  0.17796229E-01,      1,     66,     14,      8,  0.20061152E+00
     56,      1,    112,      1,     66,     19,      7,  0.87319592E-02,      1,     66,     19,      8,  0.36484401E+00
     57,      1,    113,      1,     66,     19,      7,  0.16737680E-01,      1,     66,     14,      8,  0.19509615E+00
     57,      1,    114,      1,     66,     21,      7,  0.79398585E-02,      1,     67,     15,      8,  0.39781049E+00
     58,      1,    115,      1,     66,     19,      7,  0.15246530E-01,      1,     67,     15,      8,  0.23029778E+00
     58,      1,    116,      1,     66,     20,      7,  0.69128810E-02,      1,     67,     15,      8,  0.41584434E+00
     59,      1,    117,      1,     66,     19,      7,  0.13050408E-01,      1,     67,     15,      8,  0.25619865E+00
     59,      1,    118,      1,     70,     13,     11,  0.76843128E-02,      1,     67,     15,      8,  0.36058139E+00
     60,      1,    119,      1,     70,     13,     11,  0.14673187E-01,      1,     67,     15,      8,  0.23948134E+00
     60,      1,    120,      1,     70,     13,     11,  0.80134843E-02,      1,     68,     15,      8,  0.30022312E+00
     61,      1,    121,      1,     70,     13,     11,  0.15534526E-01,      1,     67,     15,      8,  0.20543491E+00
     61,      1,    122,      1,     70,     13,     11,  0.77936593E-02,      1,     68,     15,      8,  0.31930428E+00
     62,      1,    123,      1,     70,     13,     11,  0.15189733E-01,      1,     67,     15,      8,  0.16920228E+00
     62,      1,    124,      1,     70,     13,     11,  0.68790926E-02,      1,     68,     15,      8,  0.33073626E+00
     63,      1,    125,      1,     70,     13,     11,  0.14010099E-01,      1,     68,     15,      8,  0.15763402E+00
     63,      1,    126,      1,     70,     13,     11,  0.59373082E-02,      1,     68,     15,      8,  0.33559636E+00
