Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
     44,      1,     88,      1,     79,     11,      3,  0.43368087E-18,      1,     64,     19,      8,  0.40302497E+00
     45,      1,     89,      1,     79,     14,     12,  0.86736174E-18,      1,     66,     14,      8,  0.33691532E+00
     45,      1,     90,      1,     79,     27,     11,  0.43368087E-18,      1,     66,     14,      8,  0.43854710E+00
     46,      1,     91,      1,     79,     13,     15,  0.86736174E-18,      1,     65,     17,      8,  0.33487114E+00
     46,      1,     92,      1,     79,     13,     15,  0.86736174E-18,      1,     64,     17,      8,  0.39251422E+00
     47,      1,     93,      1,     79,     19,      7,  0.43368087E-18,      1,     67,     12,      8,  0.39565010E+00
     47,      1,     94,      1,     79,     11,      6,  0.43368087E-18,      1,     66,     14,      8,  0.41665796E+00
     48,      1,     95,      1,     79,     17,      3,  0.86736174E-18,      1,     64,     17,      8,  0.34073129E+00
     48,      1,     96,      1,     79,     20,     11,  0.86736174E-18,      1,     66,     14,      8,  0.38971641E+00
     49,      1,     97,      1,     79,     16,      4,  0.86736174E-18,      1,     64,     15,      8,  0.42646576E+00
     49,      1,     98,      1,     79,     16,     15,  0.86736174E-18,      1,     66,     14,      8,  0.61088087E+00
     50,      1,     99,      1,     79,     16,     12,  0.17347235E-17,      1,     66,     19,     10,  0.53480784E+00
     50,      1,    100,      1,     79,     16,     12,  0.86736174E-18,      1,     66,     14,      8,  0.64426309E+00
     51,      1,    101,      1,     79,     15,     10,  0.86736174E-18,      1,     68,     15,     10,  0.69774795E+00
     51,      1,    102,      1,     79,     18,     10,  0.86736174E-18,      1,     66,     14,      8,  0.45612002E+00
     52,      1,    103,      1,     79,     17,     13,  0.86736174E-18,      1,     68,     15,     10,  0.76234691E+00
     52,      1,    104,      1,     79,     17,     13,  0.86736174E-18,      1,     66,     19,     10,  0.48918601E+00
     53,      1,    105,      1,     79,     14,      3,  0.86736174E-18,      1,     68,     15,     10,  0.83645786E+00
     53,      1,    106,      1,     79,     13,      3,  0.86736174E-18,      1,     68,     15,     10,  0.63190133E+00
     54,      1,    107,      1,     79,     14,      3,  0.86736174E-18,      1,     65,     12,     10,  0.92185530E+00
     54,      1,    108,      1,     79,     14,      3,  0.86736174E-18,      1,     65,     12,     10,  0.75068436E+00
     55,      1,    109,      1,     79,     16,     11,  0.17347235E-17,      1,     65,     12,     10,  0.97743041E+00
     55,      1,    110,      1,     79,     15,     11,  0.17347235E-17,      1,     65,     12,     10,  0.86763365E+00
     56,      1,    111,      1,     79,     16,     10,  0.17347235E-17,      1,     65,     12,     10,  0.10102813E+01
     56,      1,    112,      1,     79,     14,      4,  0.86736174E-18,      1,     65,     12,     10,  0.95122029E+00
     57,      1,    113,      1,     79,     19,      4,  0.86736174E-18,      1,     65,     12,     10,  0.10132591E+01
     57,      1,    114,      1,     79,     19,      3,  0.86736174E-18,      1,     65,     12,     10,  0.97320085E+00
     58,      1,    115,      1,     79,     18,      4,  0.86736174E-18,      1,     65,     12,     10,  0.10529298E+01
     58,      1,    116,      1,     79,     16,      4,  0.86736174E-18,      1,     65,     12,     10,  0.98777435E+00
     59,      1,    117,      1,     79,     14,      4,  0.17347235E-17,      1,     65,     12,     10,  0.10317749E+01
     59,      1,    118,      1,     79,     14,      4,  0.17347235E-17,      1,     65,     12,     10,  0.99123572E+00
     60,      1,    119,      1,     79,     23,      3,  0.86736174E-18,      1,     65,     12,     10,  0.97758609E+00
     60,      1,    120,      1,     79,     19,      5,  0.86736174E-18,      1,     65,     12,     10,  0.97243108E+00
