s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 3.0718697E-001, 1.4427329E-002, 0.0000000E+000, 5.1326215E-002, 2.3446923E-001, 7.7015759E-004, 1.0000000E+000, 4.0000000E+000, 1.0029109E-003, 5.5451787E-009
 3.1083339E-001, 2.0283842E-002, 0.0000000E+000, 5.2100100E-002, 2.2215268E-001, 1.0245341E-003, 1.0000000E+000, 3.0000000E+000, 9.6687624E-005, 4.9625122E-009
 3.1447980E-001, 2.6100003E-002, 0.0000000E+000, 5.2883116E-002, 2.2108434E-001, 1.3055236E-003, 1.0000000E+000, 3.0000000E+000, 9.4507860E-005, 4.7070451E-009
 3.1812622E-001, 3.1876986E-002, 0.0000000E+000, 5.3675774E-002, 2.2010316E-001, 1.5061256E-003, 1.0000000E+000, 3.0000000E+000, 9.6455733E-005, 5.0813825E-009
 3.2139979E-001, 3.7013441E-002, 0.0000000E+000, 5.4394293E-002, 2.1865866E-001, 1.1842377E-003, 1.0000000E+000, 3.0000000E+000, 1.0131987E-004, 5.3822681E-009
 3.2467336E-001, 4.2393765E-002, 0.0000000E+000, 5.5145456E-002, 2.3007732E-001, 1.5134362E-003, 1.0000000E+000, 3.0000000E+000, 1.1654026E-004, 8.3130319E-009
 3.2794693E-001, 4.7452648E-002, 0.0000000E+000, 5.5878758E-002, 2.1633460E-001, 1.5373244E-003, 1.0000000E+000, 3.0000000E+000, 9.6598921E-005, 4.8117052E-009
 3.3122050E-001, 5.2465767E-002, 0.0000000E+000, 5.6618104E-002, 2.1484746E-001, 1.6226349E-003, 1.0000000E+000, 3.0000000E+000, 1.0249603E-004, 5.8725237E-009
 3.3449407E-001, 5.7434069E-002, 0.0000000E+000, 5.7364742E-002, 2.1344704E-001, 1.7613731E-003, 1.0000000E+000, 3.0000000E+000, 1.0390710E-004, 6.2547942E-009
 3.3776764E-001, 6.2638728E-002, 0.0000000E+000, 5.8145320E-002, 2.2466090E-001, 1.9933856E-003, 1.0000000E+000, 3.0000000E+000, 1.1883584E-004, 9.5898288E-009
 3.4104121E-001, 6.7511817E-002, 0.0000000E+000, 5.8908847E-002, 2.1060460E-001, 1.9635334E-003, 1.0000000E+000, 3.0000000E+000, 9.2017931E-005, 4.5324530E-009
 3.4431478E-001, 7.2326922E-002, 0.0000000E+000, 5.9678805E-002, 2.0871958E-001, 1.9875771E-003, 1.0000000E+000, 3.0000000E+000, 1.0183900E-004, 6.2637912E-009
 3.4758836E-001, 7.7083606E-002, 0.0000000E+000, 6.0456233E-002, 2.0686922E-001, 2.0393572E-003, 1.0000000E+000, 3.0000000E+000, 1.0090195E-004, 6.2042948E-009
 3.5086193E-001, 8.1423165E-002, 0.0000000E+000, 6.1175977E-002, 1.8765612E-001, 1.9549632E-003, 1.0000000E+000, 3.0000000E+000, 1.0638497E-004, 7.4038105E-009
 3.5413550E-001, 8.4752820E-002, 0.0000000E+000, 6.1700556E-002, 1.3855019E-001, 1.6605212E-003, 1.0000000E+000, 4.0000000E+000, 1.0419917E-003, 7.5071061E-009
 3.5740907E-001, 8.7814874E-002, 0.0000000E+000, 6.2209710E-002, 1.2757965E-001, 1.5407415E-003, 1.0000000E+000, 3.0000000E+000, 9.4805163E-005, 5.3653497E-009
 3.6068264E-001, 9.0818330E-002, 0.0000000E+000, 6.2723008E-002, 1.2558414E-001, 1.6139290E-003, 1.0000000E+000, 3.0000000E+000, 1.0440864E-004, 7.2597435E-009
 3.6395621E-001, 9.3765565E-002, 0.0000000E+000, 6.3241841E-002, 1.2381705E-001, 1.6577233E-003, 1.0000000E+000, 3.0000000E+000, 9.8753261E-005, 6.2195459E-009
 3.6722978E-001, 9.6846543E-002, 0.0000000E+000, 6.3775215E-002, 1.3031375E-001, 1.6985245E-003, 1.0000000E+000, 3.0000000E+000, 1.0110391E-004, 6.7569261E-009
 3.7050335E-001, 9.9665524E-002, 0.0000000E+000, 6.4302357E-002, 1.1994943E-001, 1.8528762E-003, 1.0000000E+000, 3.0000000E+000, 9.4866036E-005, 5.6197984E-009
