s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 2.2525811E-001, 5.5028333E-002, 0.0000000E+000, 1.0000000E+000, 2.1025048E+001
 2.2658276E-001, 5.4995585E-002, 0.0000000E+000, 1.0000000E+000, 2.1414635E+001
 2.2790741E-001, 5.4962674E-002, 0.0000000E+000, 1.0000000E+000, 2.1602038E+001
 2.2923205E-001, 5.4929600E-002, 0.0000000E+000, 1.0000000E+000, 2.1724049E+001
 2.3055670E-001, 5.4896363E-002, 0.0000000E+000, 1.0000000E+000, 2.1869488E+001
 2.3188135E-001, 5.4862964E-002, 0.0000000E+000, 1.0000000E+000, 2.2573102E+001
 2.3320600E-001, 5.4829403E-002, 0.0000000E+000, 1.0000000E+000, 2.2722560E+001
 2.3453064E-001, 5.4795680E-002, 0.0000000E+000, 1.0000000E+000, 2.2891087E+001
 2.3585529E-001, 5.4761796E-002, 0.0000000E+000, 1.0000000E+000, 2.3062836E+001
 2.3717994E-001, 5.4727752E-002, 0.0000000E+000, 1.0000000E+000, 2.3179229E+001
 2.3850459E-001, 5.4693548E-002, 0.0000000E+000, 1.0000000E+000, 2.3319991E+001
 2.3982923E-001, 5.4659184E-002, 0.0000000E+000, 1.0000000E+000, 2.4155146E+001
 2.4101947E-001, 5.4635134E-002, 0.0000000E+000, 1.0000000E+000, 2.4356597E+001
 2.4220970E-001, 5.4604023E-002, 1.3877788E-017, 1.0000000E+000, 2.4544730E+001
 2.4339994E-001, 5.4572783E-002, 1.3877788E-017, 1.0000000E+000, 2.4712298E+001
 2.4459017E-001, 5.4541415E-002, 1.3877788E-017, 1.0000000E+000, 2.4828446E+001
 2.4578041E-001, 5.4509920E-002, 1.3877788E-017, 1.0000000E+000, 2.4971831E+001
 2.4697064E-001, 5.4478298E-002, 1.3877788E-017, 1.0000000E+000, 2.5088359E+001
 2.4816088E-001, 5.4446549E-002, 1.3877788E-017, 1.0000000E+000, 2.5869750E+001
 2.4935111E-001, 5.4414674E-002, 1.3877788E-017, 1.0000000E+000, 2.6039883E+001
 2.5054135E-001, 5.4382673E-002, 1.3877788E-017, 1.0000000E+000, 2.6175976E+001
 2.5173158E-001, 5.4350546E-002, 1.3877788E-017, 1.0000000E+000, 2.6332043E+001
 2.5292182E-001, 5.4318294E-002, 1.3877788E-017, 1.0000000E+000, 2.6461510E+001
 2.5411205E-001, 5.4285916E-002, 2.7755576E-017, 1.0000000E+000, 2.6594186E+001
 2.5530229E-001, 5.4253414E-002, 2.7755576E-017, 1.0000000E+000, 2.7516524E+001
 2.5649252E-001, 5.4220788E-002, 2.7755576E-017, 1.0000000E+000, 2.7656010E+001
 2.5768276E-001, 5.4188037E-002, 1.3877788E-017, 1.0000000E+000, 2.8389764E+001
 2.5887299E-001, 5.4155163E-002, 2.7755576E-017, 1.0000000E+000, 2.8542754E+001
 2.6006322E-001, 5.4122165E-002, 0.0000000E+000, 1.0000000E+000, 2.8722998E+001
 2.6125346E-001, 5.4089044E-002, 0.0000000E+000, 1.0000000E+000, 2.8883851E+001
 2.6244369E-001, 5.4055801E-002, 0.0000000E+000, 1.0000000E+000, 2.9013711E+001
 2.6363393E-001, 5.4022435E-002, 0.0000000E+000, 1.0000000E+000, 2.9146641E+001
 2.6482416E-001, 5.3988947E-002, 0.0000000E+000, 1.0000000E+000, 2.9276780E+001
 2.6601440E-001, 5.3955338E-002, 0.0000000E+000, 1.0000000E+000, 3.0000558E+001
 2.6720463E-001, 5.3921607E-002, 0.0000000E+000, 1.0000000E+000, 3.0202668E+001
 2.6839487E-001, 5.3887755E-002, 0.0000000E+000, 1.0000000E+000, 3.0323666E+001
 2.6958510E-001, 5.3853782E-002, 0.0000000E+000, 1.0000000E+000, 3.0502982E+001
 2.7077534E-001, 5.3819689E-002, 0.0000000E+000, 1.0000000E+000, 3.0635760E+001
 2.7315581E-001, 5.3768310E-002, 0.0000000E+000, 1.0000000E+000, 3.0852759E+001
 2.7434604E-001, 5.3716692E-002, 0.0000000E+000, 1.0000000E+000, 3.1754992E+001
 2.7672651E-001, 5.3664776E-002, 0.0000000E+000, 1.0000000E+000, 3.2001700E+001
 2.7886239E-001, 5.3607689E-002, 0.0000000E+000, 1.0000000E+000, 3.2338773E+001
 2.8099828E-001, 5.3544903E-002, 0.0000000E+000, 1.0000000E+000, 3.2600760E+001
 2.8206622E-001, 5.3497577E-002, 0.0000000E+000, 1.0000000E+000, 3.3356946E+001
 2.8420210E-001, 5.3450016E-002, 0.0000000E+000, 1.0000000E+000, 3.3599272E+001
 2.8633798E-001, 5.3386289E-002, 0.0000000E+000, 1.0000000E+000, 3.3886718E+001
 2.8847387E-001, 5.3322190E-002, 0.0000000E+000, 1.0000000E+000, 3.4147576E+001
 2.9060975E-001, 5.3257721E-002, 0.0000000E+000, 1.0000000E+000, 3.5096310E+001
 2.9274563E-001, 5.3192884E-002, 0.0000000E+000, 1.0000000E+000, 3.5403615E+001
 2.9488152E-001, 5.3127681E-002, 0.0000000E+000, 1.0000000E+000, 3.5689522E+001
 2.9701740E-001, 5.3062113E-002, 0.0000000E+000, 1.0000000E+000, 3.5950003E+001
 2.9808534E-001, 5.3012711E-002, 0.0000000E+000, 1.0000000E+000, 3.6818295E+001
 3.0022122E-001, 5.2963084E-002, 0.0000000E+000, 1.0000000E+000, 3.7064198E+001
 3.0235711E-001, 5.2896616E-002, 0.0000000E+000, 1.0000000E+000, 3.7352517E+001
 3.0449299E-001, 5.2829791E-002, 0.0000000E+000, 1.0000000E+000, 3.7648249E+001
 3.0662887E-001, 5.2762612E-002, 0.0000000E+000, 1.0000000E+000, 3.8253138E+001
 3.0876476E-001, 5.2695080E-002, 0.0000000E+000, 1.0000000E+000, 3.9046212E+001
 3.1090064E-001, 5.2627198E-002, 0.0000000E+000, 1.0000000E+000, 3.9345519E+001
 3.1303652E-001, 5.2558967E-002, 0.0000000E+000, 1.0000000E+000, 3.9630578E+001
