s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 1.3601293E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.3690147E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.3779002E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.3867856E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.3956711E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4045565E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4134420E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4223274E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4312129E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4400983E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4489838E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4578692E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4667546E+001, 1.0000000E+000, 1.0000000E+000, 4.4408921E-016, 1.0000000E+000
 1.4756401E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4845255E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.4934110E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5022964E+001, 1.0000000E+000, 1.0000000E+000, 4.4408921E-016, 1.0000000E+000
 1.5111819E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5200673E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5289528E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5378382E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5467237E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5556091E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5644946E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5733800E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5822655E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.5911509E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.6000364E+001, 1.0000000E+000, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000
 1.6089218E+001, 1.0000000E+000, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000
 1.6178073E+001, 1.0000000E+000, 9.9999999E-001, 2.2204460E-016, 1.0000000E+000
 1.6266927E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.6355781E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.6444636E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.6533490E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.6622345E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.6711199E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.6800054E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.6888908E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.6977763E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.7066617E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
 1.7155472E+001, 1.0000000E+000, 1.0000000E+000, 2.2204460E-016, 1.0000000E+000
