s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 3.0238858E-001, 5.2889382E-002, 9.9425137E-006, 5.5000000E+000, 4.2945908E+001
 3.0452453E-001, 5.2820769E-002, 9.9415034E-006, 5.5000000E+000, 4.3237888E+001
 3.0666049E-001, 5.2755611E-002, 9.9289275E-006, 5.5000000E+000, 4.3530804E+001
 3.0879644E-001, 5.2685675E-002, 9.9359073E-006, 5.5000000E+000, 4.3814991E+001
 3.1093240E-001, 5.2619497E-002, 9.9305268E-006, 5.5000000E+000, 4.4507103E+001
 3.1200038E-001, 5.2570930E-002, 9.9751497E-006, 8.0000000E+000, 4.4747810E+001
 3.1413633E-001, 5.2517177E-002, 9.9339480E-006, 5.5000000E+000, 4.4975077E+001
 3.1627229E-001, 5.2449317E-002, 9.9365197E-006, 5.5000000E+000, 4.5663511E+001
 3.1840825E-001, 5.2380729E-002, 9.9415944E-006, 5.5000000E+000, 4.5990450E+001
 3.2043592E-001, 5.2317835E-002, 9.9415188E-006, 4.8931960E+000, 4.6286722E+001
 3.2235531E-001, 5.2249852E-002, 9.9840519E-006, 4.5000000E+000, 4.7044821E+001
 3.2427470E-001, 5.2182186E-002, 9.9254468E-006, 4.5000000E+000, 4.7338371E+001
 3.2619410E-001, 5.2135837E-002, 9.9560563E-006, 5.0000000E+000, 4.7626072E+001
 3.2811349E-001, 5.2059852E-002, 9.9809718E-006, 3.0000000E+000, 4.7900622E+001
 3.3003288E-001, 5.1998776E-002, 9.9608676E-006, 5.5000000E+000, 4.8609228E+001
 3.3291197E-001, 5.1921387E-002, 9.9406732E-006, 4.6666667E+000, 4.8972547E+001
 3.3483136E-001, 5.1848357E-002, 9.9662152E-006, 5.0000000E+000, 4.9314303E+001
 3.3675075E-001, 5.1773036E-002, 9.9672144E-006, 5.0000000E+000, 4.9591364E+001
 3.3867015E-001, 5.1706816E-002, 9.9510462E-006, 3.0000000E+000, 4.9871769E+001
 3.4058954E-001, 5.1645137E-002, 9.9545490E-006, 5.5000000E+000, 5.0159702E+001
 3.4250893E-001, 5.1588975E-002, 9.9728314E-006, 5.5000000E+000, 5.0909439E+001
 3.4442832E-001, 5.1509610E-002, 9.9501927E-006, 3.0000000E+000, 5.1198601E+001
 3.4634772E-001, 5.1445297E-002, 9.9713568E-006, 5.5000000E+000, 5.2058790E+001
 3.4826711E-001, 5.1392875E-002, 9.9643777E-006, 6.0000000E+000, 5.2370529E+001
 3.5018650E-001, 5.1311904E-002, 9.8868429E-006, 3.0000000E+000, 5.2643343E+001
 3.5210589E-001, 5.1246225E-002, 9.9791652E-006, 5.0000000E+000, 5.3236422E+001
 3.5402528E-001, 5.1177032E-002, 9.9618688E-006, 5.0000000E+000, 5.3529617E+001
 3.5690437E-001, 5.1100648E-002, 9.9442291E-006, 5.0000000E+000, 5.3868828E+001
 3.5882376E-001, 5.1020332E-002, 9.9582887E-006, 5.0000000E+000, 5.4211943E+001
 3.6074316E-001, 5.0942154E-002, 9.9788453E-006, 5.0000000E+000, 5.4956082E+001
 3.6266255E-001, 5.0873427E-002, 9.9793877E-006, 3.0000000E+000, 5.5251886E+001
 3.6458194E-001, 5.0809026E-002, 9.9348147E-006, 6.0000000E+000, 5.6096584E+001
 3.6650133E-001, 5.0748362E-002, 9.9509101E-006, 5.5000000E+000, 5.6391331E+001
 3.6832472E-001, 5.0672280E-002, 9.9376468E-006, 3.0000000E+000, 5.6673810E+001
 3.7005211E-001, 5.0614599E-002, 9.9306711E-006, 5.0000000E+000, 5.6968191E+001
 3.7264319E-001, 5.0549546E-002, 9.9411080E-006, 4.3333333E+000, 5.7279596E+001
 3.7437058E-001, 5.0460054E-002, 9.8795257E-006, 3.0000000E+000, 5.8148636E+001
 3.7609797E-001, 5.0409732E-002, 9.9831844E-006, 4.5000000E+000, 5.8453734E+001
 3.7868905E-001, 5.0325390E-002, 9.9646278E-006, 4.0000000E+000, 5.8784711E+001
 3.8041644E-001, 5.0241576E-002, 9.9575604E-006, 3.0000000E+000, 5.9116667E+001
 3.8214383E-001, 5.0173986E-002, 9.9330129E-006, 5.0000000E+000, 5.9389895E+001
 3.8473491E-001, 5.0108201E-002, 9.9348199E-006, 4.3333333E+000, 6.0097290E+001
 3.8646230E-001, 5.0013728E-002, 9.8940215E-006, 3.0000000E+000, 6.0426163E+001
 3.8818969E-001, 4.9964191E-002, 9.9780846E-006, 5.0000000E+000, 6.0954294E+001
 3.9078077E-001, 4.9874744E-002, 9.9332362E-006, 3.0000000E+000, 6.1789979E+001
 3.9250816E-001, 4.9795063E-002, 9.9630196E-006, 5.0000000E+000, 6.2878529E+001
 3.9423555E-001, 4.9739906E-002, 9.9579700E-006, 3.0000000E+000, 6.3679266E+001
 3.9682663E-001, 4.9652228E-002, 9.9047421E-006, 4.6666667E+000, 6.4305582E+001
 3.9855402E-001, 4.9577889E-002, 9.9660865E-006, 5.0000000E+000, 6.4921219E+001
 4.0028141E-001, 4.9498184E-002, 9.9142022E-006, 3.0000000E+000, 6.5429302E+001
 4.0200879E-001, 4.9451390E-002, 9.9748432E-006, 5.5000000E+000, 6.5960690E+001
 4.0459988E-001, 4.9355378E-002, 9.8906649E-006, 3.0000000E+000, 6.6757305E+001
