s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.7438758E-001,-7.8172202E-003, 0.0000000E+000, 2.7639274E-002,-1.9685122E-001, 2.0799477E-003, 1.0000000E+000, 1.0000000E+001, 7.6167068E-002, 1.6234524E-009
 1.7907295E-001,-1.4275959E-002, 0.0000000E+000, 2.8272326E-002,-1.8622001E-001, 2.1578041E-003, 1.0000000E+000, 1.0000000E+001, 7.6165547E-002, 1.6457998E-009
 1.8375831E-001,-2.0668233E-002, 0.0000000E+000, 2.8934465E-002,-1.8662846E-001, 2.2982474E-003, 1.0000000E+000, 1.0000000E+001, 7.6094549E-002, 1.6975522E-009
 1.8844368E-001,-2.6799636E-002, 0.0000000E+000, 2.9604638E-002,-1.8167849E-001, 2.4235687E-003, 1.0000000E+000, 1.0000000E+001, 7.6045549E-002, 1.7394011E-009
 1.9312904E-001,-3.2480241E-002, 0.0000000E+000, 3.0260137E-002,-1.7141010E-001, 2.5223094E-003, 1.0000000E+000, 1.0000000E+001, 7.6025321E-002, 1.7655539E-009
 1.9781441E-001,-3.8126181E-002, 0.0000000E+000, 3.0944639E-002,-1.7220167E-001, 2.6847593E-003, 1.0000000E+000, 1.0000000E+001, 7.5944677E-002, 1.8228017E-009
 2.0249977E-001,-4.4200450E-002, 0.0000000E+000, 3.1523901E-002,-1.9024966E-001, 2.5650382E-003, 1.0000000E+000, 1.0000000E+001, 7.6116953E-002, 1.7470146E-009
 2.0718514E-001,-5.0359271E-002, 0.0000000E+000, 3.1996800E-002,-1.9790626E-001, 2.4323700E-003, 1.0000000E+000, 1.0000000E+001, 7.6315825E-002, 1.6629334E-009
 2.1187051E-001,-5.6551413E-002, 0.0000000E+000, 3.2485226E-002,-2.0070799E-001, 2.5445031E-003, 1.0000000E+000, 1.0000000E+001, 7.6235939E-002, 1.6937249E-009
 2.1655587E-001,-6.2533716E-002, 0.0000000E+000, 3.2977780E-002,-1.9647161E-001, 2.6846627E-003, 1.0000000E+000, 1.0000000E+001, 7.6141266E-002, 1.7336006E-009
 2.2124124E-001,-6.8069474E-002, 0.0000000E+000, 3.3460234E-002,-1.8530404E-001, 2.8226121E-003, 1.0000000E+000, 1.0000000E+001, 7.6063136E-002, 1.7678927E-009
 2.2592660E-001,-7.3675124E-002, 0.0000000E+000, 3.3959633E-002,-1.8859917E-001, 2.9876827E-003, 1.0000000E+000, 1.0000000E+001, 7.5956991E-002, 1.8220653E-009
 2.3061197E-001,-7.9112422E-002, 0.0000000E+000, 3.4462486E-002,-1.8502435E-001, 3.1517211E-003, 1.0000000E+000, 1.0000000E+001, 7.5867597E-002, 1.8731178E-009
 2.3529733E-001,-8.4143967E-002, 0.0000000E+000, 3.4954303E-002,-1.7453112E-001, 3.3107114E-003, 1.0000000E+000, 1.0000000E+001, 7.5799223E-002, 1.9176954E-009
 2.3998270E-001,-8.9285315E-002, 0.0000000E+000, 3.5462016E-002,-1.7849058E-001, 3.4971599E-003, 1.0000000E+000, 1.0000000E+001, 7.5713093E-002, 1.9848933E-009
 2.4466806E-001,-9.4297532E-002, 0.0000000E+000, 3.5972028E-002,-1.7559260E-001, 3.6833236E-003, 1.0000000E+000, 1.0000000E+001, 7.5645832E-002, 2.0501460E-009
 2.4887677E-001,-9.8582391E-002, 0.0000000E+000, 3.6427730E-002,-1.6914244E-001, 3.5106083E-003, 1.0000000E+000, 1.0000000E+001, 7.5582862E-002, 2.1329075E-009
