s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.2130184E-001,-6.8330477E-002, 0.0000000E+000, 3.3506818E-002,-1.9270150E-001, 1.7026319E-005, 1.0000000E+000, 8.0000000E+000, 6.9591577E-002, 3.5032330E-009
 2.2597949E-001,-7.3682932E-002, 0.0000000E+000, 3.3992959E-002,-1.8166275E-001, 1.7572605E-005, 1.0000000E+000, 8.0000000E+000, 6.9591718E-002, 3.5962262E-009
 2.3065713E-001,-7.9122995E-002, 0.0000000E+000, 3.4496387E-002,-1.8541636E-001, 1.8225967E-005, 1.0000000E+000, 8.0000000E+000, 6.9616741E-002, 3.7163495E-009
 2.3533477E-001,-8.4155563E-002, 0.0000000E+000, 3.4988437E-002,-1.7483074E-001, 1.8825939E-005, 1.0000000E+000, 8.0000000E+000, 6.9617663E-002, 3.8196174E-009
 2.4001242E-001,-8.9301774E-002, 0.0000000E+000, 3.5497056E-002,-1.7902732E-001, 1.9536524E-005, 1.0000000E+000, 8.0000000E+000, 6.9642413E-002, 3.9511982E-009
 2.4469006E-001,-9.4317526E-002, 0.0000000E+000, 3.6007735E-002,-1.7612431E-001, 2.0238149E-005, 1.0000000E+000, 8.0000000E+000, 6.9655427E-002, 4.0777881E-009
 2.4889867E-001,-9.8603095E-002, 0.0000000E+000, 3.6461937E-002,-1.6934333E-001, 1.8787779E-005, 1.0000000E+000, 8.0000000E+000, 6.9660578E-002, 4.1922827E-009
 2.5310728E-001,-9.3044741E-002, 0.0000000E+000, 3.7355291E-002, 1.6709325E-001, 2.5268364E-005, 1.0000000E+000, 8.0000000E+000, 6.9439494E-002, 6.1512455E-009
 2.5731589E-001,-8.4164104E-002, 0.0000000E+000, 3.8407984E-002, 2.8252677E-001, 2.8867099E-005, 1.0000000E+000, 8.0000000E+000, 6.9446725E-002, 7.0047115E-009
 2.6152451E-001,-7.5362941E-002, 0.0000000E+000, 3.9470698E-002, 2.8204258E-001, 2.9626079E-005, 1.0000000E+000, 8.0000000E+000, 6.9446800E-002, 7.1865666E-009
 2.6573312E-001,-6.6638593E-002, 0.0000000E+000, 4.0543453E-002, 2.8143816E-001, 3.0405015E-005, 1.0000000E+000, 8.0000000E+000, 6.9446932E-002, 7.3733978E-009
 2.6994173E-001,-5.7642403E-002, 0.0000000E+000, 4.1667815E-002, 2.9318849E-001, 3.1707287E-005, 1.0000000E+000, 8.0000000E+000, 6.9445877E-002, 7.6925561E-009
 2.7415034E-001,-4.9061858E-002, 0.0000000E+000, 4.2762865E-002, 2.8014342E-001, 3.2065802E-005, 1.0000000E+000, 8.0000000E+000, 6.9447223E-002, 7.7726256E-009
 2.7835895E-001,-4.0546310E-002, 0.0000000E+000, 4.3869463E-002, 2.7946824E-001, 3.2937946E-005, 1.0000000E+000, 8.0000000E+000, 6.9447417E-002, 7.9825701E-009
 2.8256756E-001,-3.2092564E-002, 0.0000000E+000, 4.4988228E-002, 2.7878028E-001, 3.3846366E-005, 1.0000000E+000, 8.0000000E+000, 6.9447615E-002, 8.2015048E-009
 2.8677618E-001,-2.3698548E-002, 0.0000000E+000, 4.6119683E-002, 2.7805032E-001, 3.4791359E-005, 1.0000000E+000, 8.0000000E+000, 6.9447818E-002, 8.4295028E-009
 2.9098479E-001,-1.5362893E-002, 0.0000000E+000, 4.7264351E-002, 2.7726770E-001, 3.5774859E-005, 1.0000000E+000, 8.0000000E+000, 6.9448026E-002, 8.6670419E-009
 2.9519340E-001,-7.0849432E-003, 0.0000000E+000, 4.8422750E-002, 2.7642104E-001, 3.6798918E-005, 1.0000000E+000, 8.0000000E+000, 6.9448236E-002, 8.9146299E-009
 2.9940201E-001, 1.4790642E-003, 0.0000000E+000, 4.9636502E-002, 2.8783222E-001, 3.8360590E-005, 1.0000000E+000, 8.0000000E+000, 6.9447021E-002, 9.2975671E-009
 3.0361062E-001, 8.5178570E-003, 0.0000000E+000, 5.0554302E-002, 2.3014386E-001, 3.4961897E-005, 1.0000000E+000, 8.0000000E+000, 6.9456964E-002, 8.4364727E-009
 3.0725487E-001, 1.4417961E-002, 0.0000000E+000, 5.1322897E-002, 2.2222978E-001, 3.0529670E-005, 1.0000000E+000, 8.0000000E+000, 6.9458644E-002, 8.5030158E-009
 3.1089912E-001, 2.0276230E-002, 0.0000000E+000, 5.2098675E-002, 2.2114364E-001, 3.1297265E-005, 1.0000000E+000, 8.0000000E+000, 6.9458794E-002, 8.7173074E-009
 3.1454336E-001, 2.6095310E-002, 0.0000000E+000, 5.2882737E-002, 2.2019875E-001, 3.2105442E-005, 1.0000000E+000, 8.0000000E+000, 6.9458893E-002, 8.9431276E-009
 3.1818761E-001, 3.2158996E-002, 0.0000000E+000, 5.3702277E-002, 2.3074003E-001, 3.3224467E-005, 1.0000000E+000, 8.0000000E+000, 6.9457672E-002, 9.2596091E-009
 3.2146080E-001, 3.7292647E-002, 0.0000000E+000, 5.4420756E-002, 2.1729932E-001, 3.0276238E-005, 1.0000000E+000, 8.0000000E+000, 6.9459144E-002, 9.3913499E-009
