Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
     45,      1,    108,      1,     17,      2,     10,  0.27755576E-16,      1,     13,     13,     13,  0.11333934E+04
     45,      1,    109,      1,     17,     14,      9,  0.13877788E-16,      1,     13,     13,     13,  0.12357054E+04
     46,      1,    110,      1,     17,     13,     10,  0.13877788E-16,      1,     13,     13,     13,  0.11318740E+04
     46,      1,    111,      1,     17,     13,     10,  0.13877788E-16,      1,     13,     13,     13,  0.12352125E+04
     47,      1,    112,      1,     17,      1,      9,  0.13877788E-16,      1,     13,     13,     13,  0.11690271E+04
     47,      1,    113,      1,     17,     11,      9,  0.13877788E-16,      1,     13,     13,     13,  0.12757796E+04
     48,      1,    114,      1,     17,      3,      9,  0.13877788E-16,      3,     13,      4,     13,  0.96602269E+03
     48,      1,    115,      1,     17,     16,      8,  0.13877788E-16,      1,     13,     13,     13,  0.10519331E+04
     49,      1,    116,      1,     12,      2,     17,  0.27755576E-16,      3,     13,      4,     13,  0.82297994E+03
     49,      1,    117,      1,     15,     17,     11,  0.27755576E-16,      3,     13,      4,     13,  0.89392768E+03
     50,      1,    118,      1,     17,     15,      9,  0.13877788E-16,      3,     13,      4,     13,  0.85163775E+03
     50,      1,    119,      1,     17,     11,      8,  0.13877788E-16,      3,     13,      4,     13,  0.92628781E+03
     51,      1,    120,      1,     17,     12,      2,  0.13877788E-16,      3,     13,      4,     13,  0.87153370E+03
     51,      1,    121,      1,     17,     11,      1,  0.13877788E-16,      3,     13,      4,     13,  0.94908565E+03
     52,      1,    122,      1,     17,     12,     16,  0.27755576E-16,      3,     13,      4,     13,  0.87723287E+03
     52,      1,    123,      1,     17,      3,     12,  0.27755576E-16,      3,     13,      4,     13,  0.95602455E+03
     53,      1,    124,      1,     17,     14,     12,  0.27755576E-16,      3,     13,      4,     13,  0.91231793E+03
     53,      1,    125,      1,     12,      2,     17,  0.27755576E-16,      3,     13,      4,     13,  0.99569934E+03
     54,      1,    126,      1,     17,      2,     12,  0.27755576E-16,      3,     13,      4,     13,  0.93542913E+03
     54,      1,    127,      1,     17,      2,      9,  0.13877788E-16,      3,     13,      4,     13,  0.10220957E+04
     55,      1,    128,      1,     17,     15,     11,  0.27755576E-16,      3,     13,      4,     13,  0.94392286E+03
     55,      1,    129,      3,     17,      3,      9,  0.27755576E-16,      3,     13,      4,     13,  0.10321190E+04
     56,      1,    130,      1,     17,     14,     11,  0.27755576E-16,      3,     13,      4,     13,  0.98178166E+03
     56,      1,    131,      1,     17,      4,     12,  0.27755576E-16,      3,     13,      4,     13,  0.10749504E+04
     57,      1,    132,      1,     11,     17,     16,  0.27755576E-16,      3,     13,      4,     13,  0.10078056E+04
     57,      1,    133,      1,     12,      3,     17,  0.27755576E-16,      3,     13,      4,     13,  0.11046470E+04
     58,      1,    134,      1,     17,      4,     12,  0.27755576E-16,      3,     13,      4,     13,  0.10193428E+04
     58,      1,    135,      1,     17,      4,     12,  0.27755576E-16,      3,     13,      4,     13,  0.10320972E+04
     58,      1,    136,      1,     17,      4,     12,  0.27755576E-16,      3,     13,      4,     13,  0.11307450E+04
     59,      1,    137,      1,     12,      2,     17,  0.27755576E-16,      1,     13,     13,     13,  0.19008198E+04
     59,      1,    138,      1,     12,      2,     17,  0.55511151E-16,      1,     13,     13,     13,  0.20730134E+04
     60,      1,    139,      1,     12,      3,     17,  0.27755576E-16,      1,     13,     13,     13,  0.22923754E+04
