s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 2.3453064E-001, 5.4795680E-002, 1.3877788E-017, 1.0000000E+000, 1.1134926E+002
 2.3585529E-001, 5.4761796E-002, 1.3877788E-017, 1.0000000E+000, 1.1244739E+002
 2.3717994E-001, 5.4727752E-002, 1.3877788E-017, 1.0000000E+000, 1.1292558E+002
 2.3850459E-001, 5.4693548E-002, 1.3877788E-017, 1.0000000E+000, 1.1406605E+002
 2.3982923E-001, 5.4659184E-002, 1.3877788E-017, 1.0000000E+000, 1.1511241E+002
 2.4101947E-001, 5.4635134E-002, 1.3877788E-017, 1.0000000E+000, 1.1580492E+002
 2.4220970E-001, 5.4604023E-002, 1.3877788E-017, 1.0000000E+000, 1.1685374E+002
 2.4339994E-001, 5.4572783E-002, 1.3877788E-017, 1.0000000E+000, 1.1798146E+002
 2.4459017E-001, 5.4541415E-002, 1.3877788E-017, 1.0000000E+000, 1.1846048E+002
 2.4578041E-001, 5.4509920E-002, 1.3877788E-017, 1.0000000E+000, 1.1958592E+002
 2.4697064E-001, 5.4478298E-002, 1.3877788E-017, 1.0000000E+000, 1.2006153E+002
 2.4816088E-001, 5.4446549E-002, 1.3877788E-017, 1.0000000E+000, 1.2117381E+002
 2.4935111E-001, 5.4414674E-002, 1.3877788E-017, 1.0000000E+000, 1.2222170E+002
 2.5054135E-001, 5.4382673E-002, 1.3877788E-017, 1.0000000E+000, 1.2274440E+002
 2.5173158E-001, 5.4350546E-002, 1.3877788E-017, 1.0000000E+000, 1.2384926E+002
 2.5292182E-001, 5.4318294E-002, 1.3877788E-017, 1.0000000E+000, 1.2438087E+002
 2.5411205E-001, 5.4285916E-002, 2.7755576E-017, 1.0000000E+000, 1.2541144E+002
 2.5530229E-001, 5.4253414E-002, 2.7755576E-017, 1.0000000E+000, 1.2654995E+002
 2.5649252E-001, 5.4220788E-002, 2.7755576E-017, 1.0000000E+000, 1.2702783E+002
 2.5768276E-001, 5.4188037E-002, 1.3877788E-017, 1.0000000E+000, 1.2813025E+002
 2.5887299E-001, 5.4155163E-002, 0.0000000E+000, 1.0000000E+000, 1.2860648E+002
 2.6006322E-001, 5.4122165E-002, 0.0000000E+000, 1.0000000E+000, 1.2970752E+002
 2.6125346E-001, 5.4089044E-002, 0.0000000E+000, 1.0000000E+000, 1.3074898E+002
 2.6244369E-001, 5.4055801E-002, 0.0000000E+000, 1.0000000E+000, 1.3127916E+002
 2.6363393E-001, 5.4022435E-002, 0.0000000E+000, 1.0000000E+000, 1.3235777E+002
 2.6482416E-001, 5.3988947E-002, 0.0000000E+000, 1.0000000E+000, 1.3288501E+002
 2.6601440E-001, 5.3955338E-002, 2.7755576E-017, 1.0000000E+000, 1.3402799E+002
 2.6720463E-001, 5.3921607E-002, 0.0000000E+000, 1.0000000E+000, 1.3515717E+002
 2.6839487E-001, 5.3887755E-002, 2.7755576E-017, 1.0000000E+000, 1.3563025E+002
 2.6958510E-001, 5.3853782E-002, 2.7755576E-017, 1.0000000E+000, 1.3672734E+002
 2.7077534E-001, 5.3819689E-002, 2.7755576E-017, 1.0000000E+000, 1.3720383E+002
 2.7315581E-001, 5.3768310E-002, 2.7755576E-017, 1.0000000E+000, 1.3853462E+002
