s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 8.1237827E+000, 9.9987493E-001, 9.6704834E-001, 9.9611568E-004, 2.6000000E+001, 2.3144927E+001
 8.2124414E+000, 9.9991462E-001, 9.6711112E-001, 9.9790317E-004, 1.9000000E+001, 2.3204608E+001
 8.3011001E+000, 9.9995152E-001, 9.6763472E-001, 9.9921874E-004, 1.5000000E+001, 2.3257442E+001
 8.3897588E+000, 9.9997682E-001, 9.6879899E-001, 9.9563375E-004, 2.1000000E+001, 2.3391189E+001
 8.4784176E+000, 9.9998613E-001, 9.7046210E-001, 9.9981144E-004, 2.1000000E+001, 2.3478311E+001
 8.5670763E+000, 9.9998317E-001, 9.7233707E-001, 9.9101623E-004, 1.7000000E+001, 2.3539157E+001
 8.6557350E+000, 9.9997137E-001, 9.7425788E-001, 9.8965338E-004, 1.4000000E+001, 2.3589589E+001
 8.7443937E+000, 9.9995493E-001, 9.7610753E-001, 9.9848946E-004, 1.1000000E+001, 2.3635221E+001
 8.8330524E+000, 9.9993730E-001, 9.7780955E-001, 9.5471007E-004, 1.0000000E+001, 2.3678409E+001
 8.9217111E+000, 9.9992151E-001, 9.7931120E-001, 9.3572293E-004, 9.0000000E+000, 2.3720588E+001
 9.0103698E+000, 9.9990960E-001, 9.8057761E-001, 9.5913650E-004, 8.0000000E+000, 2.3762248E+001
 9.0990285E+000, 9.9990188E-001, 9.8158811E-001, 8.9223514E-004, 8.0000000E+000, 2.3802077E+001
 9.1876872E+000, 9.9989801E-001, 9.8233427E-001, 9.2543303E-004, 8.0000000E+000, 2.3842488E+001
 9.2763460E+000, 9.9989596E-001, 9.8283933E-001, 9.3470179E-004, 8.0000000E+000, 2.3892966E+001
 9.3650047E+000, 9.9989375E-001, 9.8313414E-001, 9.2966106E-004, 8.0000000E+000, 2.4079103E+001
 9.4536634E+000, 9.9989076E-001, 9.8323646E-001, 9.4797059E-004, 8.0000000E+000, 2.4136705E+001
 9.5423221E+000, 9.9988754E-001, 9.8318636E-001, 9.0275548E-004, 9.0000000E+000, 2.4188714E+001
 9.6309808E+000, 9.9988616E-001, 9.8298067E-001, 9.2292145E-004, 9.0000000E+000, 2.4275180E+001
 9.7196395E+000, 9.9988755E-001, 9.8259231E-001, 9.5919535E-004, 8.0000000E+000, 2.4332387E+001
 9.8082982E+000, 9.9989117E-001, 9.8201515E-001, 8.8790166E-004, 8.0000000E+000, 2.4383346E+001
 9.8969569E+000, 9.9989600E-001, 9.8123775E-001, 8.1554547E-004, 8.0000000E+000, 2.4430112E+001
 9.9856156E+000, 9.9990064E-001, 9.8024287E-001, 8.0364006E-004, 8.0000000E+000, 2.4471601E+001
 1.0074274E+001, 9.9990452E-001, 9.7899673E-001, 9.7963559E-004, 7.0000000E+000, 2.4511150E+001
 1.0162933E+001, 9.9990760E-001, 9.7758305E-001, 9.1342879E-004, 9.0000000E+000, 2.4552209E+001
 1.0251592E+001, 9.9991161E-001, 9.7597697E-001, 9.1628370E-004, 9.0000000E+000, 2.4594424E+001
 1.0340250E+001, 9.9991798E-001, 9.7412439E-001, 9.3794486E-004, 9.0000000E+000, 2.4636665E+001
 1.0428909E+001, 9.9992698E-001, 9.7212633E-001, 9.4712184E-004, 9.0000000E+000, 2.4679500E+001
 1.0517568E+001, 9.9993683E-001, 9.7018435E-001, 9.2330220E-004, 1.0000000E+001, 2.4723561E+001
 1.0606227E+001, 9.9994540E-001, 9.6852220E-001, 9.9882010E-004, 1.2000000E+001, 2.4769319E+001
 1.0694885E+001, 9.9994857E-001, 9.6799572E-001, 9.9932452E-004, 2.2000000E+001, 2.4839938E+001
 1.0783544E+001, 9.9994415E-001, 9.6855973E-001, 9.9827867E-004, 2.6000000E+001, 2.4920020E+001
 1.0872203E+001, 9.9993507E-001, 9.7007392E-001, 9.9287887E-004, 2.5000000E+001, 2.5049310E+001
 1.0960861E+001, 9.9992660E-001, 9.7224617E-001, 9.9659555E-004, 2.2000000E+001, 2.5130658E+001
 1.1049520E+001, 9.9992241E-001, 9.7492159E-001, 9.9989956E-004, 2.0000000E+001, 2.5197597E+001
 1.1138179E+001, 9.9992384E-001, 9.7809339E-001, 9.9535891E-004, 1.9000000E+001, 2.5257575E+001
 1.1226838E+001, 9.9993008E-001, 9.8181592E-001, 9.9459568E-004, 1.8000000E+001, 2.5315864E+001
 1.1315496E+001, 9.9993972E-001, 9.8616067E-001, 9.8119481E-004, 1.7000000E+001, 2.5372907E+001
 1.1404155E+001, 9.9995139E-001, 9.9113787E-001, 9.7865417E-004, 1.5000000E+001, 2.5431203E+001
 1.1492814E+001, 9.9996462E-001, 9.9680386E-001, 9.9399681E-004, 1.3000000E+001, 2.5482888E+001
 1.1581472E+001, 9.9997965E-001, 1.0032116E+000, 9.9476198E-004, 1.2000000E+001, 2.5531285E+001
 1.1670131E+001, 9.9999783E-001, 1.0103054E+000, 9.7002503E-004, 1.5000000E+001, 2.5580753E+001
 1.1758790E+001, 1.0000223E+000, 1.0179006E+000, 9.9976384E-004, 1.8000000E+001, 2.5642768E+001
 1.1847449E+001, 1.0000514E+000, 1.0255765E+000, 9.9762296E-004, 1.6000000E+001, 2.5699512E+001
