s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.4491829E-001, 2.3581228E-001, 2.7711753E-001, 1.7004989E+000, 9.5447751E-004, 1.0000000E+000, 1.1800000E+002, 7.9360354E-001, 8.8964851E-009
 1.4607396E-001, 2.3712742E-001, 2.7869884E-001, 1.4226778E+000, 7.2325637E-004, 1.0000000E+000, 1.2000000E+002, 7.9579267E-001, 7.9546877E-009
 1.4722964E-001, 2.3870593E-001, 2.8058895E-001, 1.7013344E+000, 8.6585483E-004, 1.0000000E+000, 1.2100000E+002, 7.9511121E-001, 5.8550076E-009
 1.4838531E-001, 2.4028436E-001, 2.8247987E-001, 1.7017627E+000, 1.0002000E-003, 1.0000000E+000, 1.2000000E+002, 7.9515617E-001, 7.5202953E-009
 1.4954099E-001, 2.4186275E-001, 2.8437160E-001, 1.7022022E+000, 1.0757560E-003, 1.0000000E+000, 1.1900000E+002, 7.9500896E-001, 9.4956901E-009
 1.5069666E-001, 2.4289029E-001, 2.8562121E-001, 1.1208716E+000, 7.6369926E-004, 1.0000000E+000, 1.2100000E+002, 7.9701875E-001, 8.4487898E-009
 1.5185234E-001, 2.4389384E-001, 2.8684448E-001, 1.0959762E+000, 8.4090824E-004, 1.0000000E+000, 1.2100000E+002, 7.9427202E-001, 5.5888644E-009
 1.5300801E-001, 2.4489729E-001, 2.8806906E-001, 1.0963410E+000, 7.9292716E-004, 1.0000000E+000, 1.1800000E+002, 7.9247316E-001, 8.5430134E-009
 1.5416369E-001, 2.4590070E-001, 2.8929450E-001, 1.0966795E+000, 4.9940209E-004, 1.0000000E+000, 1.1800000E+002, 7.9190771E-001, 7.8559522E-009
 1.5531936E-001, 2.4690412E-001, 2.9052056E-001, 1.0969980E+000, 7.8863401E-004, 1.0000000E+000, 1.1900000E+002, 7.9495090E-001, 9.9993082E-009
 1.5647504E-001, 2.4773994E-001, 2.9155146E-001, 9.2024266E-001, 8.3986624E-004, 1.0000000E+000, 1.2000000E+002, 7.9416731E-001, 7.1730622E-009
 1.5763071E-001, 2.4874342E-001, 2.9277883E-001, 1.0975811E+000, 6.7164750E-004, 1.0000000E+000, 1.2000000E+002, 7.9421592E-001, 7.3612898E-009
 1.5878639E-001, 2.4974691E-001, 2.9400670E-001, 1.0978574E+000, 6.4559134E-004, 1.0000000E+000, 1.1900000E+002, 7.9295590E-001, 7.7949883E-009
 1.5994206E-001, 2.5075042E-001, 2.9523509E-001, 1.0981266E+000, 6.2796960E-004, 1.0000000E+000, 1.1800000E+002, 7.9221046E-001, 8.9351963E-009
 1.6109774E-001, 2.5158632E-001, 2.9626832E-001, 9.2132810E-001, 5.0449007E-004, 1.0000000E+000, 1.1900000E+002, 7.9347875E-001, 8.7058768E-009
 1.6225341E-001, 2.5258986E-001, 2.9749801E-001, 1.0986196E+000, 3.6214791E-004, 1.0000000E+000, 1.2000000E+002, 7.9469270E-001, 8.4893463E-009
