s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 1.9026236E-001, 5.5826595E-002, 9.1073666E-005, 1.0000000E+000, 6.2179579E+000, 7.9000000E+001, 3.5249546E-009, 7.1080332E-001
 1.9173498E-001, 5.5795105E-002, 5.1183345E-005, 2.0000000E+000, 6.2990168E+000, 7.4000000E+001, 8.8020298E-009, 7.1764754E-001
 1.9320761E-001, 5.5763399E-002, 7.1445663E-005, 1.0000000E+000, 6.3473610E+000, 7.9000000E+001, 3.5031944E-009, 7.1089294E-001
 1.9468024E-001, 5.5731479E-002, 9.2810879E-005, 1.0000000E+000, 6.4579471E+000, 7.9000000E+001, 3.7966165E-009, 7.1134772E-001
 1.9615286E-001, 5.5699345E-002, 5.2407430E-005, 2.0000000E+000, 6.5497712E+000, 7.4000000E+001, 8.9747841E-009, 7.1754219E-001
 1.9762549E-001, 5.5666997E-002, 7.1840473E-005, 1.0000000E+000, 6.6989230E+000, 7.9000000E+001, 3.7750030E-009, 7.1142932E-001
 1.9909812E-001, 5.5634436E-002, 9.2675900E-005, 1.0000000E+000, 6.7432479E+000, 7.9000000E+001, 4.0758725E-009, 7.1186548E-001
 2.0057075E-001, 5.5601663E-002, 5.2293786E-005, 2.0000000E+000, 6.8201689E+000, 7.4000000E+001, 9.1738207E-009, 7.1777635E-001
 2.0204337E-001, 5.5568678E-002, 7.1997246E-005, 1.0000000E+000, 6.9460062E+000, 7.9000000E+001, 4.0605551E-009, 7.1195870E-001
 2.0351600E-001, 5.5535481E-002, 9.3191549E-005, 1.0000000E+000, 7.0796012E+000, 7.9000000E+001, 4.3640503E-009, 7.1235938E-001
 2.0498863E-001, 5.5502073E-002, 5.2958867E-005, 2.0000000E+000, 7.1417321E+000, 7.4000000E+001, 9.3640003E-009, 7.1781894E-001
 2.0646126E-001, 5.5468455E-002, 7.2682155E-005, 1.0000000E+000, 7.2303351E+000, 7.9000000E+001, 4.3378914E-009, 7.1241896E-001
 2.0793388E-001, 5.5434627E-002, 9.3868358E-005, 1.0000000E+000, 7.3809398E+000, 7.9000000E+001, 4.6504763E-009, 7.1280459E-001
 2.0940651E-001, 5.5400589E-002, 5.3518221E-005, 2.0000000E+000, 7.4371289E+000, 7.4000000E+001, 9.5544180E-009, 7.1788349E-001
 2.1073128E-001, 5.5376599E-002, 5.8065500E-005, 1.0000000E+000, 7.6026281E+000, 7.9000000E+001, 4.1268321E-009, 7.1272894E-001
 2.1205605E-001, 5.5345671E-002, 7.4536287E-005, 1.0000000E+000, 7.6635541E+000, 7.9000000E+001, 4.4303172E-009, 7.1320580E-001
 2.1338081E-001, 5.5314574E-002, 8.3359250E-005, 1.0000000E+000, 7.7327331E+000, 7.9000000E+001, 4.5672153E-009, 7.1331702E-001
 2.1470558E-001, 5.5283310E-002, 8.6874040E-005, 1.0000000E+000, 7.7805432E+000, 7.9000000E+001, 4.6403243E-009, 7.1338630E-001
 2.1603035E-001, 5.5251878E-002, 8.8587784E-005, 1.0000000E+000, 7.8289808E+000, 7.9000000E+001, 4.7049044E-009, 7.1345783E-001
