s,m/s,m/s,Pa,m/s,
Time,"u-vel","w-vel","pres","error","iter"
 1.2600000E-001, 2.4017496E-001, 2.7177032E-001, 9.1896159E-002, 9.9764526E-006, 2.5000000E+001
 1.2800000E-001, 2.4006502E-001, 2.7507047E-001, 9.1530295E-002, 9.8250316E-006, 2.6000000E+001
 1.3000000E-001, 2.3993215E-001, 2.7841513E-001, 9.1119026E-002, 9.9665740E-006, 2.6000000E+001
 1.3200000E-001, 2.3977547E-001, 2.8180505E-001, 9.0667023E-002, 9.7478182E-006, 2.7000000E+001
 1.3400000E-001, 2.3959421E-001, 2.8524055E-001, 9.0181598E-002, 9.8378987E-006, 2.7000000E+001
 1.3600000E-001, 2.3938748E-001, 2.8872235E-001, 8.9653236E-002, 9.6439700E-006, 2.8000000E+001
 1.3800000E-001, 2.3915453E-001, 2.9225079E-001, 8.9090611E-002, 9.7355251E-006, 2.8000000E+001
 1.4000000E-001, 2.3889445E-001, 2.9582647E-001, 8.8484430E-002, 9.9426128E-006, 2.8000000E+001
 1.4200000E-001, 2.3860648E-001, 2.9945013E-001, 8.7842708E-002, 9.7552698E-006, 2.9000000E+001
 1.4400000E-001, 2.3828986E-001, 3.0312210E-001, 8.7155182E-002, 9.8529751E-006, 2.9000000E+001
 1.4600000E-001, 2.3794381E-001, 3.0684321E-001, 8.6429291E-002, 9.6042734E-006, 3.0000000E+001
 1.4800000E-001, 2.3756758E-001, 3.1061384E-001, 8.5659874E-002, 9.6374381E-006, 3.0000000E+001
 1.5000000E-001, 2.3716037E-001, 3.1443473E-001, 8.4856129E-002, 9.7300731E-006, 3.0000000E+001
 1.5200000E-001, 2.3568470E-001, 3.1744390E-001,-2.7590647E-002, 9.9909255E-006, 2.6000000E+002
 1.5400000E-001, 2.3416508E-001, 3.2047964E-001,-3.0185176E-002, 9.9085423E-006, 4.4000000E+001
 1.5600000E-001, 2.3261312E-001, 3.2354938E-001,-3.1593134E-002, 9.8555734E-006, 2.8000000E+001
 1.5800000E-001, 2.3103164E-001, 3.2665591E-001,-3.2710064E-002, 9.7977990E-006, 2.4000000E+001
 1.6000000E-001, 2.2942133E-001, 3.2980003E-001,-3.3756644E-002, 9.7620402E-006, 2.3000000E+001
 1.6200000E-001, 2.2778173E-001, 3.3298173E-001,-3.4839616E-002, 9.6111793E-006, 2.4000000E+001
 1.6400000E-001, 2.2611221E-001, 3.3620052E-001,-3.5993376E-002, 9.6093055E-006, 2.5000000E+001
 1.6600000E-001, 2.2441244E-001, 3.3945628E-001,-3.7198077E-002, 9.9919741E-006, 2.5000000E+001
 1.6800000E-001, 2.2268225E-001, 3.4274950E-001,-3.8416909E-002, 9.8245374E-006, 2.6000000E+001
 1.7000000E-001, 2.2092215E-001, 3.4608048E-001,-3.9597683E-002, 9.7816239E-006, 2.6000000E+001
 1.7200000E-001, 2.1913245E-001, 3.4944974E-001,-4.0764924E-002, 9.7073505E-006, 2.6000000E+001
