s,s
Time,"cpu"
 7.2671288E+000, 1.3947032E+003
 7.2912990E+000, 1.4024469E+003
 7.3275544E+000, 1.4102255E+003
 7.3517246E+000, 1.4171857E+003
 7.3916055E+000, 1.4243677E+003
 7.4181927E+000, 1.4317214E+003
 7.4447800E+000, 1.4369351E+003
 7.4713672E+000, 1.4427160E+003
 7.5112481E+000, 1.4496812E+003
 7.5378353E+000, 1.4568226E+003
 7.5644226E+000, 1.4627059E+003
 7.5910098E+000, 1.4689502E+003
 7.6308907E+000, 1.4765660E+003
 7.6574779E+000, 1.4829620E+003
 7.6840652E+000, 1.4888367E+003
 7.7106524E+000, 1.4953031E+003
 7.7505333E+000, 1.5024736E+003
 7.7771206E+000, 1.5101578E+003
 7.8037078E+000, 1.5170087E+003
 7.8302950E+000, 1.5234602E+003
 7.8701759E+000, 1.5313130E+003
 7.8967632E+000, 1.5386027E+003
 7.9233504E+000, 1.5447148E+003
 7.9632313E+000, 1.5533963E+003
 7.9898185E+000, 1.5630158E+003
 8.0164058E+000, 1.5706981E+003
 8.0429930E+000, 1.5785210E+003
 8.0770527E+000, 1.5895040E+003
 8.1111123E+000, 1.5995272E+003
 8.1338187E+000, 1.6067721E+003
 8.1678784E+000, 1.6137341E+003
 8.1905848E+000, 1.6206177E+003
 8.2246444E+000, 1.6278719E+003
 8.2621101E+000, 1.6363799E+003
 8.2870871E+000, 1.6435088E+003
 8.3120642E+000, 1.6492430E+003
 8.3495298E+000, 1.6560335E+003
 8.3745069E+000, 1.6633613E+003
 8.4019816E+000, 1.6696037E+003
 8.4431938E+000, 1.6773255E+003
 8.4706686E+000, 1.6845134E+003
 8.4967654E+000, 1.6907321E+003
 8.5214843E+000, 1.6968291E+003
 8.5585627E+000, 1.7046351E+003
 8.5832816E+000, 1.7119100E+003
 8.6203600E+000, 1.7189381E+003
 8.6450789E+000, 1.7266453E+003
 8.6821573E+000, 1.7344727E+003
 8.7068762E+000, 1.7415426E+003
 8.7315951E+000, 1.7480123E+003
 8.7686735E+000, 1.7561668E+003
 8.7933924E+000, 1.7636954E+003
 8.8304707E+000, 1.7710138E+003
 8.8538769E+000, 1.7791325E+003
 8.8870171E+000, 1.7872839E+003
 8.9201573E+000, 1.7970947E+003
 8.9422507E+000, 1.8051081E+003
 8.9787049E+000, 1.8131002E+003
 9.0030077E+000, 1.8208444E+003
 9.0366322E+000, 1.8279141E+003
 9.0674175E+000, 1.8381567E+003
 9.0953539E+000, 1.8477675E+003
 9.1251528E+000, 1.8559688E+003
 9.1558828E+000, 1.8638602E+003
 9.1866129E+000, 1.8717258E+003
 9.2193916E+000, 1.8799757E+003
 9.2419270E+000, 1.8864441E+003
 9.2757301E+000, 1.8940321E+003
 9.3055729E+000, 1.9059023E+003
 9.3332452E+000, 1.9194505E+003
 9.3615155E+000, 1.9298796E+003
 9.3957396E+000, 1.9418310E+003
 9.4269061E+000, 1.9530511E+003
 9.4519712E+000, 1.9592089E+003
 9.4895689E+000, 1.9660753E+003
 9.5146339E+000, 1.9727158E+003
 9.5522316E+000, 1.9802563E+003
 9.5772966E+000, 1.9876291E+003
 9.6023617E+000, 1.9934156E+003
 9.6399594E+000, 1.9999946E+003
 9.6650244E+000, 2.0077618E+003
 9.6900895E+000, 2.0138761E+003
 9.7276872E+000, 2.0216669E+003
 9.7527522E+000, 2.0288977E+003
 9.7903499E+000, 2.0352449E+003
 9.8154149E+000, 2.0431656E+003
 9.8404800E+000, 2.0495480E+003
 9.8780777E+000, 2.0565100E+003
 9.9031427E+000, 2.0636857E+003
 9.9407404E+000, 2.0709464E+003
 9.9658055E+000, 2.0782923E+003
 9.9921238E+000, 2.0831760E+003
 1.0033481E+001, 2.0895057E+003
 1.0059562E+001, 2.0974768E+003
 1.0084152E+001, 2.1041227E+003
 1.0119523E+001, 2.1118612E+003
 1.0141084E+001, 2.1205837E+003
 1.0173424E+001, 2.1275322E+003
 1.0203575E+001, 2.1370005E+003
 1.0232629E+001, 2.1466303E+003
 1.0262652E+001, 2.1555714E+003
 1.0294612E+001, 2.1644740E+003
 1.0326573E+001, 2.1736781E+003
 1.0360663E+001, 2.1829055E+003
 1.0384101E+001, 2.1909048E+003
 1.0419257E+001, 2.1984912E+003
 1.0442694E+001, 2.2063465E+003
 1.0477850E+001, 2.2136601E+003
 1.0501288E+001, 2.2212784E+003
 1.0536444E+001, 2.2280360E+003
 1.0571600E+001, 2.2364601E+003
 1.0597381E+001, 2.2441661E+003
 1.0623162E+001, 2.2504635E+003
 1.0661834E+001, 2.2585111E+003
 1.0687615E+001, 2.2660780E+003
 1.0713396E+001, 2.2723581E+003
 1.0752068E+001, 2.2789557E+003
 1.0777849E+001, 2.2862725E+003
 1.0803630E+001, 2.2919288E+003
 1.0842302E+001, 2.2986974E+003
 1.0868083E+001, 2.3057068E+003
 1.0893864E+001, 2.3100715E+003
 1.0932536E+001, 2.3173538E+003
 1.0958317E+001, 2.3248097E+003
 1.0984098E+001, 2.3307211E+003
 1.1022770E+001, 2.3379800E+003
 1.1048551E+001, 2.3450166E+003
 1.1074332E+001, 2.3505075E+003
 1.1100114E+001, 2.3548381E+003
 1.1138785E+001, 2.3607913E+003
 1.1164566E+001, 2.3687942E+003
 1.1190348E+001, 2.3750658E+003
 1.1229019E+001, 2.3824334E+003
 1.1254800E+001, 2.3883244E+003
 1.1280582E+001, 2.3928283E+003
 1.1319253E+001, 2.3995163E+003
 1.1345034E+001, 2.4064778E+003
 1.1370816E+001, 2.4124613E+003
 1.1409487E+001, 2.4202093E+003
 1.1432686E+001, 2.4276875E+003
 1.1467837E+001, 2.4363998E+003
 1.1492782E+001, 2.4441424E+003
 1.1530201E+001, 2.4518699E+003
 1.1555147E+001, 2.4592657E+003
 1.1580092E+001, 2.4659252E+003
 1.1617511E+001, 2.4740013E+003
 1.1642457E+001, 2.4816220E+003
 1.1679875E+001, 2.4886705E+003
 1.1704821E+001, 2.4954217E+003
 1.1742239E+001, 2.5017362E+003
 1.1767185E+001, 2.5080932E+003
 1.1792131E+001, 2.5141716E+003
 1.1829549E+001, 2.5213558E+003
 1.1854495E+001, 2.5286106E+003
 1.1891913E+001, 2.5358339E+003
 1.1916859E+001, 2.5438401E+003
 1.1941805E+001, 2.5501802E+003
 1.1979223E+001, 2.5579095E+003
 1.2004169E+001, 2.5655646E+003
 1.2041588E+001, 2.5729183E+003
 1.2066533E+001, 2.5809550E+003
 1.2097633E+001, 2.5901449E+003
 1.2130806E+001, 2.5994059E+003
 1.2154753E+001, 2.6068250E+003
 1.2192383E+001, 2.6147745E+003
 1.2217470E+001, 2.6218592E+003
 1.2242557E+001, 2.6274402E+003
 1.2280188E+001, 2.6345980E+003
 1.2305275E+001, 2.6420932E+003
 1.2330362E+001, 2.6475140E+003
 1.2367993E+001, 2.6537478E+003
 1.2393080E+001, 2.6607353E+003
 1.2430710E+001, 2.6674430E+003
 1.2455797E+001, 2.6739992E+003
 1.2480884E+001, 2.6797894E+003
 1.2518515E+001, 2.6869901E+003
 1.2543602E+001, 2.6931818E+003
 1.2581232E+001, 2.6994743E+003
 1.2606319E+001, 2.7067376E+003
 1.2631407E+001, 2.7123344E+003
 1.2669037E+001, 2.7177339E+003
 1.2694124E+001, 2.7242991E+003
 1.2731755E+001, 2.7306523E+003
 1.2756842E+001, 2.7375867E+003
 1.2790259E+001, 2.7456620E+003
 1.2811277E+001, 2.7541136E+003
 1.2842891E+001, 2.7630940E+003
 1.2876580E+001, 2.7718007E+003
 1.2900489E+001, 2.7793060E+003
 1.2936351E+001, 2.7855199E+003
 1.2960260E+001, 2.7927026E+003
 1.2996122E+001, 2.7998461E+003
 1.3021226E+001, 2.8075231E+003
 1.3060675E+001, 2.8131255E+003
 1.3086974E+001, 2.8202251E+003
 1.3113274E+001, 2.8252964E+003
 1.3152722E+001, 2.8328988E+003
 1.3179022E+001, 2.8407065E+003
 1.3205321E+001, 2.8473840E+003
 1.3231620E+001, 2.8543300E+003
 1.3271069E+001, 2.8626726E+003
 1.3295870E+001, 2.8709721E+003
 1.3330824E+001, 2.8795658E+003
 1.3354127E+001, 2.8873277E+003
 1.3389081E+001, 2.8947641E+003
 1.3414714E+001, 2.9015876E+003
 1.3440347E+001, 2.9073619E+003
 1.3478796E+001, 2.9137735E+003
 1.3504429E+001, 2.9207795E+003
 1.3530062E+001, 2.9266199E+003
 1.3568512E+001, 2.9331889E+003
