s,Pa,m/s,
Time,"pres","error","iter"
 4.6269448E-001, 7.9401769E-002, 1.1021306E-003, 4.0000000E+000
 4.6412723E-001, 7.5479823E-002, 1.2619680E-003, 4.0000000E+000
 4.6627635E-001, 7.0783939E-002, 1.3854011E-003, 4.0000000E+000
 4.6842547E-001, 6.4325389E-002, 1.4879737E-003, 4.0000000E+000
 4.7057459E-001, 5.7089517E-002, 1.5523106E-003, 4.0000000E+000
 4.7200734E-001, 5.0622389E-002, 1.5871811E-003, 4.0000000E+000
 4.7415646E-001, 4.3888072E-002, 1.6076646E-003, 4.0000000E+000
 4.7630558E-001, 3.5702092E-002, 1.6166381E-003, 4.0000000E+000
 4.7845471E-001, 2.7624150E-002, 1.6082938E-003, 4.0000000E+000
 4.8060383E-001, 1.9877224E-002, 1.5792812E-003, 4.0000000E+000
 4.8203657E-001, 1.3807778E-002, 1.5348284E-003, 4.0000000E+000
 4.8418570E-001, 8.2544064E-003, 1.4648937E-003, 4.0000000E+000
 4.8633482E-001, 2.3366391E-003, 1.3472090E-003, 4.0000000E+000
 4.8848394E-001,-2.6494363E-003, 1.1923535E-003, 4.0000000E+000
 4.9063306E-001,-6.6635470E-003, 1.0045612E-003, 4.0000000E+000
 4.9206581E-001,-9.2940957E-003, 8.2772401E-004, 4.0000000E+000
 4.9421493E-001,-1.1233553E-002, 6.3511423E-004, 4.0000000E+000
 4.9636405E-001,-1.2377460E-002, 4.6007572E-004, 1.3333333E+000
 4.9851317E-001,-1.2533344E-002, 3.7558030E-004, 1.0000000E+000
 5.0066229E-001,-1.2414960E-002, 3.0270534E-004, 1.0000000E+000
 5.0209504E-001,-1.2220444E-002, 3.3100496E-004, 1.0000000E+000
 5.0424416E-001,-1.1372453E-002, 5.1041322E-004, 3.0000000E+000
 5.0639328E-001,-8.8016144E-003, 7.3654301E-004, 4.0000000E+000
 5.0854240E-001,-5.4871341E-003, 9.4180261E-004, 4.0000000E+000
 5.1069153E-001,-1.5289547E-003, 1.0952599E-003, 4.0000000E+000
 5.1212427E-001, 2.3074867E-003, 1.1988210E-003, 4.0000000E+000
 5.1427340E-001, 6.7561753E-003, 1.2960780E-003, 4.0000000E+000
 5.1642252E-001, 1.2757366E-002, 1.4006582E-003, 4.0000000E+000
 5.1857164E-001, 1.9277811E-002, 1.4720932E-003, 4.0000000E+000
 5.2000439E-001, 2.4930892E-002, 1.4992638E-003, 4.0000000E+000
 5.2215351E-001, 3.0687465E-002, 1.4995074E-003, 4.0000000E+000
 5.2430263E-001, 3.7598650E-002, 1.4780001E-003, 4.0000000E+000
 5.2645175E-001, 4.4348997E-002, 1.4371606E-003, 4.0000000E+000
 5.2860087E-001, 5.0739051E-002, 1.3751590E-003, 4.0000000E+000
 5.3003362E-001, 5.5673278E-002, 1.3049359E-003, 4.0000000E+000
 5.3218274E-001, 6.0120088E-002, 1.2143080E-003, 4.0000000E+000
 5.3433186E-001, 6.4787854E-002, 1.0812407E-003, 4.0000000E+000
 5.3648098E-001, 6.8638072E-002, 9.2349563E-004, 4.0000000E+000
 5.3863010E-001, 7.1624950E-002, 7.4517250E-004, 4.0000000E+000
 5.4006285E-001, 7.3460258E-002, 5.8386684E-004, 4.0000000E+000
 5.4263687E-001, 7.5189722E-002, 4.4586653E-004, 1.5000000E+000
 5.4456739E-001, 7.5249432E-002, 3.8448214E-004, 1.3333333E+000
 5.4649790E-001, 7.4922128E-002, 4.1797351E-004, 2.0000000E+000
 5.4842842E-001, 7.4070696E-002, 4.4755924E-004, 2.3333333E+000
 5.5035894E-001, 7.2251454E-002, 4.7667178E-004, 3.3333333E+000
 5.5228945E-001, 6.9217089E-002, 5.6224994E-004, 4.0000000E+000
 5.5421997E-001, 6.5428877E-002, 7.2721429E-004, 4.0000000E+000
 5.5615048E-001, 6.1379992E-002, 8.8713140E-004, 4.0000000E+000
 5.5808100E-001, 5.6705235E-002, 1.0071062E-003, 4.0000000E+000
 5.6001151E-001, 5.1537562E-002, 1.0842425E-003, 4.0000000E+000
 5.6258554E-001, 4.5012267E-002, 1.1364230E-003, 4.0000000E+000
 5.6451605E-001, 3.8152470E-002, 1.1638613E-003, 4.0000000E+000
 5.6644657E-001, 3.2147704E-002, 1.1688627E-003, 4.0000000E+000
 5.6837708E-001, 2.6163957E-002, 1.1573238E-003, 4.0000000E+000
 5.7030760E-001, 2.0310045E-002, 1.1279193E-003, 4.0000000E+000
 5.7223811E-001, 1.4706789E-002, 1.0770584E-003, 4.0000000E+000
 5.7416863E-001, 9.4983134E-003, 1.0011258E-003, 4.0000000E+000
 5.7609914E-001, 4.8337232E-003, 8.9951568E-004, 4.0000000E+000
 5.7802966E-001, 8.3721105E-004, 7.7529461E-004, 4.0000000E+000
 5.8060368E-001,-2.8483140E-003, 6.0856946E-004, 4.0000000E+000
 5.8253420E-001,-4.7659453E-003, 4.7377512E-004, 1.3333333E+000
 5.8446471E-001,-4.9468183E-003, 3.9967479E-004, 1.0000000E+000
 5.8639523E-001,-5.0138869E-003, 2.8273151E-004, 1.0000000E+000
 5.8832574E-001,-4.9675297E-003, 1.8448861E-004, 1.0000000E+000
 5.9025626E-001,-4.8082929E-003, 2.2129805E-004, 1.0000000E+000
 5.9218678E-001,-4.5373740E-003, 3.5887440E-004, 1.0000000E+000
 5.9411729E-001,-3.3479110E-003, 5.0102725E-004, 3.0000000E+000
 5.9604781E-001,-1.7748576E-004, 6.3890070E-004, 4.0000000E+000
 5.9862183E-001, 4.0230397E-003, 7.7398411E-004, 4.0000000E+000
 6.0055234E-001, 8.6254541E-003, 8.6975552E-004, 4.0000000E+000
 6.0248286E-001, 1.3035777E-002, 9.5474501E-004, 4.0000000E+000
 6.0441337E-001, 1.7867653E-002, 1.0248164E-003, 4.0000000E+000
 6.0634389E-001, 2.2943057E-002, 1.0830944E-003, 4.0000000E+000
 6.0827441E-001, 2.8077827E-002, 1.1021263E-003, 4.0000000E+000
 6.1020492E-001, 3.3176571E-002, 1.0839867E-003, 4.0000000E+000
 6.1213544E-001, 3.8176906E-002, 1.0399736E-003, 4.0000000E+000
 6.1406595E-001, 4.2981630E-002, 9.7760284E-004, 4.0000000E+000
 6.1663997E-001, 4.8158610E-002, 8.8351657E-004, 4.0000000E+000
 6.1857049E-001, 5.2754200E-002, 7.6889727E-004, 4.0000000E+000
 6.2050100E-001, 5.6099425E-002, 6.5548041E-004, 4.0000000E+000
 6.2243152E-001, 5.8840974E-002, 5.3233784E-004, 3.3333333E+000
 6.2423250E-001, 6.0360328E-002, 4.6436894E-004, 1.6786539E+000
 6.2654746E-001, 6.0960352E-002, 4.1834700E-004, 1.2500000E+000
 6.2828367E-001, 6.1034695E-002, 4.0239631E-004, 1.3333333E+000
 6.3001989E-001, 6.0892260E-002, 4.0922529E-004, 1.3333333E+000
 6.3233484E-001, 6.0365899E-002, 3.9029050E-004, 2.0000000E+000
 6.3407106E-001, 5.9317104E-002, 4.2371550E-004, 2.0000000E+000
 6.3638601E-001, 5.7401625E-002, 4.7523854E-004, 2.5000000E+000
 6.3812223E-001, 5.4233487E-002, 5.3167524E-004, 3.6666667E+000
 6.4043719E-001, 5.0118202E-002, 6.6582360E-004, 4.0000000E+000
 6.4217340E-001, 4.5383724E-002, 7.6112300E-004, 4.0000000E+000
 6.4448836E-001, 4.0185864E-002, 8.1076476E-004, 4.0000000E+000
 6.4622457E-001, 3.4761052E-002, 8.3181375E-004, 4.0000000E+000
 6.4853953E-001, 2.9293295E-002, 8.3172086E-004, 4.0000000E+000
 6.5027574E-001, 2.3915234E-002, 8.1922336E-004, 4.0000000E+000
 6.5201196E-001, 1.9438370E-002, 7.9917469E-004, 4.0000000E+000
 6.5432691E-001, 1.4447706E-002, 7.5935184E-004, 4.0000000E+000
 6.5606313E-001, 9.8093220E-003, 6.9600770E-004, 4.0000000E+000
 6.5837808E-001, 5.7400326E-003, 6.0328898E-004, 4.0000000E+000
 6.6011430E-001, 2.7398271E-003, 5.0240255E-004, 2.3333333E+000
 6.6242925E-001, 1.9593273E-003, 4.4269016E-004, 1.0000000E+000
 6.6416547E-001, 1.6690082E-003, 3.5493366E-004, 1.0000000E+000
 6.6648042E-001, 1.4992178E-003, 2.7451752E-004, 1.0000000E+000
 6.6821664E-001, 1.4400828E-003, 2.2479218E-004, 1.0000000E+000
 6.7053159E-001, 1.5019649E-003, 1.8579147E-004, 1.0000000E+000
 6.7226781E-001, 1.6712262E-003, 2.5572468E-004, 1.0000000E+000
 6.7400403E-001, 1.9048591E-003, 3.5405961E-004, 1.0000000E+000
 6.7631898E-001, 2.6585307E-003, 4.6698090E-004, 1.7500000E+000
 6.7805520E-001, 5.5166976E-003, 5.6488870E-004, 4.0000000E+000
 6.8037015E-001, 9.2194088E-003, 6.2788419E-004, 4.0000000E+000
 6.8210637E-001, 1.3126814E-002, 6.5991757E-004, 4.0000000E+000
 6.8442132E-001, 1.7395963E-002, 7.0691179E-004, 4.0000000E+000
 6.8615754E-001, 2.2023994E-002, 7.3758327E-004, 4.0000000E+000
 6.8847249E-001, 2.6847013E-002, 7.6647870E-004, 4.0000000E+000
 6.9020871E-001, 3.1635357E-002, 7.6043139E-004, 4.0000000E+000
 6.9252366E-001, 3.6217785E-002, 7.1554062E-004, 4.0000000E+000
 6.9425988E-001, 4.0454881E-002, 6.4672730E-004, 4.0000000E+000
