s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 1.6479788E-001, 5.6330464E-002, 1.1164970E-004, 1.0000000E+000, 3.3636471E+000, 7.8000000E+001, 7.6027426E-009, 7.1415688E-001
 1.6643709E-001, 5.6299570E-002, 1.1427747E-004, 1.0000000E+000, 3.4060329E+000, 7.8000000E+001, 8.2301129E-009, 7.1495969E-001
 1.6807629E-001, 5.6268399E-002, 1.2097059E-004, 1.0000000E+000, 3.4615980E+000, 7.8000000E+001, 8.7580219E-009, 7.1540029E-001
 1.6971549E-001, 5.6236951E-002, 1.2365789E-004, 1.0000000E+000, 3.5041350E+000, 7.8000000E+001, 9.2648777E-009, 7.1586845E-001
 1.7135470E-001, 5.6205228E-002, 1.2503467E-004, 1.0000000E+000, 3.5414640E+000, 7.8000000E+001, 9.7765887E-009, 7.1635565E-001
 1.7299390E-001, 5.6173230E-002, 1.2724721E-004, 1.0000000E+000, 3.5838870E+000, 7.9000000E+001, 3.0146490E-009, 7.0872390E-001
 1.7463310E-001, 5.6140958E-002, 1.2985055E-004, 1.0000000E+000, 3.6376680E+000, 7.9000000E+001, 3.1096155E-009, 7.0894400E-001
 1.7627231E-001, 5.6108412E-002, 1.3149592E-004, 1.0000000E+000, 3.6803621E+000, 7.9000000E+001, 3.2009535E-009, 7.0913981E-001
 1.7791151E-001, 5.6075593E-002, 1.3154998E-004, 1.0000000E+000, 3.7196461E+000, 7.9000000E+001, 3.2815486E-009, 7.0931127E-001
 1.7955071E-001, 5.6042502E-002, 1.3040488E-004, 1.0000000E+000, 3.7591790E+000, 7.9000000E+001, 3.3605814E-009, 7.0948783E-001
 1.8118992E-001, 5.6009139E-002, 1.2893691E-004, 1.0000000E+000, 3.7985600E+000, 7.9000000E+001, 3.4406669E-009, 7.0967012E-001
 1.8282912E-001, 5.5975506E-002, 1.2790118E-004, 1.0000000E+000, 3.8586010E+000, 7.9000000E+001, 3.5301964E-009, 7.0987198E-001
 1.8446832E-001, 5.5941602E-002, 1.2764662E-004, 1.0000000E+000, 3.8979679E+000, 7.9000000E+001, 3.6226621E-009, 7.1007100E-001
 1.8594105E-001, 5.5917749E-002, 9.2647464E-005, 1.0000000E+000, 3.9549080E+000, 7.9000000E+001, 3.2110168E-009, 7.0986049E-001
 1.8741378E-001, 5.5886891E-002, 9.5979255E-005, 1.0000000E+000, 3.9921442E+000, 7.9000000E+001, 3.3931865E-009, 7.1043825E-001
 1.8888651E-001, 5.5855816E-002, 1.0253710E-004, 1.0000000E+000, 4.0521952E+000, 7.9000000E+001, 3.5481368E-009, 7.1071362E-001
 1.9035925E-001, 5.5824525E-002, 1.0543082E-004, 1.0000000E+000, 4.0917369E+000, 7.9000000E+001, 3.6359560E-009, 7.1087658E-001
 1.9183198E-001, 5.5793019E-002, 1.0675527E-004, 1.0000000E+000, 4.1344019E+000, 7.9000000E+001, 3.7069079E-009, 7.1102929E-001
 1.9330471E-001, 5.5761297E-002, 1.0831636E-004, 1.0000000E+000, 4.1725580E+000, 7.9000000E+001, 3.7945034E-009, 7.1120118E-001
 1.9477744E-001, 5.5729360E-002, 1.0991481E-004, 1.0000000E+000, 4.2364851E+000, 7.9000000E+001, 3.8944812E-009, 7.1137741E-001
 1.9625017E-001, 5.5697210E-002, 1.1064895E-004, 1.0000000E+000, 4.2767478E+000, 7.9000000E+001, 3.9907751E-009, 7.1154037E-001
 1.9772290E-001, 5.5664846E-002, 1.1016925E-004, 1.0000000E+000, 4.3196131E+000, 7.9000000E+001, 4.0759888E-009, 7.1168762E-001
 1.9919563E-001, 5.5632268E-002, 1.0889013E-004, 1.0000000E+000, 4.3561188E+000, 7.9000000E+001, 4.1625998E-009, 7.1184701E-001
 2.0066836E-001, 5.5599478E-002, 1.0753879E-004, 1.0000000E+000, 4.4176809E+000, 7.9000000E+001, 4.2484752E-009, 7.1200616E-001
 2.0214109E-001, 5.5566477E-002, 1.0668055E-004, 1.0000000E+000, 4.4581391E+000, 7.9000000E+001, 4.3375144E-009, 7.1216610E-001
 2.0361382E-001, 5.5533263E-002, 1.0652125E-004, 1.0000000E+000, 4.5006839E+000, 7.9000000E+001, 4.4298785E-009, 7.1232299E-001
 2.0508655E-001, 5.5499839E-002, 1.0695532E-004, 1.0000000E+000, 4.5523669E+000, 7.9000000E+001, 4.5240249E-009, 7.1247283E-001
 2.0655928E-001, 5.5466205E-002, 1.0771664E-004, 1.0000000E+000, 4.5992728E+000, 7.9000000E+001, 4.6234946E-009, 7.1262397E-001
 2.0803201E-001, 5.5432360E-002, 1.0852352E-004, 1.0000000E+000, 4.6614462E+000, 7.9000000E+001, 4.7182285E-009, 7.1275924E-001
 2.0950474E-001, 5.5398307E-002, 1.0917253E-004, 1.0000000E+000, 4.7043859E+000, 7.9000000E+001, 4.8106343E-009, 7.1288642E-001
 2.1082958E-001, 5.5374307E-002, 7.9887698E-005, 1.0000000E+000, 4.7549678E+000, 7.9000000E+001, 4.2813732E-009, 7.1267658E-001
 2.1215442E-001, 5.5343364E-002, 8.1468926E-005, 1.0000000E+000, 4.7977878E+000, 7.9000000E+001, 4.4606246E-009, 7.1315275E-001
 2.1347926E-001, 5.5312253E-002, 8.5889892E-005, 1.0000000E+000, 4.8552438E+000, 7.9000000E+001, 4.6005639E-009, 7.1333007E-001
 2.1480411E-001, 5.5280974E-002, 8.7806627E-005, 1.0000000E+000, 4.8947130E+000, 7.9000000E+001, 4.6727272E-009, 7.1342092E-001
 2.1612895E-001, 5.5249528E-002, 8.8910393E-005, 1.0000000E+000, 4.9348131E+000, 7.9000000E+001, 4.7214936E-009, 7.1348875E-001
 2.1745379E-001, 5.5217915E-002, 9.0479413E-005, 1.0000000E+000, 4.9773189E+000, 7.9000000E+001, 4.7906424E-009, 7.1357445E-001
 2.1877863E-001, 5.5186135E-002, 9.2125920E-005, 1.0000000E+000, 5.0136739E+000, 7.9000000E+001, 4.8716105E-009, 7.1366310E-001
 2.2010347E-001, 5.5154190E-002, 9.2953325E-005, 1.0000000E+000, 5.0749809E+000, 7.9000000E+001, 4.9536422E-009, 7.1375548E-001
 2.2142831E-001, 5.5122078E-002, 9.2609451E-005, 1.0000000E+000, 5.1145898E+000, 7.9000000E+001, 5.0330314E-009, 7.1385710E-001
 2.2275315E-001, 5.5089801E-002, 9.1447024E-005, 1.0000000E+000, 5.1541601E+000, 7.9000000E+001, 5.1089213E-009, 7.1396469E-001
 2.2407799E-001, 5.5057360E-002, 9.0123920E-005, 1.0000000E+000, 5.1935188E+000, 7.9000000E+001, 5.1894304E-009, 7.1408399E-001
 2.2540283E-001, 5.5024754E-002, 8.9180272E-005, 1.0000000E+000, 5.2519261E+000, 7.9000000E+001, 5.2771376E-009, 7.1421122E-001
 2.2672767E-001, 5.4991984E-002, 8.8848238E-005, 1.0000000E+000, 5.2885271E+000, 7.9000000E+001, 5.3657472E-009, 7.1433108E-001
 2.2805251E-001, 5.4959050E-002, 8.9075215E-005, 1.0000000E+000, 5.3351341E+000, 7.9000000E+001, 5.4599155E-009, 7.1445054E-001
 2.2937735E-001, 5.4925953E-002, 8.9645120E-005, 1.0000000E+000, 5.3755242E+000, 7.9000000E+001, 5.5634731E-009, 7.1457693E-001
 2.3070219E-001, 5.4892693E-002, 9.0305856E-005, 1.0000000E+000, 5.4149872E+000, 7.9000000E+001, 5.6729076E-009, 7.1470657E-001
 2.3202703E-001, 5.4859271E-002, 9.0859846E-005, 1.0000000E+000, 5.4746281E+000, 7.9000000E+001, 5.7809841E-009, 7.1483047E-001
 2.3335187E-001, 5.4825687E-002, 9.1206858E-005, 1.0000000E+000, 5.5170809E+000, 7.9000000E+001, 5.9034030E-009, 7.1497491E-001
 2.3467671E-001, 5.4791942E-002, 9.1344082E-005, 1.0000000E+000, 5.5533339E+000, 7.9000000E+001, 6.0330573E-009, 7.1512879E-001
