s,s
Time,"cpu"
 6.7202099E+000, 2.1681224E+003
 6.7579071E+000, 2.1805602E+003
 6.7830386E+000, 2.1938055E+003
 6.8207358E+000, 2.2069137E+003
 6.8458672E+000, 2.2215143E+003
 6.8735118E+000, 2.2326263E+003
 6.9011565E+000, 2.2442264E+003
 6.9411559E+000, 2.2593371E+003
 6.9658656E+000, 2.2756902E+003
 6.9918108E+000, 2.2873010E+003
 7.0325818E+000, 2.3008858E+003
 7.0597625E+000, 2.3151797E+003
 7.0869432E+000, 2.3261874E+003
 7.1108730E+000, 2.3392234E+003
 7.1467676E+000, 2.3524378E+003
 7.1706974E+000, 2.3649149E+003
 7.2065921E+000, 2.3781540E+003
 7.2305218E+000, 2.3900217E+003
 7.2664165E+000, 2.4028921E+003
 7.2903463E+000, 2.4164617E+003
 7.3262409E+000, 2.4299488E+003
 7.3501707E+000, 2.4422443E+003
 7.3896548E+000, 2.4527767E+003
 7.4159776E+000, 2.4655413E+003
 7.4423003E+000, 2.4754103E+003
 7.4817845E+000, 2.4887233E+003
 7.5081072E+000, 2.5026257E+003
 7.5344300E+000, 2.5147062E+003
 7.5633850E+000, 2.5257809E+003
 7.5923400E+000, 2.5363011E+003
 7.6313107E+000, 2.5532976E+003
 7.6572912E+000, 2.5657942E+003
 7.6832717E+000, 2.5769261E+003
 7.7222424E+000, 2.5898754E+003
 7.7482228E+000, 2.6038171E+003
 7.7742033E+000, 2.6153241E+003
 7.8001838E+000, 2.6272194E+003
 7.8391545E+000, 2.6421582E+003
 7.8651350E+000, 2.6558168E+003
 7.8911154E+000, 2.6673628E+003
 7.9300862E+000, 2.6805524E+003
 7.9560666E+000, 2.6957599E+003
 7.9820471E+000, 2.7079597E+003
 8.0210178E+000, 2.7219888E+003
 8.0469983E+000, 2.7356486E+003
 8.0729788E+000, 2.7464399E+003
 8.1119495E+000, 2.7612891E+003
 8.1379299E+000, 2.7748893E+003
 8.1621234E+000, 2.7869242E+003
 8.1957330E+000, 2.8011409E+003
 8.2203801E+000, 2.8138113E+003
 8.2573507E+000, 2.8260902E+003
 8.2819978E+000, 2.8394661E+003
 8.3189684E+000, 2.8528632E+003
 8.3436155E+000, 2.8666240E+003
 8.3707273E+000, 2.8762443E+003
 8.4113949E+000, 2.8899109E+003
 8.4385067E+000, 2.9028479E+003
 8.4656185E+000, 2.9111482E+003
 8.4927303E+000, 2.9188228E+003
 8.5291038E+000, 2.9339768E+003
 8.5533528E+000, 2.9470460E+003
 8.5897263E+000, 2.9600101E+003
 8.6139754E+000, 2.9744163E+003
 8.6503489E+000, 2.9863883E+003
 8.6745979E+000, 3.0007220E+003
 8.7109714E+000, 3.0145839E+003
 8.7352204E+000, 3.0271001E+003
 8.7715940E+000, 3.0409214E+003
 8.7958430E+000, 3.0538917E+003
 8.8200920E+000, 3.0638805E+003
 8.8564655E+000, 3.0782100E+003
 8.8807145E+000, 3.0892941E+003
 8.9170881E+000, 3.1029897E+003
 8.9413371E+000, 3.1168068E+003
 8.9777106E+000, 3.1312191E+003
 9.0019596E+000, 3.1452061E+003
 9.0350258E+000, 3.1604221E+003
 9.0664384E+000, 3.1771243E+003
 9.0978509E+000, 3.1933970E+003
 9.1292635E+000, 3.2090323E+003
 9.1502051E+000, 3.2217633E+003
 9.1816177E+000, 3.2332738E+003
 9.2140773E+000, 3.2469759E+003
 9.2486311E+000, 3.2617767E+003
 9.2716670E+000, 3.2733435E+003
 9.3062208E+000, 3.2871070E+003
 9.3344537E+000, 3.3036844E+003
 9.3663324E+000, 3.3221144E+003
 9.3943575E+000, 3.3410141E+003
 9.4261165E+000, 3.3572137E+003
 9.4599245E+000, 3.3713516E+003
 9.4824632E+000, 3.3834944E+003
 9.5162712E+000, 3.3944850E+003
 9.5500791E+000, 3.4085150E+003
 9.5737447E+000, 3.4201612E+003
 9.6109335E+000, 3.4323827E+003
 9.6357261E+000, 3.4439987E+003
 9.6605186E+000, 3.4548623E+003
 9.6977074E+000, 3.4676840E+003
 9.7224999E+000, 3.4802826E+003
 9.7596887E+000, 3.4925248E+003
 9.7844812E+000, 3.5060702E+003
 9.8216700E+000, 3.5184201E+003
 9.8464625E+000, 3.5320432E+003
 9.8712550E+000, 3.5419700E+003
 9.9084438E+000, 3.5538327E+003
 9.9332363E+000, 3.5662051E+003
 9.9704251E+000, 3.5788721E+003
 9.9952177E+000, 3.5903134E+003
 1.0020010E+001, 3.6000059E+003
 1.0057199E+001, 3.6128706E+003
 1.0081991E+001, 3.6258634E+003
 1.0119180E+001, 3.6386397E+003
 1.0143973E+001, 3.6517194E+003
 1.0181162E+001, 3.6656706E+003
 1.0205954E+001, 3.6783705E+003
 1.0236879E+001, 3.6941141E+003
 1.0267803E+001, 3.7108263E+003
 1.0298728E+001, 3.7275632E+003
 1.0329653E+001, 3.7445060E+003
 1.0351300E+001, 3.7590795E+003
 1.0385317E+001, 3.7732740E+003
 1.0419334E+001, 3.7899695E+003
 1.0442012E+001, 3.8042150E+003
 1.0476029E+001, 3.8174506E+003
 1.0510046E+001, 3.8346349E+003
 1.0532724E+001, 3.8482445E+003
 1.0566742E+001, 3.8619295E+003
 1.0590554E+001, 3.8750427E+003
 1.0627972E+001, 3.8881891E+003
 1.0652918E+001, 3.9014454E+003
 1.0690337E+001, 3.9115746E+003
 1.0717777E+001, 3.9251833E+003
 1.0745218E+001, 3.9360930E+003
 1.0772658E+001, 3.9469873E+003
 1.0800099E+001, 3.9565947E+003
 1.0841260E+001, 3.9680545E+003
 1.0868700E+001, 3.9809379E+003
 1.0896140E+001, 3.9908907E+003
 1.0923581E+001, 4.0000090E+003
 1.0960503E+001, 4.0120240E+003
 1.0985117E+001, 4.0242699E+003
 1.1022038E+001, 4.0344108E+003
 1.1046653E+001, 4.0485902E+003
 1.1071267E+001, 4.0606403E+003
 1.1108189E+001, 4.0743623E+003
 1.1132803E+001, 4.0876501E+003
 1.1169725E+001, 4.1021757E+003
 1.1194339E+001, 4.1144403E+003
 1.1231261E+001, 4.1287400E+003
 1.1257106E+001, 4.1412565E+003
 1.1284182E+001, 4.1514542E+003
 1.1311258E+001, 4.1603951E+003
 1.1351871E+001, 4.1723839E+003
 1.1378947E+001, 4.1851107E+003
 1.1406023E+001, 4.1939198E+003
 1.1433099E+001, 4.2015919E+003
 1.1460175E+001, 4.2109137E+003
 1.1500788E+001, 4.2249098E+003
 1.1527864E+001, 4.2398971E+003
 1.1554940E+001, 4.2503527E+003
 1.1589622E+001, 4.2669819E+003
 1.1612744E+001, 4.2812601E+003
 1.1647426E+001, 4.2948016E+003
 1.1670548E+001, 4.3090179E+003
 1.1705230E+001, 4.3226902E+003
 1.1739912E+001, 4.3397614E+003
 1.1763034E+001, 4.3531757E+003
 1.1797716E+001, 4.3658585E+003
 1.1823149E+001, 4.3771278E+003
 1.1861300E+001, 4.3893678E+003
 1.1886734E+001, 4.4012435E+003
 1.1912167E+001, 4.4099215E+003
 1.1950318E+001, 4.4226279E+003
 1.1975751E+001, 4.4368934E+003
 1.2001185E+001, 4.4487535E+003
 1.2031619E+001, 4.4668175E+003
 1.2070780E+001, 4.4828190E+003
 1.2097703E+001, 4.4962406E+003
 1.2122545E+001, 4.5092198E+003
 1.2161583E+001, 4.5225600E+003
 1.2187607E+001, 4.5325834E+003
 1.2213632E+001, 4.5432538E+003
 1.2252669E+001, 4.5566546E+003
 1.2281297E+001, 4.5691625E+003
 1.2309924E+001, 4.5775314E+003
 1.2338551E+001, 4.5863099E+003
 1.2367179E+001, 4.5960436E+003
 1.2394166E+001, 4.6073757E+003
 1.2432187E+001, 4.6214599E+003
 1.2457535E+001, 4.6340099E+003
 1.2482882E+001, 4.6447872E+003
 1.2520903E+001, 4.6576331E+003
 1.2546251E+001, 4.6709374E+003
 1.2571598E+001, 4.6806393E+003
 1.2609620E+001, 4.6936263E+003
 1.2634967E+001, 4.7068849E+003
