s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.3135140E-001, 2.4823291E-001, 2.8962815E-001, 1.5725686E+000, 8.7169872E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3244298E-001, 2.4998283E-001, 2.9137470E-001, 1.4730610E+000, 8.6551876E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3353455E-001, 2.5166163E-001, 2.9307216E-001, 1.3724265E+000, 8.6249102E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3462612E-001, 2.5326866E-001, 2.9473624E-001, 1.2712924E+000, 8.7958843E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3571770E-001, 2.5480348E-001, 2.9637989E-001, 1.1702237E+000, 8.8955422E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3680927E-001, 2.5626629E-001, 2.9801255E-001, 1.0697266E+000, 8.9208887E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3790085E-001, 2.5765795E-001, 2.9963978E-001, 9.7025756E-001, 8.8711786E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3899242E-001, 2.5897975E-001, 3.0126317E-001, 8.7223439E-001, 8.7480397E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4008400E-001, 2.6023296E-001, 3.0288047E-001, 7.7604362E-001, 8.7209236E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4117557E-001, 2.6141841E-001, 3.0448586E-001, 6.8204638E-001, 8.2989462E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4226714E-001, 2.6253616E-001, 3.0607037E-001, 5.9058185E-001, 8.6404100E-003, 4.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
