s,m/s,m/s,Pa,m/s,,,,,m3/s,m3/s
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res","flow_in","flow_out"
 9.8000000E-002, 4.3744282E-002, 5.1607942E-002, 5.1460906E-001, 3.1709601E-005, 1.0000000E+000, 3.4000000E+001, 4.8967109E-001, 4.2673570E-009, 1.1576000E-002, 0.0000000E+000
 1.0000000E-001, 4.4590474E-002, 5.2606742E-002, 5.1464470E-001, 3.3524389E-005, 1.0000000E+000, 3.4000000E+001, 4.8996888E-001, 4.4899887E-009, 1.1800000E-002, 0.0000000E+000
 1.0200000E-001, 4.5255255E-002, 5.3391578E-002, 4.0467081E-001, 2.9345457E-004, 1.0000000E+000, 3.7000000E+001, 5.0872241E-001, 5.2321938E-009, 1.1976000E-002, 0.0000000E+000
 1.0400000E-001, 4.5920047E-002, 5.4176508E-002, 4.0470564E-001, 1.4211372E-004, 1.0000000E+000, 3.6000000E+001, 5.0606362E-001, 3.5121560E-009, 1.2152000E-002, 0.0000000E+000
 1.0600000E-001, 4.6584831E-002, 5.4961441E-002, 4.0473573E-001, 5.1387431E-005, 1.0000000E+000, 3.5000000E+001, 4.9635084E-001, 3.1981256E-009, 1.2328000E-002, 0.0000000E+000
 1.0800000E-001, 4.7249606E-002, 5.5746359E-002, 4.0476537E-001, 1.0584772E-004, 1.0000000E+000, 3.5000000E+001, 5.0238272E-001, 5.1472714E-009, 1.2504000E-002, 0.0000000E+000
 1.1000000E-001, 4.7914375E-002, 5.6531273E-002, 4.0479558E-001, 7.4987069E-005, 1.0000000E+000, 3.5000000E+001, 4.9356046E-001, 2.7908269E-009, 1.2680000E-002, 0.0000000E+000
 1.1200000E-001, 4.8579141E-002, 5.7316195E-002, 4.0482644E-001, 4.1536380E-005, 1.0000000E+000, 3.4000000E+001, 4.9414535E-001, 5.9787842E-009, 1.2856000E-002, 0.0000000E+000
 1.1400000E-001, 4.9243903E-002, 5.8101129E-002, 4.0485777E-001, 3.3203731E-005, 1.0000000E+000, 3.4000000E+001, 4.8619598E-001, 3.5370642E-009, 1.3032000E-002, 0.0000000E+000
 1.1600000E-001, 4.9908662E-002, 5.8886075E-002, 4.0488943E-001, 3.9950162E-005, 1.0000000E+000, 3.4000000E+001, 4.9586919E-001, 7.1111572E-009, 1.3208000E-002, 0.0000000E+000
 1.1800000E-001, 5.0573419E-002, 5.9671030E-002, 4.0492142E-001, 4.7868967E-005, 1.0000000E+000, 3.4000000E+001, 4.9203007E-001, 5.6244831E-009, 1.3384000E-002, 0.0000000E+000
 1.2000000E-001, 5.1238175E-002, 6.0455994E-002, 4.0495376E-001, 5.1922769E-005, 1.0000000E+000, 3.4000000E+001, 4.9004805E-001, 5.0532910E-009, 1.3560000E-002, 0.0000000E+000
 1.2200000E-001, 5.1902930E-002, 6.1240970E-002, 4.0498648E-001, 5.3563202E-005, 1.0000000E+000, 3.4000000E+001, 4.9154093E-001, 5.7783067E-009, 1.3736000E-002, 0.0000000E+000
 1.2400000E-001, 5.2567684E-002, 6.2025958E-002, 4.0501958E-001, 5.5137885E-005, 1.0000000E+000, 3.4000000E+001, 4.9268704E-001, 6.4549518E-009, 1.3912000E-002, 0.0000000E+000
 1.2600000E-001, 5.3232440E-002, 6.2810959E-002, 4.0505307E-001, 5.7522418E-005, 1.0000000E+000, 3.4000000E+001, 4.9293570E-001, 6.7841668E-009, 1.4088000E-002, 0.0000000E+000
 1.2800000E-001, 5.3897197E-002, 6.3595973E-002, 4.0508695E-001, 6.0484531E-005, 1.0000000E+000, 3.4000000E+001, 4.9278095E-001, 6.9413897E-009, 1.4264000E-002, 0.0000000E+000
 1.3000000E-001, 5.4561956E-002, 6.4381002E-002, 4.0512121E-001, 6.3623150E-005, 1.0000000E+000, 3.4000000E+001, 4.9259646E-001, 7.0942089E-009, 1.4440000E-002, 0.0000000E+000
 1.3200000E-001, 5.5226718E-002, 6.5166046E-002, 4.0515587E-001, 6.6786268E-005, 1.0000000E+000, 3.4000000E+001, 4.9249377E-001, 7.2977213E-009, 1.4616000E-002, 0.0000000E+000
 1.3400000E-001, 5.5891484E-002, 6.5951107E-002, 4.0519091E-001, 7.0015611E-005, 1.0000000E+000, 3.4000000E+001, 4.9242821E-001, 7.5324494E-009, 1.4792000E-002, 0.0000000E+000
 1.3600000E-001, 5.6556256E-002, 6.6736185E-002, 4.0522635E-001, 7.3385711E-005, 1.0000000E+000, 3.4000000E+001, 4.9234262E-001, 7.7698119E-009, 1.4968000E-002, 0.0000000E+000
