s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 1.3841451E+001, 9.9981006E-001, 9.7243113E-001, 9.9954091E-004, 1.2600000E+002, 2.7398612E+001
 1.3929359E+001, 9.9981208E-001, 9.7181071E-001, 9.9451182E-004, 1.0000000E+001, 2.7447732E+001
 1.4017266E+001, 9.9981592E-001, 9.7160301E-001, 9.7777047E-004, 1.0000000E+001, 2.7498512E+001
 1.4105174E+001, 9.9982150E-001, 9.7209706E-001, 9.5926985E-004, 1.0000000E+001, 2.7550132E+001
 1.4193082E+001, 9.9982840E-001, 9.7333713E-001, 9.4424890E-004, 1.0000000E+001, 2.7601392E+001
 1.4280989E+001, 9.9983582E-001, 9.7513042E-001, 9.6087597E-004, 9.0000000E+000, 2.7650361E+001
 1.4368897E+001, 9.9984303E-001, 9.7730136E-001, 9.8744897E-004, 1.4000000E+001, 2.7705970E+001
 1.4456804E+001, 9.9985217E-001, 9.7927220E-001, 9.7920743E-004, 1.6000000E+001, 2.7767982E+001
 1.4544712E+001, 9.9986229E-001, 9.8077163E-001, 9.8963457E-004, 1.4000000E+001, 2.7828023E+001
 1.4632619E+001, 9.9987005E-001, 9.8151870E-001, 9.8275869E-004, 1.6000000E+001, 2.7890153E+001
 1.4720527E+001, 9.9987306E-001, 9.8161378E-001, 9.9918773E-004, 1.6000000E+001, 2.7952566E+001
 1.4808434E+001, 9.9986996E-001, 9.8113867E-001, 9.8668763E-004, 1.8000000E+001, 2.8041181E+001
 1.4896342E+001, 9.9986367E-001, 9.8031491E-001, 9.7711195E-004, 1.8000000E+001, 2.8108255E+001
 1.4984249E+001, 9.9985824E-001, 9.7928183E-001, 9.9543726E-004, 1.6000000E+001, 2.8173108E+001
 1.5072157E+001, 9.9985721E-001, 9.7809010E-001, 9.6923973E-004, 1.6000000E+001, 2.8236066E+001
 1.5160065E+001, 9.9986240E-001, 9.7687004E-001, 9.7926324E-004, 1.4000000E+001, 2.8296104E+001
 1.5247972E+001, 9.9987426E-001, 9.7576600E-001, 9.7279743E-004, 1.3000000E+001, 2.8354265E+001
 1.5335880E+001, 9.9989151E-001, 9.7496057E-001, 9.4204391E-004, 1.2000000E+001, 2.8409360E+001
 1.5423787E+001, 9.9991390E-001, 9.7475773E-001, 9.6315897E-004, 1.6000000E+001, 2.8466537E+001
 1.5511695E+001, 9.9994468E-001, 9.7602568E-001, 9.9936855E-004, 3.6000000E+001, 2.8544942E+001
 1.5599602E+001, 9.9998048E-001, 9.7856225E-001, 9.9475988E-004, 3.1000000E+001, 2.8636216E+001
 1.5687510E+001, 1.0000153E+000, 9.8186760E-001, 9.8241794E-004, 2.2000000E+001, 2.8711171E+001
 1.5775417E+001, 1.0000453E+000, 9.8569431E-001, 9.7541508E-004, 1.8000000E+001, 2.8781701E+001
 1.5863325E+001, 1.0000679E+000, 9.8987742E-001, 9.6524970E-004, 1.6000000E+001, 2.8842967E+001
 1.5951232E+001, 1.0000830E+000, 9.9424782E-001, 9.5512228E-004, 1.3000000E+001, 2.8900237E+001
 1.6039140E+001, 1.0000904E+000, 9.9875692E-001, 8.3607360E-004, 1.3000000E+001, 2.8980001E+001
 1.6127048E+001, 1.0000917E+000, 1.0032651E+000, 9.5141663E-004, 1.1000000E+001, 2.9033122E+001
 1.6214955E+001, 1.0000882E+000, 1.0079005E+000, 9.6488136E-004, 1.2000000E+001, 2.9089877E+001
 1.6302863E+001, 1.0000823E+000, 1.0125628E+000, 9.6784310E-004, 1.2000000E+001, 2.9160064E+001
 1.6390770E+001, 1.0000766E+000, 1.0170117E+000, 9.8924234E-004, 9.0000000E+000, 2.9213664E+001
 1.6478678E+001, 1.0000726E+000, 1.0211204E+000, 9.4990414E-004, 9.0000000E+000, 2.9263591E+001
 1.6566585E+001, 1.0000710E+000, 1.0246978E+000, 9.0536300E-004, 9.0000000E+000, 2.9311700E+001
 1.6654493E+001, 1.0000718E+000, 1.0275590E+000, 9.6842541E-004, 1.0000000E+001, 2.9360601E+001
 1.6742400E+001, 1.0000753E+000, 1.0294189E+000, 9.9701261E-004, 1.5000000E+001, 2.9414014E+001
 1.6830308E+001, 1.0000830E+000, 1.0298356E+000, 9.9950258E-004, 2.3000000E+001, 2.9479186E+001
 1.6918215E+001, 1.0000948E+000, 1.0290724E+000, 9.9974747E-004, 1.5000000E+001, 2.9540262E+001
 1.7006123E+001, 1.0001088E+000, 1.0275051E+000, 9.9530666E-004, 1.2000000E+001, 2.9594581E+001
 1.7094031E+001, 1.0001242E+000, 1.0254186E+000, 9.4411718E-004, 1.0000000E+001, 2.9644903E+001
 1.7181938E+001, 1.0001401E+000, 1.0229786E+000, 8.5768009E-004, 1.0000000E+001, 2.9717689E+001
 1.7269846E+001, 1.0001552E+000, 1.0202798E+000, 8.3415541E-004, 1.0000000E+001, 2.9767169E+001
 1.7357753E+001, 1.0001682E+000, 1.0174171E+000, 9.8127716E-004, 9.0000000E+000, 2.9814796E+001
 1.7445661E+001, 1.0001777E+000, 1.0145328E+000, 9.8856076E-004, 8.0000000E+000, 2.9862586E+001
 1.7533568E+001, 1.0001828E+000, 1.0117707E+000, 9.5227389E-004, 9.0000000E+000, 2.9911306E+001
 1.7621476E+001, 1.0001832E+000, 1.0091655E+000, 9.9528949E-004, 9.0000000E+000, 2.9960821E+001
 1.7709383E+001, 1.0001803E+000, 1.0067573E+000, 9.8300168E-004, 9.0000000E+000, 3.0009799E+001
 1.7797291E+001, 1.0001757E+000, 1.0045512E+000, 9.9491026E-004, 1.0000000E+001, 3.0059491E+001
 1.7885198E+001, 1.0001700E+000, 1.0025294E+000, 9.9342191E-004, 1.2000000E+001, 3.0111942E+001
 1.7973106E+001, 1.0001623E+000, 1.0007675E+000, 9.7378057E-004, 1.1000000E+001, 3.0163919E+001
 1.8061014E+001, 1.0001516E+000, 9.9929847E-001, 9.6993834E-004, 1.1000000E+001, 3.0213872E+001
 1.8148921E+001, 1.0001371E+000, 9.9813713E-001, 9.1024019E-004, 1.0000000E+001, 3.0265272E+001
 1.8236829E+001, 1.0001182E+000, 9.9723483E-001, 9.4536782E-004, 1.0000000E+001, 3.0316654E+001
 1.8324736E+001, 1.0000951E+000, 9.9651775E-001, 8.9796420E-004, 1.0000000E+001, 3.0367042E+001
 1.8412644E+001, 1.0000687E+000, 9.9596011E-001, 9.3073145E-004, 8.0000000E+000, 3.0437538E+001
 1.8500551E+001, 1.0000396E+000, 9.9544077E-001, 8.9033864E-004, 8.0000000E+000, 3.0484342E+001
 1.8588459E+001, 1.0000084E+000, 9.9488663E-001, 7.8856680E-004, 8.0000000E+000, 3.0543655E+001
 1.8676366E+001, 9.9997446E-001, 9.9427996E-001, 7.7986380E-004, 8.0000000E+000, 3.0762948E+001
 1.8764274E+001, 9.9993782E-001, 9.9366221E-001, 8.5171427E-004, 8.0000000E+000, 3.0816682E+001
 1.8852181E+001, 9.9989784E-001, 9.9312531E-001, 9.7271006E-004, 8.0000000E+000, 3.0865280E+001
 1.8940089E+001, 9.9985540E-001, 9.9269758E-001, 8.6859455E-004, 1.0000000E+001, 3.0914123E+001
 1.9027997E+001, 9.9981291E-001, 9.9229909E-001, 9.9954943E-004, 2.2000000E+001, 3.0973064E+001
 1.9115904E+001, 9.9980615E-001, 9.9096503E-001, 9.9941542E-004, 1.0400000E+002, 3.1195415E+001
 1.9203812E+001, 9.9980533E-001, 9.8998523E-001, 9.7761017E-004, 1.0000000E+001, 3.1245977E+001
 1.9291719E+001, 9.9981115E-001, 9.8900222E-001, 9.4288154E-004, 9.0000000E+000, 3.1294149E+001
 1.9379627E+001, 9.9982431E-001, 9.8793288E-001, 8.8810746E-004, 9.0000000E+000, 3.1342714E+001
 1.9467534E+001, 9.9984343E-001, 9.8698157E-001, 8.1827061E-004, 8.0000000E+000, 3.1390457E+001
 1.9555442E+001, 9.9986670E-001, 9.8618551E-001, 7.8502550E-004, 8.0000000E+000, 3.1437154E+001
 1.9643349E+001, 9.9989234E-001, 9.8549634E-001, 8.3381249E-004, 8.0000000E+000, 3.1510173E+001
 1.9731257E+001, 9.9991844E-001, 9.8480657E-001, 8.0704679E-004, 1.0000000E+001, 3.1559627E+001
 1.9819164E+001, 9.9994228E-001, 9.8402379E-001, 8.9485558E-004, 1.0000000E+001, 3.1609678E+001
 1.9907072E+001, 9.9995942E-001, 9.8293974E-001, 8.9116803E-004, 1.2000000E+001, 3.1662631E+001
 1.9994980E+001, 9.9996701E-001, 9.8135725E-001, 9.6433365E-004, 1.2000000E+001, 3.1725837E+001
 2.0082887E+001, 9.9996357E-001, 9.7928321E-001, 9.6433091E-004, 1.4000000E+001, 3.1795490E+001
 2.0170795E+001, 9.9995271E-001, 9.7689055E-001, 9.9188021E-004, 1.6000000E+001, 3.1858322E+001
 2.0258702E+001, 9.9994225E-001, 9.7468174E-001, 9.8922295E-004, 2.1000000E+001, 3.1931156E+001
 2.0346610E+001, 9.9993998E-001, 9.7310197E-001, 9.9404324E-004, 2.5000000E+001, 3.2011356E+001
 2.0434517E+001, 9.9994479E-001, 9.7228313E-001, 9.9724927E-004, 2.4000000E+001, 3.2094413E+001
 2.0522425E+001, 9.9995125E-001, 9.7204017E-001, 9.8953726E-004, 2.1000000E+001, 3.2170818E+001
 2.0610332E+001, 9.9995566E-001, 9.7215528E-001, 9.8156808E-004, 1.7000000E+001, 3.2237079E+001
 2.0698240E+001, 9.9995702E-001, 9.7251648E-001, 9.9738598E-004, 1.3000000E+001, 3.2298316E+001
 2.0786147E+001, 9.9995483E-001, 9.7306001E-001, 9.5438600E-004, 1.3000000E+001, 3.2355384E+001
 2.0874055E+001, 9.9994984E-001, 9.7370509E-001, 9.8507659E-004, 1.0000000E+001, 3.2442516E+001
 2.0961963E+001, 9.9994335E-001, 9.7438848E-001, 9.6046644E-004, 1.0000000E+001, 3.2534168E+001
 2.1049870E+001, 9.9993572E-001, 9.7504085E-001, 9.4478756E-004, 1.2000000E+001, 3.2665199E+001
