s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 7.5671512E+000, 1.0003608E+000, 1.5936406E-001, 4.4408921E-016, 4.0000000E+000, 5.1583460E+002
 7.6515758E+000, 1.0021366E+000, 1.5416655E-001, 4.4408921E-016, 4.0000000E+000, 5.1956925E+002
 7.6937881E+000, 1.0022292E+000, 1.5365569E-001, 4.4408921E-016, 4.0000000E+000, 5.2330988E+002
 7.7782126E+000, 1.0012488E+000, 1.5318235E-001, 6.6613381E-016, 4.0000000E+000, 5.2705298E+002
 7.8204249E+000, 1.0003610E+000, 1.5290500E-001, 4.4408921E-016, 3.0000000E+000, 5.3041870E+002
 7.8626372E+000, 9.9945179E-001, 1.5220517E-001, 4.4408921E-016, 3.0000000E+000, 5.3253827E+002
 7.9470618E+000, 9.9869788E-001, 1.4925997E-001, 4.4408921E-016, 3.0000000E+000, 5.3568768E+002
 7.9892741E+000, 9.9802071E-001, 1.4412553E-001, 4.4408921E-016, 3.0000000E+000, 5.3880921E+002
 8.0736987E+000, 9.9714878E-001, 1.4033731E-001, 4.4408921E-016, 3.0000000E+000, 5.4192850E+002
 8.1159110E+000, 9.9782303E-001, 1.3869958E-001, 4.4408921E-016, 4.0000000E+000, 5.4546778E+002
 8.2003356E+000, 9.9960069E-001, 1.3951943E-001, 3.3306691E-016, 4.0000000E+000, 5.4921170E+002
 8.2425478E+000, 1.0008386E+000, 1.3990246E-001, 4.4408921E-016, 4.0000000E+000, 5.5295508E+002
 8.2847601E+000, 1.0011576E+000, 1.4018293E-001, 4.4408921E-016, 4.0000000E+000, 5.5544946E+002
 8.3691847E+000, 1.0028472E+000, 1.4006255E-001, 6.6613381E-016, 4.0000000E+000, 5.5918091E+002
 8.4113970E+000, 1.0037266E+000, 1.4019819E-001, 4.4408921E-016, 4.0000000E+000, 5.6300549E+002
 8.4958216E+000, 1.0026598E+000, 1.4649069E-001, 4.4408921E-016, 4.0000000E+000, 5.6675644E+002
 8.5380339E+000, 1.0019236E+000, 1.4812917E-001, 4.4408921E-016, 4.0000000E+000, 5.7049463E+002
 8.5802462E+000, 1.0010037E+000, 1.4803422E-001, 4.4408921E-016, 4.0000000E+000, 5.7301093E+002
 8.6646708E+000, 9.9907709E-001, 1.4508192E-001, 4.4408921E-016, 4.0000000E+000, 5.7674326E+002
 8.7068830E+000, 9.9821405E-001, 1.4243442E-001, 4.4408921E-016, 4.0000000E+000, 5.8048218E+002
 8.7913076E+000, 9.9804022E-001, 1.4341728E-001, 6.6613381E-016, 4.0000000E+000, 5.8424274E+002
 8.8335199E+000, 9.9856322E-001, 1.4070033E-001, 4.4408921E-016, 4.0000000E+000, 5.8798572E+002
 8.9263870E+000, 1.0012617E+000, 1.2878287E-001, 4.4408921E-016, 3.0000000E+000, 5.9113126E+002
 8.9728205E+000, 1.0030057E+000, 1.1867911E-001, 4.4408921E-016, 4.0000000E+000, 5.9467121E+002
 9.0192540E+000, 1.0038961E+000, 1.1418826E-001, 2.2204460E-016, 4.0000000E+000, 5.9716199E+002
 9.0656875E+000, 1.0023681E+000, 1.1297531E-001, 2.2204460E-016, 4.0000000E+000, 5.9968726E+002
 9.1585546E+000, 1.0001650E+000, 1.1070112E-001, 4.4408921E-016, 4.0000000E+000, 6.0346076E+002
 9.2049881E+000, 9.9866487E-001, 1.0890291E-001, 4.4408921E-016, 4.0000000E+000, 6.0722791E+002
 9.2514216E+000, 9.9703302E-001, 1.0764893E-001, 4.4408921E-016, 4.0000000E+000, 6.0974481E+002
 9.3442886E+000, 9.9693133E-001, 1.0870617E-001, 4.4408921E-016, 4.0000000E+000, 6.1353021E+002
