s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.2560413E+001, 0.0000000E+000, 0.0000000E+000
 5.2580048E+001, 0.0000000E+000, 0.0000000E+000
 5.2600598E+001, 0.0000000E+000, 0.0000000E+000
 5.2620043E+001, 0.0000000E+000, 0.0000000E+000
 5.2640473E+001, 0.0000000E+000, 0.0000000E+000
 5.2660435E+001, 0.0000000E+000, 0.0000000E+000
 5.2680147E+001, 0.0000000E+000, 0.0000000E+000
 5.2700512E+001, 0.0000000E+000, 0.0000000E+000
 5.2720536E+001, 0.0000000E+000, 0.0000000E+000
 5.2740121E+001, 0.0000000E+000, 0.0000000E+000
 5.2760337E+001, 0.0000000E+000, 0.0000000E+000
 5.2780553E+001, 0.0000000E+000, 0.0000000E+000
 5.2800138E+001, 0.0000000E+000, 0.0000000E+000
 5.2820354E+001, 0.0000000E+000, 0.0000000E+000
 5.2840598E+001, 0.0000000E+000, 0.0000000E+000
 5.2860259E+001, 0.0000000E+000, 0.0000000E+000
 5.2880561E+001, 0.0000000E+000, 0.0000000E+000
 5.2900460E+001, 0.0000000E+000, 0.0000000E+000
 5.2920132E+001, 0.0000000E+000, 0.0000000E+000
 5.2940511E+001, 0.0000000E+000, 0.0000000E+000
 5.2960065E+001, 0.0000000E+000, 0.0000000E+000
 5.2980085E+001, 0.0000000E+000, 0.0000000E+000
 5.3000385E+001, 0.0000000E+000, 0.0000000E+000
 5.3020324E+001, 0.0000000E+000, 0.0000000E+000
 5.3040381E+001, 0.0000000E+000, 0.0000000E+000
 5.3060559E+001, 0.0000000E+000, 0.0000000E+000
 5.3080137E+001, 0.0000000E+000, 0.0000000E+000
 5.3100440E+001, 0.0000000E+000, 0.0000000E+000
 5.3120329E+001, 0.0000000E+000, 0.0000000E+000
 5.3140408E+001, 0.0000000E+000, 0.0000000E+000
 5.3160369E+001, 0.0000000E+000, 0.0000000E+000
 5.3180118E+001, 0.0000000E+000, 0.0000000E+000
 5.3200535E+001, 0.0000000E+000, 0.0000000E+000
 5.3220445E+001, 0.0000000E+000, 0.0000000E+000
 5.3240210E+001, 0.0000000E+000, 0.0000000E+000
 5.3260097E+001, 0.0000000E+000, 0.0000000E+000
 5.3280205E+001, 0.0000000E+000, 0.0000000E+000
 5.3300122E+001, 0.0000000E+000, 0.0000000E+000
 5.3320126E+001, 0.0000000E+000, 0.0000000E+000
 5.3340367E+001, 0.0000000E+000, 0.0000000E+000
 5.3360337E+001, 0.0000000E+000, 0.0000000E+000
 5.3380427E+001, 0.0000000E+000, 0.0000000E+000
 5.3400036E+001, 0.0000000E+000, 0.0000000E+000
 5.3420054E+001, 0.0000000E+000, 0.0000000E+000
 5.3440154E+001, 0.0000000E+000, 0.0000000E+000
 5.3460420E+001, 0.0000000E+000, 0.0000000E+000
 5.3480214E+001, 0.0000000E+000, 0.0000000E+000
 5.3500521E+001, 0.0000000E+000, 0.0000000E+000
 5.3520028E+001, 0.0000000E+000, 0.0000000E+000
 5.3540374E+001, 0.0000000E+000, 0.0000000E+000
 5.3560416E+001, 0.0000000E+000, 0.0000000E+000
 5.3580209E+001, 0.0000000E+000, 0.0000000E+000
 5.3600431E+001, 0.0000000E+000, 0.0000000E+000
 5.3620260E+001, 0.0000000E+000, 0.0000000E+000
 5.3640559E+001, 0.0000000E+000, 0.0000000E+000
 5.3660299E+001, 0.0000000E+000, 0.0000000E+000
 5.3680094E+001, 0.0000000E+000, 0.0000000E+000
 5.3700111E+001, 0.0000000E+000, 0.0000000E+000
 5.3720532E+001, 0.0000000E+000, 0.0000000E+000
 5.3740093E+001, 0.0000000E+000, 0.0000000E+000
 5.3760093E+001, 0.0000000E+000, 0.0000000E+000
 5.3780376E+001, 0.0000000E+000, 0.0000000E+000
 5.3800246E+001, 0.0000000E+000, 0.0000000E+000
 5.3820166E+001, 0.0000000E+000, 0.0000000E+000
 5.3840070E+001, 0.0000000E+000, 0.0000000E+000
 5.3860480E+001, 0.0000000E+000, 0.0000000E+000
 5.3880015E+001, 0.0000000E+000, 0.0000000E+000
 5.3900484E+001, 0.0000000E+000, 0.0000000E+000
 5.3920230E+001, 0.0000000E+000, 0.0000000E+000
 5.3940558E+001, 0.0000000E+000, 0.0000000E+000
 5.3960027E+001, 0.0000000E+000, 0.0000000E+000
 5.3980429E+001, 0.0000000E+000, 0.0000000E+000
 5.4000201E+001, 0.0000000E+000, 0.0000000E+000
 5.4020193E+001, 0.0000000E+000, 0.0000000E+000
 5.4040526E+001, 0.0000000E+000, 0.0000000E+000
 5.4060431E+001, 0.0000000E+000, 0.0000000E+000
 5.4080142E+001, 0.0000000E+000, 0.0000000E+000
 5.4100363E+001, 0.0000000E+000, 0.0000000E+000
 5.4120002E+001, 0.0000000E+000, 0.0000000E+000
 5.4140210E+001, 0.0000000E+000, 0.0000000E+000
 5.4160113E+001, 0.0000000E+000, 0.0000000E+000
 5.4180238E+001, 0.0000000E+000, 0.0000000E+000
 5.4200429E+001, 0.0000000E+000, 0.0000000E+000
 5.4220262E+001, 0.0000000E+000, 0.0000000E+000
 5.4240568E+001, 0.0000000E+000, 0.0000000E+000
 5.4260014E+001, 0.0000000E+000, 0.0000000E+000
 5.4280462E+001, 0.0000000E+000, 0.0000000E+000
 5.4300029E+001, 0.0000000E+000, 0.0000000E+000
 5.4320437E+001, 0.0000000E+000, 0.0000000E+000
 5.4340359E+001, 0.0000000E+000, 0.0000000E+000
 5.4360578E+001, 0.0000000E+000, 0.0000000E+000
 5.4380729E+001, 0.0000000E+000, 0.0000000E+000
 5.4400008E+001, 0.0000000E+000, 0.0000000E+000
 5.4420143E+001, 0.0000000E+000, 0.0000000E+000
 5.4440142E+001, 0.0000000E+000, 0.0000000E+000
 5.4460192E+001, 0.0000000E+000, 0.0000000E+000
 5.4480243E+001, 0.0000000E+000, 0.0000000E+000
 5.4500293E+001, 0.0000000E+000, 0.0000000E+000
 5.4520078E+001, 0.0000000E+000, 0.0000000E+000
 5.4540072E+001, 0.0000000E+000, 0.0000000E+000
 5.4560056E+001, 0.0000000E+000, 0.0000000E+000
 5.4580086E+001, 0.0000000E+000, 0.0000000E+000
 5.4600465E+001, 0.0000000E+000, 0.0000000E+000
