s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.0740599E+001, 0.0000000E+000, 0.0000000E+000
 5.0760190E+001, 0.0000000E+000, 0.0000000E+000
 5.0780933E+001, 0.0000000E+000, 0.0000000E+000
 5.0800523E+001, 0.0000000E+000, 0.0000000E+000
 5.0820114E+001, 0.0000000E+000, 0.0000000E+000
 5.0840857E+001, 0.0000000E+000, 0.0000000E+000
 5.0860447E+001, 0.0000000E+000, 0.0000000E+000
 5.0880038E+001, 0.0000000E+000, 0.0000000E+000
 5.0900781E+001, 0.0000000E+000, 0.0000000E+000
 5.0920371E+001, 0.0000000E+000, 0.0000000E+000
 5.0941114E+001, 0.0000000E+000, 0.0000000E+000
 5.0960705E+001, 0.0000000E+000, 0.0000000E+000
 5.0980296E+001, 0.0000000E+000, 0.0000000E+000
 5.1001038E+001, 0.0000000E+000, 0.0000000E+000
 5.1020629E+001, 0.0000000E+000, 0.0000000E+000
 5.1040220E+001, 0.0000000E+000, 0.0000000E+000
 5.1060963E+001, 0.0000000E+000, 0.0000000E+000
 5.1080553E+001, 0.0000000E+000, 0.0000000E+000
 5.1100144E+001, 0.0000000E+000, 0.0000000E+000
 5.1120887E+001, 0.0000000E+000, 0.0000000E+000
 5.1140477E+001, 0.0000000E+000, 0.0000000E+000
 5.1160068E+001, 0.0000000E+000, 0.0000000E+000
 5.1180811E+001, 0.0000000E+000, 0.0000000E+000
 5.1200401E+001, 0.0000000E+000, 0.0000000E+000
 5.1221144E+001, 0.0000000E+000, 0.0000000E+000
 5.1240735E+001, 0.0000000E+000, 0.0000000E+000
 5.1260325E+001, 0.0000000E+000, 0.0000000E+000
 5.1281068E+001, 0.0000000E+000, 0.0000000E+000
 5.1300659E+001, 0.0000000E+000, 0.0000000E+000
 5.1320249E+001, 0.0000000E+000, 0.0000000E+000
 5.1340992E+001, 0.0000000E+000, 0.0000000E+000
 5.1360583E+001, 0.0000000E+000, 0.0000000E+000
 5.1380173E+001, 0.0000000E+000, 0.0000000E+000
 5.1400916E+001, 0.0000000E+000, 0.0000000E+000
 5.1420507E+001, 0.0000000E+000, 0.0000000E+000
 5.1440097E+001, 0.0000000E+000, 0.0000000E+000
 5.1460840E+001, 0.0000000E+000, 0.0000000E+000
 5.1480431E+001, 0.0000000E+000, 0.0000000E+000
 5.1500021E+001, 0.0000000E+000, 0.0000000E+000
 5.1520764E+001, 0.0000000E+000, 0.0000000E+000
 5.1540355E+001, 0.0000000E+000, 0.0000000E+000
 5.1561098E+001, 0.0000000E+000, 0.0000000E+000
 5.1580688E+001, 0.0000000E+000, 0.0000000E+000
 5.1600279E+001, 0.0000000E+000, 0.0000000E+000
 5.1621022E+001, 0.0000000E+000, 0.0000000E+000
 5.1640612E+001, 0.0000000E+000, 0.0000000E+000
 5.1660203E+001, 0.0000000E+000, 0.0000000E+000
 5.1680581E+001, 0.0000000E+000, 0.0000000E+000
 5.1700343E+001, 0.0000000E+000, 0.0000000E+000
 5.1720492E+001, 0.0000000E+000, 0.0000000E+000
 5.1740551E+001, 0.0000000E+000, 0.0000000E+000
 5.1760569E+001, 0.0000000E+000, 0.0000000E+000
 5.1780624E+001, 0.0000000E+000, 0.0000000E+000
 5.1800554E+001, 0.0000000E+000, 0.0000000E+000
 5.1820282E+001, 0.0000000E+000, 0.0000000E+000
 5.1840098E+001, 0.0000000E+000, 0.0000000E+000
 5.1860236E+001, 0.0000000E+000, 0.0000000E+000
 5.1880205E+001, 0.0000000E+000, 0.0000000E+000
 5.1900130E+001, 0.0000000E+000, 0.0000000E+000
 5.1920675E+001, 0.0000000E+000, 0.0000000E+000
 5.1940408E+001, 0.0000000E+000, 0.0000000E+000
 5.1960310E+001, 0.0000000E+000, 0.0000000E+000
 5.1980246E+001, 0.0000000E+000, 0.0000000E+000
 5.2000401E+001, 0.0000000E+000, 0.0000000E+000
 5.2020250E+001, 0.0000000E+000, 0.0000000E+000
 5.2040631E+001, 0.0000000E+000, 0.0000000E+000
 5.2060787E+001, 0.0000000E+000, 0.0000000E+000
 5.2080449E+001, 0.0000000E+000, 0.0000000E+000
 5.2100487E+001, 0.0000000E+000, 0.0000000E+000
 5.2120056E+001, 0.0000000E+000, 0.0000000E+000
 5.2140304E+001, 0.0000000E+000, 0.0000000E+000
 5.2160446E+001, 0.0000000E+000, 0.0000000E+000
 5.2180690E+001, 0.0000000E+000, 0.0000000E+000
 5.2200406E+001, 0.0000000E+000, 0.0000000E+000
 5.2220584E+001, 0.0000000E+000, 0.0000000E+000
 5.2240526E+001, 0.0000000E+000, 0.0000000E+000
 5.2260120E+001, 0.0000000E+000, 0.0000000E+000
 5.2280034E+001, 0.0000000E+000, 0.0000000E+000
 5.2300246E+001, 0.0000000E+000, 0.0000000E+000
 5.2320020E+001, 0.0000000E+000, 0.0000000E+000
 5.2340413E+001, 0.0000000E+000, 0.0000000E+000
 5.2360474E+001, 0.0000000E+000, 0.0000000E+000
 5.2380115E+001, 0.0000000E+000, 0.0000000E+000
 5.2400646E+001, 0.0000000E+000, 0.0000000E+000
 5.2420505E+001, 0.0000000E+000, 0.0000000E+000
 5.2440342E+001, 0.0000000E+000, 0.0000000E+000
 5.2460576E+001, 0.0000000E+000, 0.0000000E+000
 5.2480147E+001, 0.0000000E+000, 0.0000000E+000
 5.2500370E+001, 0.0000000E+000, 0.0000000E+000
 5.2520024E+001, 0.0000000E+000, 0.0000000E+000
 5.2540479E+001, 0.0000000E+000, 0.0000000E+000
 5.2560413E+001, 0.0000000E+000, 0.0000000E+000
