s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.1781010E+001, 0.0000000E+000, 0.0000000E+000
 5.1801030E+001, 0.0000000E+000, 0.0000000E+000
 5.1821049E+001, 0.0000000E+000, 0.0000000E+000
 5.1841069E+001, 0.0000000E+000, 0.0000000E+000
 5.1861088E+001, 0.0000000E+000, 0.0000000E+000
 5.1881108E+001, 0.0000000E+000, 0.0000000E+000
 5.1901127E+001, 0.0000000E+000, 0.0000000E+000
 5.1921146E+001, 0.0000000E+000, 0.0000000E+000
 5.1941166E+001, 0.0000000E+000, 0.0000000E+000
 5.1960008E+001, 0.0000000E+000, 0.0000000E+000
 5.1980027E+001, 0.0000000E+000, 0.0000000E+000
 5.2000047E+001, 0.0000000E+000, 0.0000000E+000
 5.2020066E+001, 0.0000000E+000, 0.0000000E+000
 5.2040086E+001, 0.0000000E+000, 0.0000000E+000
 5.2060105E+001, 0.0000000E+000, 0.0000000E+000
 5.2080125E+001, 0.0000000E+000, 0.0000000E+000
 5.2100144E+001, 0.0000000E+000, 0.0000000E+000
 5.2120163E+001, 0.0000000E+000, 0.0000000E+000
 5.2140183E+001, 0.0000000E+000, 0.0000000E+000
 5.2160202E+001, 0.0000000E+000, 0.0000000E+000
 5.2180222E+001, 0.0000000E+000, 0.0000000E+000
 5.2200241E+001, 0.0000000E+000, 0.0000000E+000
 5.2220261E+001, 0.0000000E+000, 0.0000000E+000
 5.2240280E+001, 0.0000000E+000, 0.0000000E+000
 5.2260300E+001, 0.0000000E+000, 0.0000000E+000
 5.2280319E+001, 0.0000000E+000, 0.0000000E+000
 5.2300339E+001, 0.0000000E+000, 0.0000000E+000
 5.2320358E+001, 0.0000000E+000, 0.0000000E+000
 5.2340378E+001, 0.0000000E+000, 0.0000000E+000
 5.2360397E+001, 0.0000000E+000, 0.0000000E+000
 5.2380416E+001, 0.0000000E+000, 0.0000000E+000
 5.2400436E+001, 0.0000000E+000, 0.0000000E+000
 5.2420455E+001, 0.0000000E+000, 0.0000000E+000
 5.2440475E+001, 0.0000000E+000, 0.0000000E+000
 5.2460494E+001, 0.0000000E+000, 0.0000000E+000
 5.2480514E+001, 0.0000000E+000, 0.0000000E+000
 5.2500533E+001, 0.0000000E+000, 0.0000000E+000
 5.2520553E+001, 0.0000000E+000, 0.0000000E+000
