s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.7914115E-001, 7.7352885E-002, 2.8775550E-002, 1.7018842E-002, 2.8735756E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0421114E-001, 7.0840258E-009
 1.8381718E-001, 7.8451484E-002, 2.8582280E-002, 1.7780087E-002, 2.8203964E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0439562E-001, 7.2554331E-009
 1.8849320E-001, 7.9575185E-002, 2.8366507E-002, 1.8575385E-002, 2.8859467E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0461200E-001, 7.4767378E-009
 1.9316923E-001, 8.0703534E-002, 2.8146514E-002, 1.9376555E-002, 2.8936039E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0482286E-001, 7.6942897E-009
 1.9784526E-001, 8.1816386E-002, 2.7940896E-002, 2.0155233E-002, 2.8442567E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0500290E-001, 7.8888154E-009
 2.0252128E-001, 8.2660761E-002, 2.7631627E-002, 2.0887875E-002, 2.0825647E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0517482E-001, 8.0711759E-009
 2.0719731E-001, 8.3259576E-002, 2.7272881E-002, 2.1535277E-002, 1.3862901E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0525314E-001, 8.1654656E-009
 2.1187334E-001, 8.3859865E-002, 2.6883722E-002, 2.2210909E-002, 1.3861038E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0520977E-001, 8.2065677E-009
 2.1654937E-001, 8.4463022E-002, 2.6488467E-002, 2.2892572E-002, 1.3898082E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0502769E-001, 8.1401768E-009
 2.2122539E-001, 8.5070830E-002, 2.6111795E-002, 2.3557909E-002, 1.3984688E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0500615E-001, 8.2014120E-009
 2.2590142E-001, 8.5682319E-002, 2.5704972E-002, 2.4252408E-002, 1.4038904E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0532058E-001, 8.5603833E-009
 2.3057745E-001, 8.6300181E-002, 2.5316975E-002, 2.4931278E-002, 1.4170766E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0560518E-001, 8.8999663E-009
 2.3525348E-001, 8.6923614E-002, 2.4899113E-002, 2.5640066E-002, 1.4273054E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0577309E-001, 9.1768406E-009
 2.3992950E-001, 8.7554516E-002, 2.4475823E-002, 2.6356733E-002, 1.4428803E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0585819E-001, 9.3864375E-009
