s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 3.9006055E-001, 1.8099136E-001, 5.8506606E-002, 5.5175223E-002, 6.9365805E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7000258E-001, 6.5026875E-009
 3.9329614E-001, 1.8291039E-001, 5.9371473E-002, 5.5793132E-002, 7.0511776E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6982187E-001, 6.7974606E-009
 3.9653174E-001, 1.8484612E-001, 6.0248638E-002, 5.6421314E-002, 7.1329230E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.6981642E-001, 6.8909697E-009
 3.9976734E-001, 1.8679883E-001, 6.1138704E-002, 5.7060316E-002, 7.1786735E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.6998389E-001, 6.8084640E-009
 4.0300294E-001, 1.8805164E-001, 6.1851523E-002, 5.7495710E-002, 4.2436077E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7020630E-001, 6.4671670E-009
 4.0623854E-001, 1.8928673E-001, 6.2553231E-002, 5.7914885E-002, 4.0680331E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7050134E-001, 6.0340207E-009
 4.0947413E-001, 1.9054018E-001, 6.3264216E-002, 5.8340766E-002, 4.0410249E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7073626E-001, 5.5883284E-009
 4.1270973E-001, 1.9180809E-001, 6.3987084E-002, 5.8776274E-002, 4.0160876E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7080763E-001, 5.2438911E-009
 4.1594533E-001, 1.9308515E-001, 6.4723727E-002, 5.9223546E-002, 4.0037691E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7023758E-001, 4.9001698E-009
 4.1918093E-001, 1.9436691E-001, 6.5475639E-002, 5.9684375E-002, 3.9918976E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6851908E-001, 4.3575790E-009
 4.2241653E-001, 1.9565557E-001, 6.6243352E-002, 6.0159522E-002, 3.9698973E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6816222E-001, 4.3926623E-009
 4.2565212E-001, 1.9695840E-001, 6.7026663E-002, 6.0648809E-002, 3.9444180E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.6829959E-001, 4.5960689E-009
 4.2888772E-001, 1.9828040E-001, 6.7825374E-002, 6.1151897E-002, 3.9356856E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6805651E-001, 4.6239640E-009
 4.3212332E-001, 1.9962023E-001, 6.8639651E-002, 6.1668797E-002, 3.9618799E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6808450E-001, 4.7289064E-009
 4.3535892E-001, 2.0097304E-001, 6.9469860E-002, 6.2199755E-002, 4.0278125E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6941921E-001, 5.3932483E-009
 4.3859452E-001, 2.0233537E-001, 7.0316280E-002, 6.2744960E-002, 4.1248424E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7039587E-001, 6.0781253E-009
 4.4183011E-001, 2.0370667E-001, 7.1179012E-002, 6.3304400E-002, 4.2374369E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.7060337E-001, 6.5747912E-009
 4.4506571E-001, 2.0508752E-001, 7.2058013E-002, 6.3877886E-002, 4.3499568E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7059333E-001, 7.0820151E-009
 4.4830131E-001, 2.0647747E-001, 7.2953180E-002, 6.4465106E-002, 4.4505237E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7057790E-001, 7.6346312E-009
 4.5153691E-001, 2.0755352E-001, 7.3770269E-002, 6.4971553E-002, 3.2120845E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7055756E-001, 8.1108720E-009
 4.5477251E-001, 2.0825497E-001, 7.4484338E-002, 6.5372142E-002, 1.7034187E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7053273E-001, 8.4396589E-009
 4.5800810E-001, 2.0896528E-001, 7.5203995E-002, 6.5775327E-002, 1.7507590E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7052552E-001, 8.6377496E-009
 4.6124370E-001, 2.0967657E-001, 7.5934027E-002, 6.6185482E-002, 1.7620597E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7052670E-001, 8.6826674E-009
 4.6447930E-001, 2.1038565E-001, 7.6675776E-002, 6.6603502E-002, 1.7640219E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7053202E-001, 8.5887735E-009
 4.6771490E-001, 2.1108902E-001, 7.7430346E-002, 6.7030091E-002, 1.7509820E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7051611E-001, 8.3776209E-009
 4.7095050E-001, 2.1173094E-001, 7.8193371E-002, 6.7446040E-002, 1.4822898E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.7045142E-001, 8.0744182E-009
 4.7418609E-001, 2.1243201E-001, 7.8974088E-002, 6.7888464E-002, 1.6592993E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.7033516E-001, 7.7525915E-009
 4.7742169E-001, 2.1313691E-001, 7.9767714E-002, 6.8339132E-002, 1.5778772E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.7019523E-001, 7.4601367E-009
 4.8065729E-001, 2.1385133E-001, 8.0573912E-002, 6.8796952E-002, 1.5178769E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.7005085E-001, 7.2273554E-009
 4.8389289E-001, 2.1457455E-001, 8.1392873E-002, 6.9261850E-002, 1.4853347E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.6988324E-001, 7.0393721E-009
 4.8712849E-001, 2.1530551E-001, 8.2224799E-002, 6.9733974E-002, 1.4820055E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6970769E-001, 6.8895759E-009
 4.9036408E-001, 2.1604569E-001, 8.3069624E-002, 7.0213367E-002, 1.5040623E-002, 5.5511151E-017, 1.0000000E+000, 3.7000000E+001, 4.6960042E-001, 6.8043097E-009
 4.9359968E-001, 2.1679776E-001, 8.3926982E-002, 7.0699967E-002, 1.5461357E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.6960121E-001, 6.7985050E-009
 4.9683528E-001, 2.1756297E-001, 8.4796224E-002, 7.1193674E-002, 1.6028306E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.6964935E-001, 6.8450883E-009
 5.0000000E-001, 2.1835345E-001, 8.5662726E-002, 7.1697576E-002, 1.8068377E-002, 1.1102230E-016, 1.0000000E+000, 3.7000000E+001, 4.6966147E-001, 6.9306489E-009
