Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
     46,      1,     93,      1,     17,     12,      1,  0.13877788E-16,      5,     12,     16,      1,  0.10905437E-01
     47,      1,     94,      1,     17,     11,     10,  0.13877788E-16,      1,     16,     16,      1,  0.32619796E-02
     47,      1,     95,      5,     17,      2,      5,  0.27755576E-16,      5,     12,     16,      1,  0.11117836E-01
     48,      1,     96,      1,      9,     17,     10,  0.27755576E-16,      1,     16,     16,      1,  0.31453252E-02
     48,      1,     97,      1,     17,     13,      9,  0.13877788E-16,      5,     12,     16,      1,  0.98386337E-02
     49,      1,     98,      1,     12,      3,     17,  0.27755576E-16,      1,     16,     16,      1,  0.28343013E-02
     49,      1,     99,      1,     17,     14,      8,  0.13877788E-16,      5,     12,     16,      1,  0.86359109E-02
     50,      1,    100,      1,     17,     14,      8,  0.13877788E-16,      1,     16,     16,      1,  0.29892185E-02
     50,      1,    101,      1,      5,     17,      8,  0.27755576E-16,      7,     12,      1,      1,  0.90357787E-02
     51,      1,    102,      1,     17,     12,      8,  0.13877788E-16,      1,     16,     16,      1,  0.30182416E-02
     51,      1,    103,      1,     17,      3,     10,  0.13877788E-16,      7,     12,      1,      1,  0.94164779E-02
     52,      1,    104,      1,     17,     16,     12,  0.27755576E-16,      1,     16,     16,      1,  0.29385510E-02
     52,      1,    105,      1,     17,      2,     12,  0.27755576E-16,      7,     12,      1,      1,  0.97748889E-02
     53,      1,    106,      1,     17,     11,      2,  0.13877788E-16,      1,     16,     16,      1,  0.30902418E-02
     53,      1,    107,      1,     17,      2,     12,  0.27755576E-16,      7,     12,      1,      1,  0.10228555E-01
     54,      1,    108,      2,      5,      3,     17,  0.27755576E-16,      1,     16,     16,      1,  0.30192022E-02
     54,      1,    109,      2,      5,      3,     17,  0.27755576E-16,      7,     12,      1,      1,  0.10623210E-01
     55,      1,    110,      1,     12,      3,     17,  0.55511151E-16,      3,     16,      1,      1,  0.31759549E-02
     55,      1,    111,      5,     17,      3,      5,  0.27755576E-16,      7,     12,      1,      1,  0.11114455E-01
     56,      1,    112,      1,     12,      2,     17,  0.27755576E-16,      3,     16,      1,      1,  0.32270298E-02
     56,      1,    113,      1,     12,      2,     17,  0.27755576E-16,      7,     12,      1,      1,  0.11587798E-01
     57,      1,    114,      1,     17,      5,     12,  0.27755576E-16,      3,     16,      1,      1,  0.31659179E-02
     57,      1,    115,      1,     17,      5,     12,  0.27755576E-16,      7,     12,      1,      1,  0.12042971E-01
     58,      1,    116,      1,      5,     17,      4,  0.27755576E-16,      3,     16,      1,      1,  0.33266906E-02
     58,      1,    117,      1,     12,      4,     17,  0.27755576E-16,      7,     12,      1,      1,  0.12596979E-01
     59,      1,    118,      1,     17,      3,     10,  0.27755576E-16,      2,      5,      1,     14,  0.44010965E-02
     59,      1,    119,      2,      5,      3,     17,  0.27755576E-16,      5,     12,     15,      1,  0.17723440E-01
     60,      1,    120,      2,      5,      3,     17,  0.27755576E-16,      1,     16,     16,      1,  0.33402815E-02
     60,      1,    121,      2,      5,      3,     17,  0.27755576E-16,      1,     16,     16,      1,  0.33703985E-02
     60,      1,    122,      1,      4,     10,     17,  0.27755576E-16,      5,     15,     12,      1,  0.19639482E-01
     61,      1,    123,      1,     17,     10,      4,  0.13877788E-16,      2,      5,      1,     14,  0.35377915E-02
     61,      1,    124,      1,     11,      1,     17,  0.27755576E-16,      5,     12,     15,      1,  0.19674810E-01
     62,      1,    125,      1,     17,      4,      9,  0.27755576E-16,      1,     16,     16,      1,  0.34353894E-02
     62,      1,    126,      1,     12,      4,     17,  0.27755576E-16,      5,     12,     15,      1,  0.20447571E-01
     63,      1,    127,      1,     17,     14,      9,  0.27755576E-16,      2,      5,      1,     14,  0.37167178E-02
     63,      1,    128,      1,     17,     14,      9,  0.27755576E-16,      5,     12,     15,      1,  0.20607256E-01
     64,      1,    129,      1,     17,     12,     10,  0.27755576E-16,      1,     16,     16,      1,  0.35070518E-02
     64,      1,    130,      1,     17,      1,     12,  0.27755576E-16,      5,     12,     15,      1,  0.21399962E-01
     65,      1,    131,      1,     17,     13,      9,  0.27755576E-16,      2,      5,      1,     14,  0.38683349E-02
     65,      1,    132,      1,     17,     13,      9,  0.27755576E-16,      5,     12,     15,      1,  0.21580477E-01
     66,      1,    133,      1,      2,      2,     17,  0.27755576E-16,      2,      5,      1,     14,  0.36768167E-02
     66,      1,    134,      1,     17,      1,     12,  0.27755576E-16,      5,     12,     15,      1,  0.22082672E-01
     67,      1,    135,      1,     17,     16,      7,  0.27755576E-16,      1,     16,     16,      1,  0.36046975E-02
     67,      1,    136,      1,     17,      5,     12,  0.27755576E-16,      5,     12,     15,      1,  0.22907269E-01
     68,      1,    137,      1,     17,     11,     11,  0.27755576E-16,      2,      5,      1,     14,  0.40007898E-02
     68,      1,    138,      1,     17,      1,     12,  0.27755576E-16,      5,     12,     15,      1,  0.23121184E-01
     69,      1,    139,      1,     17,     11,     13,  0.27755576E-16,      1,     16,     16,      1,  0.36636064E-02
     69,      1,    140,      1,     17,      1,     12,  0.27755576E-16,      5,     12,     15,      1,  0.23968601E-01
     70,      1,    141,      1,     17,      1,     12,  0.27755576E-16,      2,      5,      1,     15,  0.40893945E-02
     70,      1,    142,      1,     17,      1,     12,  0.27755576E-16,      5,     12,     15,      1,  0.24206432E-01
     71,      1,    143,      1,     17,     11,      1,  0.27755576E-16,      2,      5,      1,     15,  0.39722673E-02
     71,      1,    144,      1,     13,     17,     11,  0.27755576E-16,      5,     12,     15,      1,  0.22193481E-01
     72,      1,    145,      1,      1,     17,     11,  0.27755576E-16,      2,      5,      1,     15,  0.37978681E-02
     72,      1,    146,      1,     17,     10,      2,  0.27755576E-16,      5,     12,     16,      1,  0.21305411E-01
     73,      1,    147,      1,     12,      2,     17,  0.55511151E-16,      2,      5,      1,     15,  0.31689183E-02
     73,      1,    148,      1,     17,      5,     13,  0.55511151E-16,      2,      5,      1,     15,  0.30621446E-02
     73,      1,    149,      2,      5,      4,     17,  0.55511151E-16,      5,     12,     16,      1,  0.21906787E-01
     74,      1,    150,      1,      4,     17,      5,  0.27755576E-16,      2,      5,      1,     15,  0.33174633E-02
     74,      1,    151,      1,     17,      1,     12,  0.27755576E-16,      5,     12,     16,      1,  0.22238066E-01
     75,      1,    152,      2,      4,      5,     17,  0.55511151E-16,      2,      5,      1,     15,  0.27924926E-02
     75,      1,    153,      2,      5,      4,     17,  0.55511151E-16,      6,      2,     12,      2,  0.23222729E-01
     76,      1,    154,      1,     17,      8,      8,  0.27755576E-16,      2,      5,      1,     15,  0.30317768E-02
     76,      1,    155,      1,     17,     10,      9,  0.27755576E-16,      6,      2,     12,      2,  0.23733335E-01
     77,      1,    156,      1,     17,      5,     12,  0.27755576E-16,      1,     16,     16,      1,  0.26964837E-02
     77,      1,    157,      1,     17,      5,     12,  0.27755576E-16,      6,      2,     12,      2,  0.25102408E-01
     78,      1,    158,      1,     13,     17,     12,  0.27755576E-16,      2,      5,      1,     15,  0.26634869E-02
     78,      1,    159,      5,     17,      3,      5,  0.55511151E-16,      6,      2,     12,      2,  0.25769925E-01
     79,      1,    160,      1,     12,      2,     17,  0.55511151E-16,      1,     16,     16,      1,  0.27111101E-02
     79,      1,    161,      1,     12,      2,     17,  0.55511151E-16,      6,      2,     12,      2,  0.27301286E-01
