s,m/s,m/s,Pa,m/s,
 4.0000000E-002, 1.8822931E-001, 1.3459384E-001, 2.3549843E+000, 9.2174090E-003, 1.0000000E+000
 4.2000000E-002, 2.1673534E-001, 1.5187372E-001, 2.2628747E+000, 2.4204754E-002, 4.0000000E+000
 4.4000000E-002, 2.4144805E-001, 1.6726968E-001, 2.0282801E+000, 5.2034128E-002, 4.0000000E+000
 4.6000000E-002, 2.6083310E-001, 1.7988029E-001, 1.6774875E+000, 7.3073637E-002, 4.0000000E+000
 4.8000000E-002, 2.7381493E-001, 1.8910316E-001, 1.2450959E+000, 8.6004563E-002, 4.0000000E+000
 5.0000000E-002, 2.7989881E-001, 1.9467058E-001, 7.7018073E-001, 9.0328632E-002, 4.0000000E+000
 5.2000000E-002, 2.7920573E-001, 1.9664149E-001, 2.9460542E-001, 8.7439302E-002, 4.0000000E+000
 5.4000000E-002, 2.7243396E-001, 1.9535709E-001,-1.4123534E-001, 7.7360964E-002, 4.0000000E+000
 5.6000000E-002, 2.6074976E-001, 1.9141332E-001,-5.0323544E-001, 6.1320162E-002, 4.0000000E+000
 5.8000000E-002, 2.4565182E-001, 1.8561261E-001,-7.6612252E-001, 4.1123990E-002, 4.0000000E+000
 6.0000000E-002, 2.2882859E-001, 1.7886923E-001,-9.1447147E-001, 1.8901269E-002, 4.0000000E+000
 6.2000000E-002, 2.1200545E-001, 1.7211351E-001,-9.1368429E-001, 3.8445350E-003, 1.0000000E+000
 6.4000000E-002, 1.9683288E-001, 1.6616866E-001,-8.3385213E-001, 2.3322319E-002, 4.0000000E+000
 6.6000000E-002, 1.8456913E-001, 1.6173357E-001,-6.5510908E-001, 3.9851756E-002, 4.0000000E+000
 6.8000000E-002, 1.7619427E-001, 1.5934429E-001,-4.0112015E-001, 5.1595802E-002, 4.0000000E+000
 7.0000000E-002, 1.7229442E-001, 1.5931199E-001,-1.0129223E-001, 5.7939895E-002, 4.0000000E+000
 7.2000000E-002, 1.7299320E-001, 1.6171330E-001, 2.1354515E-001, 5.8787120E-002, 4.0000000E+000
 7.4000000E-002, 1.7797979E-001, 1.6640588E-001, 5.1331635E-001, 5.4515566E-002, 4.0000000E+000
 7.6000000E-002, 1.8657738E-001, 1.7306043E-001, 7.7161165E-001, 4.5907991E-002, 4.0000000E+000
 7.8000000E-002, 1.9783934E-001, 1.8120619E-001, 9.6814123E-001, 3.4058285E-002, 4.0000000E+000
 8.0000000E-002, 2.1066128E-001, 1.9028456E-001, 1.0901937E+000, 2.0256986E-002, 4.0000000E+000
 8.2000000E-002, 2.2354322E-001, 1.9942252E-001, 1.0921610E+000, 6.3947605E-003, 1.0000000E+000
 8.4000000E-002, 2.3631831E-001, 2.0855282E-001, 1.0835819E+000, 8.0290144E-003, 1.0000000E+000
 8.6000000E-002, 2.4726613E-001, 2.1709022E-001, 9.8703145E-001, 1.9126403E-002, 4.0000000E+000
 8.8000000E-002, 2.5590087E-001, 2.2454127E-001, 8.3220369E-001, 2.8312463E-002, 4.0000000E+000
 9.0000000E-002, 2.6182790E-001, 2.3061178E-001, 6.4225399E-001, 3.4267003E-002, 4.0000000E+000
 9.2000000E-002, 2.6484608E-001, 2.3519609E-001, 4.3928608E-001, 3.6712145E-002, 4.0000000E+000
 9.4000000E-002, 2.6504506E-001, 2.3832082E-001, 2.4038523E-001, 3.5735895E-002, 4.0000000E+000
 9.6000000E-002, 2.6275129E-001, 2.4013377E-001, 6.0486957E-002, 3.1702030E-002, 4.0000000E+000
 9.8000000E-002, 2.5846560E-001, 2.4088888E-001,-8.7610366E-002, 2.5199788E-002, 4.0000000E+000
 1.0000000E-001, 2.5280966E-001, 2.4091548E-001,-1.9428810E-001, 1.6993791E-002, 4.0000000E+000
 1.0200000E-001, 2.4646261E-001, 2.4054999E-001,-3.0400461E-001, 1.2444958E-002, 2.0000000E+000
 1.0400000E-001, 2.4011788E-001, 2.4017406E-001,-3.0368618E-001, 9.4897186E-003, 1.0000000E+000
 1.0600000E-001, 2.3387187E-001, 2.3983360E-001,-2.9719076E-001, 8.5342714E-003, 1.0000000E+000
 1.0800000E-001, 2.2808976E-001, 2.3969330E-001,-2.8478746E-001, 1.2494256E-002, 2.0000000E+000
 1.1000000E-001, 2.2407640E-001, 2.4025514E-001,-1.7408799E-001, 1.7142730E-002, 4.0000000E+000
 1.1200000E-001, 2.2183005E-001, 2.4157444E-001,-5.1571199E-002, 2.0691605E-002, 4.0000000E+000
 1.1400000E-001, 2.2126342E-001, 2.4381194E-001, 6.6743741E-002, 2.2149466E-002, 4.0000000E+000
 1.1600000E-001, 2.2219340E-001, 2.4702380E-001, 1.7388185E-001, 2.1546506E-002, 4.0000000E+000
 1.1800000E-001, 2.2438542E-001, 2.5112080E-001, 2.6580857E-001, 1.9088351E-002, 4.0000000E+000
 1.2000000E-001, 2.2756807E-001, 2.5591699E-001, 3.3929244E-001, 1.5146787E-002, 4.0000000E+000
 1.2200000E-001, 2.3084986E-001, 2.6079385E-001, 3.4510075E-001, 1.1207381E-002, 1.0000000E+000
 1.2400000E-001, 2.3418476E-001, 2.6573377E-001, 3.4826333E-001, 6.9845889E-003, 1.0000000E+000
 1.2600000E-001, 2.3752041E-001, 2.7072276E-001, 3.4888028E-001, 3.7669009E-003, 1.0000000E+000
 1.2800000E-001, 2.4079899E-001, 2.7575148E-001, 3.4693772E-001, 5.1416403E-003, 1.0000000E+000
 1.3000000E-001, 2.4396243E-001, 2.8080895E-001, 3.4233589E-001, 7.1446482E-003, 1.0000000E+000
 1.3200000E-001, 2.4695812E-001, 2.8587827E-001, 3.3492643E-001, 1.0543650E-002, 1.0000000E+000
 1.3400000E-001, 2.4901464E-001, 2.9078255E-001, 2.9113945E-001, 1.2430387E-002, 3.0000000E+000
 1.3600000E-001, 2.5000777E-001, 2.9517008E-001, 2.1159378E-001, 1.3799099E-002, 4.0000000E+000
 1.3800000E-001, 2.4994432E-001, 2.9899132E-001, 1.3056842E-001, 1.4102258E-002, 4.0000000E+000
 1.4000000E-001, 2.4883564E-001, 3.0229712E-001, 5.6899071E-002, 1.3239714E-002, 4.0000000E+000
 1.4200000E-001, 2.4741199E-001, 3.0546358E-001, 1.1899114E-002, 1.2226619E-002, 1.0000000E+000
 1.4400000E-001, 2.4587339E-001, 3.0858764E-001, 3.9485280E-003, 1.1292442E-002, 1.0000000E+000
 1.4600000E-001, 2.4423027E-001, 3.1167931E-001,-2.6289251E-003, 1.0275793E-002, 1.0000000E+000
 1.4800000E-001, 2.4249008E-001, 3.1475060E-001,-7.9699418E-003, 9.0750201E-003, 1.0000000E+000
 1.5000000E-001, 2.4066172E-001, 3.1781418E-001,-1.2217406E-002, 7.8389827E-003, 1.0000000E+000
 1.5200000E-001, 2.3862166E-001, 3.2084648E-001,-2.1426410E-002, 1.0297891E-002, 2.0000000E+000
 1.5400000E-001, 2.3651603E-001, 3.2387756E-001,-2.8812928E-002, 1.0811316E-002, 1.0000000E+000
 1.5600000E-001, 2.3440836E-001, 3.2691298E-001,-3.0523575E-002, 1.1183693E-002, 1.0000000E+000
 1.5800000E-001, 2.3232045E-001, 3.2994894E-001,-3.1114677E-002, 9.9367157E-003, 1.0000000E+000
 1.6000000E-001, 2.3025996E-001, 3.3298027E-001,-3.0689132E-002, 7.6713332E-003, 1.0000000E+000
 1.6200000E-001, 2.2822296E-001, 3.3600107E-001,-2.9505807E-002, 5.0914221E-003, 1.0000000E+000
 1.6400000E-001, 2.2619920E-001, 3.3900637E-001,-2.7915929E-002, 4.9351892E-003, 1.0000000E+000
 1.6600000E-001, 2.2417674E-001, 3.4199468E-001,-2.6292397E-002, 4.8272085E-003, 1.0000000E+000
 1.6800000E-001, 2.2214444E-001, 3.4496962E-001,-2.4972648E-002, 4.4539642E-003, 1.0000000E+000
 1.7000000E-001, 2.2009289E-001, 3.4793979E-001,-2.4218325E-002, 3.8678252E-003, 1.0000000E+000
 1.7200000E-001, 2.1801455E-001, 3.5091721E-001,-2.4189922E-002, 4.3220295E-003, 1.0000000E+000
 1.7400000E-001, 2.1590353E-001, 3.5391575E-001,-2.4935286E-002, 4.6903664E-003, 1.0000000E+000
 1.7600000E-001, 2.1375531E-001, 3.5695001E-001,-2.6391488E-002, 4.8331742E-003, 1.0000000E+000
 1.7800000E-001, 2.1156640E-001, 3.6003493E-001,-2.8398764E-002, 4.8338364E-003, 1.0000000E+000
 1.8000000E-001, 2.0933432E-001, 3.6318526E-001,-3.0723901E-002, 4.9271748E-003, 1.0000000E+000
 1.8200000E-001, 2.0705801E-001, 3.6641494E-001,-3.3089515E-002, 5.7624249E-003, 1.0000000E+000
 1.8400000E-001, 2.0473874E-001, 3.6973593E-001,-3.5205555E-002, 6.2046116E-003, 1.0000000E+000
 1.8600000E-001, 2.0238104E-001, 3.7315703E-001,-3.6799878E-002, 6.2959779E-003, 1.0000000E+000
 1.8800000E-001, 1.9999337E-001, 3.7668277E-001,-3.7645319E-002, 6.1230802E-003, 1.0000000E+000
 1.9000000E-001, 1.9758817E-001, 3.8031289E-001,-3.7581065E-002, 6.0793452E-003, 1.0000000E+000
 1.9200000E-001, 1.9518107E-001, 3.8404250E-001,-3.6526429E-002, 6.4076480E-003, 1.0000000E+000
 1.9400000E-001, 1.9278940E-001, 3.8786299E-001,-3.4485683E-002, 6.6182310E-003, 1.0000000E+000
 1.9600000E-001, 1.9043035E-001, 3.9176356E-001,-3.1543569E-002, 6.6671031E-003, 1.0000000E+000
 1.9800000E-001, 1.8811908E-001, 3.9573296E-001,-2.7852475E-002, 6.5363257E-003, 1.0000000E+000
 2.0000000E-001, 1.8586719E-001, 3.9976113E-001,-2.3613553E-002, 6.2348862E-003, 1.0000000E+000
 2.0200000E-001, 1.8370643E-001, 4.0386563E-001,-8.5047816E-003, 8.5344286E-003, 1.0000000E+000
 2.0400000E-001, 1.8173123E-001, 4.0804555E-001, 4.4840367E-003, 8.2760224E-003, 2.0000000E+000
 2.0600000E-001, 1.7982241E-001, 4.1224055E-001, 7.0375694E-003, 9.1432596E-003, 1.0000000E+000
 2.0800000E-001, 1.7798224E-001, 4.1641367E-001, 8.9964220E-003, 9.5178467E-003, 1.0000000E+000
 2.1000000E-001, 1.7619308E-001, 4.2053713E-001, 1.0031898E-002, 9.4208727E-003, 1.0000000E+000
 2.1200000E-001, 1.7442039E-001, 4.2459212E-001, 9.7175625E-003, 9.7427850E-003, 1.0000000E+000
 2.1400000E-001, 1.7262209E-001, 4.2856401E-001, 7.6518516E-003, 1.1280566E-002, 1.0000000E+000
 2.1600000E-001, 1.7063518E-001, 4.3232628E-001,-1.0849111E-002, 1.2020929E-002, 1.0000000E+000
 2.1800000E-001, 1.6841953E-001, 4.3586653E-001,-4.4571555E-002, 1.2040477E-002, 1.0000000E+000
 2.2000000E-001, 1.6610243E-001, 4.3930095E-001,-5.4397018E-002, 1.2045977E-002, 1.0000000E+000
 2.2200000E-001, 1.6365494E-001, 4.4262766E-001,-6.6100893E-002, 1.2032653E-002, 1.0000000E+000
 2.2400000E-001, 1.6103561E-001, 4.4586390E-001,-7.9590803E-002, 1.1952699E-002, 1.0000000E+000
 2.2600000E-001, 1.5804980E-001, 4.4900280E-001,-1.2249156E-001, 1.1919788E-002, 1.0000000E+000
 2.2800000E-001, 1.5468546E-001, 4.5211437E-001,-1.6622191E-001, 1.2305886E-002, 1.0000000E+000
 2.3000000E-001, 1.5099436E-001, 4.5522102E-001,-2.0611655E-001, 1.2424740E-002, 1.0000000E+000
 2.3200000E-001, 1.4703043E-001, 4.5833395E-001,-2.4034478E-001, 1.2215426E-002, 1.0000000E+000
 2.3400000E-001, 1.4294747E-001, 4.6145403E-001,-2.5013855E-001, 1.2085280E-002, 1.0000000E+000
 2.3600000E-001, 1.3877710E-001, 4.6457573E-001,-2.5776817E-001, 1.1690227E-002, 1.0000000E+000
 2.3800000E-001, 1.3454385E-001, 4.6769857E-001,-2.6340718E-001, 1.0995972E-002, 1.0000000E+000
 2.4000000E-001, 1.3027260E-001, 4.7082342E-001,-2.6721809E-001, 1.0131426E-002, 1.0000000E+000
 2.4200000E-001, 1.2599307E-001, 4.7394928E-001,-2.6930493E-001, 9.1502682E-003, 1.0000000E+000
 2.4400000E-001, 1.2173832E-001, 4.7707221E-001,-2.6975333E-001, 8.0548829E-003, 1.0000000E+000
 2.4600000E-001, 1.1753995E-001, 4.8018612E-001,-2.6869428E-001, 6.9187792E-003, 1.0000000E+000
 2.4800000E-001, 1.1342368E-001, 4.8328425E-001,-2.6633867E-001, 5.8259521E-003, 1.0000000E+000
 2.5000000E-001, 1.0940741E-001, 4.8636046E-001,-2.6296903E-001, 5.1235280E-003, 1.0000000E+000
 2.5200000E-001, 1.0595316E-001, 4.8896505E-001,-2.1301741E-001, 1.1174572E-002, 8.0000000E+000
 2.5400000E-001, 1.0259337E-001, 4.9138653E-001,-2.1723904E-001, 1.2193170E-002, 6.0000000E+000
 2.5600000E-001, 9.9300179E-002, 4.9390348E-001,-2.1722218E-001, 1.5274046E-002, 4.0000000E+000
 2.5800000E-001, 9.6303847E-002, 4.9678374E-001,-2.0203800E-001, 1.6102128E-002, 4.0000000E+000
 2.6000000E-001, 9.4015147E-002, 5.0029334E-001,-1.5913714E-001, 1.6774308E-002, 4.0000000E+000
 2.6200000E-001, 9.2853670E-002, 5.0461721E-001,-8.6276105E-002, 1.6797709E-002, 4.0000000E+000
 2.6400000E-001, 9.3086255E-002, 5.0980690E-001, 7.4444003E-003, 1.5084074E-002, 4.0000000E+000
 2.6600000E-001, 9.4487559E-002, 5.1564161E-001, 1.0526622E-001, 1.2226885E-002, 3.0000000E+000
 2.6800000E-001, 9.6150712E-002, 5.2161843E-001, 1.1572655E-001, 9.8765105E-003, 1.0000000E+000
 2.7000000E-001, 9.8067638E-002, 5.2770051E-001, 1.2652088E-001, 8.4886984E-003, 1.0000000E+000
 2.7200000E-001, 1.0018884E-001, 5.3386724E-001, 1.3675112E-001, 7.9520200E-003, 1.0000000E+000
 2.7400000E-001, 1.0243851E-001, 5.4012095E-001, 1.4526148E-001, 6.8926192E-003, 1.0000000E+000
 2.7600000E-001, 1.0474128E-001, 5.4647332E-001, 1.5108397E-001, 6.5737913E-003, 1.0000000E+000
 2.7800000E-001, 1.0703832E-001, 5.5292942E-001, 1.5355975E-001, 8.2802420E-003, 1.0000000E+000
 2.8000000E-001, 1.0928850E-001, 5.5948031E-001, 1.5228062E-001, 9.7662099E-003, 1.0000000E+000
 2.8200000E-001, 1.1146146E-001, 5.6610403E-001, 1.4702510E-001, 1.2173702E-002, 1.0000000E+000
 2.8400000E-001, 1.1259350E-001, 5.7257590E-001, 1.2635301E-001, 1.3046740E-002, 4.0000000E+000
 2.8600000E-001, 1.1292449E-001, 5.7855385E-001, 4.7211495E-002, 1.3307893E-002, 4.0000000E+000
 2.8800000E-001, 1.1272064E-001, 5.8408177E-001, 1.0070279E-002, 1.2485850E-002, 3.0000000E+000
 2.9000000E-001, 1.1219096E-001, 5.8945275E-001,-5.4021571E-003, 1.1400077E-002, 2.0000000E+000
 2.9200000E-001, 1.1154548E-001, 5.9486345E-001,-2.0019174E-002, 1.0577047E-002, 1.0000000E+000
 2.9400000E-001, 1.1077521E-001, 6.0028576E-001,-3.3544686E-002, 9.6266940E-003, 1.0000000E+000
 2.9600000E-001, 1.0984664E-001, 6.0572504E-001,-4.6449472E-002, 9.1772125E-003, 1.0000000E+000
 2.9800000E-001, 1.0872754E-001, 6.1121981E-001,-5.9149489E-002, 9.2302158E-003, 1.0000000E+000
 3.0000000E-001, 1.0741732E-001, 6.1682139E-001,-7.1532775E-002, 8.7755284E-003, 1.0000000E+000
 3.0200000E-001, 1.0529498E-001, 6.2252664E-001,-1.2063358E-001, 1.1576201E-002, 2.0000000E+000
 3.0400000E-001, 1.0306165E-001, 6.2842419E-001,-1.5649839E-001, 1.0827979E-002, 2.0000000E+000
 3.0600000E-001, 1.0101043E-001, 6.3446750E-001,-1.6196054E-001, 9.7420450E-003, 1.0000000E+000
 3.0800000E-001, 9.9210107E-002, 6.4051202E-001,-1.6225200E-001, 8.5378651E-003, 1.0000000E+000
 3.1000000E-001, 9.7600765E-002, 6.4648980E-001,-1.5977618E-001, 7.3365384E-003, 1.0000000E+000
 3.1200000E-001, 9.6072622E-002, 6.5241808E-001,-1.5672616E-001, 6.2189493E-003, 1.0000000E+000
 3.1400000E-001, 9.4542197E-002, 6.5836309E-001,-1.5420425E-001, 5.8723502E-003, 1.0000000E+000
 3.1600000E-001, 9.2980638E-002, 6.6439599E-001,-1.5235017E-001, 6.5311351E-003, 1.0000000E+000
 3.1800000E-001, 9.1401232E-002, 6.7056508E-001,-1.5089162E-001, 7.0291269E-003, 1.0000000E+000
 3.2000000E-001, 8.9831977E-002, 6.7688922E-001,-1.4961146E-001, 7.3058300E-003, 1.0000000E+000
 3.2200000E-001, 8.8193651E-002, 6.8327375E-001,-1.4072672E-001, 4.6920859E-003, 1.0000000E+000
 3.2400000E-001, 8.6620896E-002, 6.8992799E-001,-1.4432704E-001, 6.1643054E-003, 1.0000000E+000
 3.2600000E-001, 8.5160480E-002, 6.9674887E-001,-1.4583185E-001, 7.6442750E-003, 1.0000000E+000
 3.2800000E-001, 8.3758420E-002, 7.0365335E-001,-1.4671322E-001, 8.1662607E-003, 1.0000000E+000
 3.3000000E-001, 8.2184582E-002, 7.1049452E-001,-1.4605420E-001, 5.2563140E-003, 1.0000000E+000
 3.3200000E-001, 8.0524208E-002, 7.1757821E-001,-1.5388706E-001, 7.0831551E-003, 1.0000000E+000
 3.3400000E-001, 7.8785129E-002, 7.2483367E-001,-1.5978164E-001, 8.7340704E-003, 1.0000000E+000
 3.3600000E-001, 7.6759164E-002, 7.3210437E-001,-1.6676858E-001, 7.4449740E-003, 1.0000000E+000
 3.3800000E-001, 7.4629173E-002, 7.3959157E-001,-1.7493413E-001, 7.9826528E-003, 1.0000000E+000
 3.4000000E-001, 7.2402623E-002, 7.4719994E-001,-1.8027772E-001, 8.7924636E-003, 1.0000000E+000
 3.4200000E-001, 6.9863419E-002, 7.5474817E-001,-1.8459265E-001, 8.3798393E-003, 1.0000000E+000
 3.4400000E-001, 6.7214345E-002, 7.6246638E-001,-1.9204625E-001, 8.2432590E-003, 1.0000000E+000
 3.4600000E-001, 6.4453337E-002, 7.7024714E-001,-1.9648055E-001, 8.0444218E-003, 1.0000000E+000
 3.4800000E-001, 6.1536503E-002, 7.7799521E-001,-1.9924579E-001, 7.7725611E-003, 1.0000000E+000
 3.5000000E-001, 5.8412483E-002, 7.8565416E-001,-2.0165086E-001, 7.8390145E-003, 1.0000000E+000
 3.5200000E-001, 5.4822016E-002, 7.9304549E-001,-2.0309330E-001, 9.9863752E-003, 1.0000000E+000
 3.5400000E-001, 5.0764522E-002, 8.0029549E-001,-2.1323142E-001, 8.5858570E-003, 2.0000000E+000
 3.5600000E-001, 4.6834948E-002, 8.0770348E-001,-2.1908630E-001, 8.5721698E-003, 1.0000000E+000
 3.5800000E-001, 4.2946926E-002, 8.1502904E-001,-2.2192029E-001, 9.3796468E-003, 1.0000000E+000
 3.6000000E-001, 3.8937194E-002, 8.2204785E-001,-2.2401383E-001, 9.5059924E-003, 1.0000000E+000
 3.6200000E-001, 3.4637703E-002, 8.2862646E-001,-2.2789222E-001, 9.5792198E-003, 1.0000000E+000
 3.6400000E-001, 2.9926338E-002, 8.3471988E-001,-2.3506843E-001, 9.7767619E-003, 1.0000000E+000
 3.6600000E-001, 2.4741692E-002, 8.4032866E-001,-2.4594139E-001, 1.1399836E-002, 1.0000000E+000
 3.6800000E-001, 1.8659411E-002, 8.4521628E-001,-2.8328953E-001, 1.2201781E-002, 1.0000000E+000
 3.7000000E-001, 1.1633769E-002, 8.4943739E-001,-3.2949874E-001, 1.1949766E-002, 2.0000000E+000
 3.7200000E-001, 4.4904289E-003, 8.5333657E-001,-3.7458992E-001, 1.1816513E-002, 1.0000000E+000
 3.7400000E-001,-2.7793799E-003, 8.5687044E-001,-3.9161399E-001, 1.1690890E-002, 1.0000000E+000
 3.7600000E-001,-1.0848404E-002, 8.5973003E-001,-4.4679859E-001, 1.1149714E-002, 1.0000000E+000
 3.7800000E-001,-1.9281578E-002, 8.6213005E-001,-4.6812471E-001, 1.1225563E-002, 1.0000000E+000
 3.8000000E-001,-2.8326734E-002, 8.6396897E-001,-4.9215300E-001, 1.1425166E-002, 1.0000000E+000
 3.8200000E-001,-3.8073422E-002, 8.6521005E-001,-5.1848778E-001, 1.1103241E-002, 1.0000000E+000
 3.8400000E-001,-4.9017720E-002, 8.6577955E-001,-5.9801265E-001, 1.0399240E-002, 1.0000000E+000
 3.8600000E-001,-6.0127105E-002, 8.6589313E-001,-6.1888091E-001, 9.8723985E-003, 1.0000000E+000
 3.8800000E-001,-7.1586355E-002, 8.6543718E-001,-6.4031851E-001, 9.4680961E-003, 1.0000000E+000
 3.9000000E-001,-8.3866226E-002, 8.6430433E-001,-7.0446884E-001, 8.0741923E-003, 1.0000000E+000
 3.9200000E-001,-9.6205686E-002, 8.6255876E-001,-7.1816683E-001, 7.2295708E-003, 1.0000000E+000
 3.9400000E-001,-1.0888093E-001, 8.6009582E-001,-7.3378255E-001, 7.3639932E-003, 1.0000000E+000
 3.9600000E-001,-1.2198653E-001, 8.5687343E-001,-7.5070697E-001, 6.3640889E-003, 1.0000000E+000
 3.9800000E-001,-1.3548888E-001, 8.5287896E-001,-7.6796393E-001, 5.6089134E-003, 1.0000000E+000
 4.0000000E-001,-1.4931187E-001, 8.4809656E-001,-7.8487561E-001, 6.3121272E-003, 1.0000000E+000
 4.0200000E-001,-1.6372907E-001, 8.4253006E-001,-8.3428114E-001, 1.0805165E-002, 1.0000000E+000
 4.0400000E-001,-1.7837652E-001, 8.3613270E-001,-8.5217444E-001, 8.3189227E-003, 2.0000000E+000
 4.0600000E-001,-1.9242120E-001, 8.2877577E-001,-8.4909344E-001, 7.0010517E-003, 1.0000000E+000
 4.0800000E-001,-2.0655760E-001, 8.2039275E-001,-8.5525415E-001, 7.9876014E-003, 1.0000000E+000
 4.1000000E-001,-2.2132251E-001, 8.1106438E-001,-8.9719979E-001, 5.8166599E-003, 1.0000000E+000
 4.1200000E-001,-2.3585229E-001, 8.0071617E-001,-8.9729207E-001, 7.8011291E-003, 1.0000000E+000
 4.1400000E-001,-2.5054191E-001, 7.8933092E-001,-9.0789130E-001, 8.8088859E-003, 1.0000000E+000
 4.1600000E-001,-2.6571876E-001, 7.7699492E-001,-9.6309528E-001, 5.2739242E-003, 1.0000000E+000
 4.1800000E-001,-2.8056708E-001, 7.6355324E-001,-9.6407766E-001, 6.4789592E-003, 1.0000000E+000
 4.2000000E-001,-2.9547772E-001, 7.4903519E-001,-9.7689021E-001, 7.5327300E-003, 1.0000000E+000
 4.2200000E-001,-3.1053459E-001, 7.3352151E-001,-9.9747926E-001, 7.7858621E-003, 1.0000000E+000
 4.2400000E-001,-3.2566528E-001, 7.1708544E-001,-1.0220040E+000, 7.4280916E-003, 1.0000000E+000
 4.2600000E-001,-3.4079071E-001, 6.9977408E-001,-1.0482983E+000, 7.3175073E-003, 1.0000000E+000
 4.2800000E-001,-3.5587476E-001, 6.8162248E-001,-1.0755949E+000, 7.2245870E-003, 1.0000000E+000
 4.3000000E-001,-3.7090842E-001, 6.6267080E-001,-1.1037345E+000, 7.1698755E-003, 1.0000000E+000
 4.3200000E-001,-3.8588200E-001, 6.4296903E-001,-1.1325895E+000, 7.1081021E-003, 1.0000000E+000
 4.3400000E-001,-4.0077064E-001, 6.2257196E-001,-1.1618601E+000, 6.9856255E-003, 1.0000000E+000
 4.3600000E-001,-4.1553435E-001, 6.0153237E-001,-1.1911126E+000, 6.7748965E-003, 1.0000000E+000
 4.3800000E-001,-4.3012463E-001, 5.7989801E-001,-1.2198925E+000, 6.4933040E-003, 1.0000000E+000
 4.4000000E-001,-4.4449101E-001, 5.5771222E-001,-1.2478123E+000, 6.3418593E-003, 1.0000000E+000
 4.4200000E-001,-4.5858477E-001, 5.3501659E-001,-1.2745886E+000, 6.0221322E-003, 1.0000000E+000
 4.4400000E-001,-4.7236028E-001, 5.1185352E-001,-1.3000379E+000, 5.7663795E-003, 1.0000000E+000
 4.4600000E-001,-4.8577518E-001, 4.8826769E-001,-1.3240560E+000, 5.6280692E-003, 1.0000000E+000
 4.4800000E-001,-4.9879039E-001, 4.6430649E-001,-1.3465986E+000, 5.4798971E-003, 1.0000000E+000
 4.5000000E-001,-5.1137045E-001, 4.4001974E-001,-1.3676702E+000, 5.3302858E-003, 1.0000000E+000
 4.5200000E-001,-5.2326294E-001, 4.1555454E-001,-1.4257836E+000, 1.0575283E-002, 1.0000000E+000
 4.5400000E-001,-5.3433197E-001, 3.9078556E-001,-1.4362648E+000, 9.7877404E-003, 2.0000000E+000
 4.5600000E-001,-5.4544150E-001, 3.6559630E-001,-1.4326267E+000, 1.0130901E-002, 1.0000000E+000
 4.5800000E-001,-5.5626002E-001, 3.4024240E-001,-1.4401714E+000, 9.9061453E-003, 1.0000000E+000
 4.6000000E-001,-5.6627359E-001, 3.1494246E-001,-1.4837565E+000, 8.7961522E-003, 1.0000000E+000
 4.6200000E-001,-5.7601088E-001, 2.8953943E-001,-1.4859410E+000, 9.4723891E-003, 1.0000000E+000
