s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.3600000E-001, 2.3939409E-001, 2.8872689E-001, 9.0577834E-002, 4.5662478E-004, 1.0000000E+000, 4.7000000E+001, 5.4144621E-001, 4.6874333E-009
 1.3800000E-001, 2.3916227E-001, 2.9225534E-001, 9.0060697E-002, 4.3970578E-004, 1.0000000E+000, 4.7000000E+001, 5.4150718E-001, 4.7384241E-009
 1.4000000E-001, 2.3890304E-001, 2.9583124E-001, 8.9491019E-002, 4.1565806E-004, 1.0000000E+000, 4.7000000E+001, 5.4154803E-001, 4.7839844E-009
 1.4200000E-001, 2.3861566E-001, 2.9945511E-001, 8.8882659E-002, 4.3360913E-004, 1.0000000E+000, 4.7000000E+001, 5.4156260E-001, 4.8212830E-009
 1.4400000E-001, 2.3829952E-001, 3.0312744E-001, 8.8241234E-002, 4.6559876E-004, 1.0000000E+000, 4.7000000E+001, 5.4155328E-001, 4.8510463E-009
 1.4600000E-001, 2.3795393E-001, 3.0684877E-001, 8.7565495E-002, 4.9581200E-004, 1.0000000E+000, 4.7000000E+001, 5.4153406E-001, 4.8789832E-009
 1.4800000E-001, 2.3757817E-001, 3.1061971E-001, 8.6852002E-002, 5.2421323E-004, 1.0000000E+000, 4.7000000E+001, 5.4148361E-001, 4.8959010E-009
 1.5000000E-001, 2.3717145E-001, 3.1444091E-001, 8.6098808E-002, 5.5024128E-004, 1.0000000E+000, 4.7000000E+001, 5.4141054E-001, 4.9052398E-009
 1.5200000E-001, 2.3544714E-001, 3.1761560E-001,-4.7305411E-002, 1.3002803E-003, 1.0000000E+000, 4.7000000E+001, 5.4023309E-001, 4.4453125E-009
 1.5400000E-001, 2.3395992E-001, 3.2060112E-001,-3.3260921E-002, 1.5593914E-003, 1.0000000E+000, 4.7000000E+001, 5.3870207E-001, 3.8937750E-009
 1.5600000E-001, 2.3254028E-001, 3.2358316E-001,-2.7457452E-002, 9.1582546E-004, 1.0000000E+000, 4.7000000E+001, 5.3822586E-001, 3.7463992E-009
 1.5800000E-001, 2.3106110E-001, 3.2664004E-001,-2.8389722E-002, 6.4394687E-004, 1.0000000E+000, 4.7000000E+001, 5.3841475E-001, 3.8320835E-009
 1.6000000E-001, 2.2948180E-001, 3.2977596E-001,-3.2056589E-002, 1.0681632E-003, 1.0000000E+000, 4.7000000E+001, 5.3856799E-001, 3.9150270E-009
 1.6200000E-001, 2.2782165E-001, 3.3297103E-001,-3.5399692E-002, 9.5112181E-004, 1.0000000E+000, 4.7000000E+001, 5.3867699E-001, 3.9847616E-009
 1.6400000E-001, 2.2611719E-001, 3.3620658E-001,-3.7270737E-002, 6.1310700E-004, 1.0000000E+000, 4.7000000E+001, 5.3850017E-001, 3.9524781E-009
 1.6600000E-001, 2.2439372E-001, 3.3947275E-001,-3.7955548E-002, 4.7449546E-004, 1.0000000E+000, 4.7000000E+001, 5.3819139E-001, 3.8727583E-009
 1.6800000E-001, 2.2265768E-001, 3.4276822E-001,-3.8257664E-002, 5.7607976E-004, 1.0000000E+000, 4.7000000E+001, 5.3784803E-001, 3.7825257E-009
 1.7000000E-001, 2.2090294E-001, 3.4609666E-001,-3.8797664E-002, 5.5612381E-004, 1.0000000E+000, 4.7000000E+001, 5.3751879E-001, 3.6996734E-009
 1.7200000E-001, 2.1912061E-001, 3.4946258E-001,-3.9765196E-002, 5.0638333E-004, 1.0000000E+000, 4.7000000E+001, 5.3720757E-001, 3.6252364E-009
 1.7400000E-001, 2.1730543E-001, 3.5286884E-001,-4.1026929E-002, 4.8500224E-004, 1.0000000E+000, 4.7000000E+001, 5.3690240E-001, 3.5545879E-009
 1.7600000E-001, 2.1545698E-001, 3.5631612E-001,-4.2356997E-002, 5.0097234E-004, 1.0000000E+000, 4.7000000E+001, 5.3659285E-001, 3.4838431E-009
 1.7800000E-001, 2.1357763E-001, 3.5980383E-001,-4.3603721E-002, 5.3527186E-004, 1.0000000E+000, 4.7000000E+001, 5.3627546E-001, 3.4117229E-009
 1.8000000E-001, 2.1167005E-001, 3.6333131E-001,-4.4732494E-002, 5.6649350E-004, 1.0000000E+000, 4.7000000E+001, 5.3594884E-001, 3.3378954E-009
 1.8200000E-001, 2.0973582E-001, 3.6689837E-001,-4.5782963E-002, 5.8411428E-004, 1.0000000E+000, 4.7000000E+001, 5.3562000E-001, 3.2645802E-009
 1.8400000E-001, 2.0777541E-001, 3.7050539E-001,-4.6807339E-002, 5.8871236E-004, 1.0000000E+000, 4.7000000E+001, 5.3529351E-001, 3.1931394E-009
 1.8600000E-001, 2.0578879E-001, 3.7415292E-001,-4.7833627E-002, 5.8597324E-004, 1.0000000E+000, 4.7000000E+001, 5.3497745E-001, 3.1257323E-009
 1.8800000E-001, 2.0377602E-001, 3.7784146E-001,-4.8861472E-002, 5.8104152E-004, 1.0000000E+000, 4.7000000E+001, 5.3467724E-001, 3.0635928E-009
 1.9000000E-001, 2.0173756E-001, 3.8157130E-001,-4.9876244E-002, 5.7611943E-004, 1.0000000E+000, 4.7000000E+001, 5.3440138E-001, 3.0086716E-009
 1.9200000E-001, 1.9967415E-001, 3.8534256E-001,-5.0864144E-002, 5.7093351E-004, 1.0000000E+000, 4.7000000E+001, 5.3415636E-001, 2.9622849E-009
 1.9400000E-001, 1.9758667E-001, 3.8915523E-001,-5.1819389E-002, 5.6432448E-004, 1.0000000E+000, 4.7000000E+001, 5.3394972E-001, 2.9259916E-009
 1.9600000E-001, 1.9547601E-001, 3.9300930E-001,-5.2743560E-002, 5.5550331E-004, 1.0000000E+000, 4.7000000E+001, 5.3378878E-001, 2.9012990E-009
 1.9800000E-001, 1.9334297E-001, 3.9690471E-001,-5.3641461E-002, 5.4445021E-004, 1.0000000E+000, 4.7000000E+001, 5.3367751E-001, 2.8889292E-009
 2.0000000E-001, 1.9118835E-001, 4.0084136E-001,-5.4517592E-002, 5.3167517E-004, 1.0000000E+000, 4.7000000E+001, 5.3362158E-001, 2.8901560E-009
 2.0200000E-001, 1.8786474E-001, 4.0412682E-001,-1.7448585E-001, 1.6640669E-003, 1.0000000E+000, 4.7000000E+001, 5.3397999E-001, 2.9883305E-009
 2.0400000E-001, 1.8472503E-001, 4.0721684E-001,-1.6502792E-001, 1.7641086E-003, 1.0000000E+000, 4.7000000E+001, 5.3680777E-001, 3.8327068E-009
 2.0600000E-001, 1.8164909E-001, 4.1029059E-001,-1.6091603E-001, 1.1786364E-003, 1.0000000E+000, 4.7000000E+001, 5.3762666E-001, 4.1221658E-009
 2.0800000E-001, 1.7854151E-001, 4.1342093E-001,-1.6159448E-001, 4.8699203E-004, 1.0000000E+000, 4.7000000E+001, 5.3746202E-001, 4.0719921E-009
