s,m/s,
Time,"error","iter"
 4.6026144E+000, 3.2556344E-003, 1.0000000E+000
 4.6179756E+000, 3.1380495E-003, 1.0000000E+000
 4.6333368E+000, 3.0056038E-003, 1.0000000E+000
 4.6486979E+000, 2.8592211E-003, 1.0000000E+000
 4.6640591E+000, 3.0443057E-003, 1.0000000E+000
 4.6794202E+000, 3.9734470E-003, 1.0000000E+000
 4.6947814E+000, 4.9061960E-003, 1.0000000E+000
 4.7101426E+000, 5.7632016E-003, 1.0000000E+000
 4.7255037E+000, 6.5052338E-003, 1.0000000E+000
 4.7408649E+000, 7.0957055E-003, 1.0000000E+000
 4.7562260E+000, 7.5029772E-003, 1.0000000E+000
 4.7715872E+000, 7.7029120E-003, 1.0000000E+000
 4.7869483E+000, 7.6814693E-003, 1.0000000E+000
 4.8023095E+000, 7.4369103E-003, 1.0000000E+000
 4.8176707E+000, 6.9809271E-003, 1.0000000E+000
 4.8330318E+000, 6.3380885E-003, 1.0000000E+000
 4.8483930E+000, 5.5432875E-003, 1.0000000E+000
 4.8637541E+000, 4.6374449E-003, 1.0000000E+000
 4.8775788E+000, 2.4116540E-003, 1.0000000E+000
 4.8914034E+000, 2.4285731E-003, 1.0000000E+000
 4.9052281E+000, 2.7473145E-003, 1.0000000E+000
 4.9190527E+000, 2.9384631E-003, 1.0000000E+000
 4.9328774E+000, 3.2820157E-003, 1.0000000E+000
 4.9467020E+000, 3.4855773E-003, 1.0000000E+000
 4.9605267E+000, 3.5259981E-003, 1.0000000E+000
 4.9743513E+000, 3.4468355E-003, 1.0000000E+000
 4.9881759E+000, 3.2944153E-003, 1.0000000E+000
 5.0020006E+000, 3.0912750E-003, 1.0000000E+000
 5.0158252E+000, 3.5963170E-003, 1.0000000E+000
 5.0296499E+000, 4.1571050E-003, 1.0000000E+000
 5.0434745E+000, 4.6797326E-003, 1.0000000E+000
 5.0572992E+000, 5.1548629E-003, 1.0000000E+000
 5.0711238E+000, 5.5719031E-003, 1.0000000E+000
 5.0849485E+000, 5.9188514E-003, 1.0000000E+000
 5.0987731E+000, 6.1831448E-003, 1.0000000E+000
 5.1125978E+000, 6.3529599E-003, 1.0000000E+000
 5.1264224E+000, 6.4185339E-003, 1.0000000E+000
 5.1402470E+000, 6.3733170E-003, 1.0000000E+000
 5.1540717E+000, 6.2148072E-003, 1.0000000E+000
 5.1678963E+000, 5.9450784E-003, 1.0000000E+000
 5.1817210E+000, 5.5708911E-003, 1.0000000E+000
 5.1955456E+000, 5.1034332E-003, 1.0000000E+000
 5.2093703E+000, 4.5577016E-003, 1.0000000E+000
 5.2231949E+000, 3.9650758E-003, 1.0000000E+000
 5.2370196E+000, 3.9512681E-003, 1.0000000E+000
 5.2508442E+000, 3.8759530E-003, 1.0000000E+000
 5.2646689E+000, 4.0775690E-003, 1.0000000E+000
 5.2784935E+000, 4.3756670E-003, 1.0000000E+000
 5.2923182E+000, 4.6279869E-003, 1.0000000E+000
 5.3061428E+000, 4.8250550E-003, 1.0000000E+000
 5.3199674E+000, 4.9599670E-003, 1.0000000E+000
 5.3337921E+000, 5.0288006E-003, 1.0000000E+000
 5.3476167E+000, 5.0306889E-003, 1.0000000E+000
 5.3614414E+000, 4.9677077E-003, 1.0000000E+000
 5.3752660E+000, 4.8444990E-003, 1.0000000E+000
 5.3890907E+000, 4.6676868E-003, 1.0000000E+000
 5.4029153E+000, 4.4452221E-003, 1.0000000E+000
 5.4167400E+000, 4.1856989E-003, 1.0000000E+000
 5.4305646E+000, 3.8977299E-003, 1.0000000E+000
 5.4443893E+000, 3.5894424E-003, 1.0000000E+000
 5.4582139E+000, 3.2680678E-003, 1.0000000E+000
 5.4720385E+000, 2.9397208E-003, 1.0000000E+000
 5.4858632E+000, 2.6093077E-003, 1.0000000E+000
 5.4996878E+000, 2.2805512E-003, 1.0000000E+000
 5.5135125E+000, 2.1866935E-003, 1.0000000E+000
 5.5273371E+000, 2.3291769E-003, 1.0000000E+000
 5.5411618E+000, 2.4450280E-003, 1.0000000E+000
 5.5549864E+000, 2.5408938E-003, 1.0000000E+000
 5.5688111E+000, 2.6242201E-003, 1.0000000E+000
 5.5826357E+000, 2.7027644E-003, 1.0000000E+000
 5.5964604E+000, 2.7840651E-003, 1.0000000E+000
 5.6102850E+000, 2.8749155E-003, 1.0000000E+000
 5.6241096E+000, 2.9808229E-003, 1.0000000E+000
 5.6379343E+000, 3.1055388E-003, 1.0000000E+000
 5.6517589E+000, 3.3322980E-003, 1.0000000E+000
 5.6655836E+000, 3.7534876E-003, 1.0000000E+000
 5.6794082E+000, 4.2359244E-003, 1.0000000E+000
 5.6932329E+000, 4.7777429E-003, 1.0000000E+000
 5.7070575E+000, 5.3743380E-003, 1.0000000E+000
 5.7208822E+000, 6.0180856E-003, 1.0000000E+000
 5.7347068E+000, 6.6982478E-003, 1.0000000E+000
 5.7485315E+000, 7.4010663E-003, 1.0000000E+000
 5.7623561E+000, 8.1101111E-003, 1.0000000E+000
 5.7761808E+000, 8.8067675E-003, 1.0000000E+000
 5.7900054E+000, 9.4707942E-003, 1.0000000E+000
 5.8038300E+000, 1.0080909E-002, 1.0000000E+000
 5.8176547E+000, 1.0615326E-002, 1.0000000E+000
 5.8314793E+000, 1.1052227E-002, 1.0000000E+000
 5.8453040E+000, 1.1370146E-002, 1.0000000E+000
 5.8591286E+000, 1.1548399E-002, 1.0000000E+000
 5.8729533E+000, 1.1567486E-002, 1.0000000E+000
 5.8867779E+000, 1.1409674E-002, 1.0000000E+000
 5.9006026E+000, 1.1059755E-002, 1.0000000E+000
 5.9127064E+000, 7.6267282E-003, 1.0000000E+000
 5.9248103E+000, 7.1326053E-003, 1.0000000E+000
 5.9369141E+000, 7.0732957E-003, 1.0000000E+000
 5.9490180E+000, 6.5607383E-003, 1.0000000E+000
 5.9597537E+000, 4.3823222E-003, 1.0000000E+000
 5.9704893E+000, 3.7168769E-003, 1.0000000E+000
 5.9812250E+000, 3.2528175E-003, 1.0000000E+000
 5.9919607E+000, 3.2058417E-003, 1.0000000E+000
 6.0026963E+000, 3.1984548E-003, 1.0000000E+000
 6.0134320E+000, 3.2007139E-003, 1.0000000E+000
 6.0241677E+000, 3.2357195E-003, 1.0000000E+000
 6.0337929E+000, 2.7189428E-003, 1.0000000E+000
 6.0434181E+000, 2.7677116E-003, 1.0000000E+000
 6.0530432E+000, 2.8752109E-003, 1.0000000E+000
 6.0626684E+000, 2.8245656E-003, 1.0000000E+000
 6.0722936E+000, 2.6523474E-003, 1.0000000E+000
 6.0819188E+000, 2.9196440E-003, 1.0000000E+000
 6.0915440E+000, 3.2801882E-003, 1.0000000E+000
 6.1011692E+000, 3.5937073E-003, 1.0000000E+000
 6.1107943E+000, 3.8655478E-003, 1.0000000E+000
 6.1204195E+000, 4.0931400E-003, 1.0000000E+000
 6.1300447E+000, 4.2732756E-003, 1.0000000E+000
 6.1396699E+000, 4.4052322E-003, 1.0000000E+000
 6.1492951E+000, 4.4911364E-003, 1.0000000E+000
 6.1589203E+000, 4.5356629E-003, 1.0000000E+000
 6.1695080E+000, 5.0642481E-003, 1.0000000E+000
 6.1800957E+000, 5.5287138E-003, 1.0000000E+000
 6.1906834E+000, 5.6597698E-003, 1.0000000E+000
 6.2012711E+000, 5.5665587E-003, 1.0000000E+000
 6.2118588E+000, 5.4187662E-003, 1.0000000E+000
 6.2224465E+000, 5.3132280E-003, 1.0000000E+000
 6.2330342E+000, 5.2763525E-003, 1.0000000E+000
 6.2436219E+000, 5.3021723E-003, 1.0000000E+000
 6.2542096E+000, 5.3771060E-003, 1.0000000E+000
 6.2636837E+000, 4.2835446E-003, 1.0000000E+000
 6.2731579E+000, 4.2388189E-003, 1.0000000E+000
 6.2826320E+000, 4.5810772E-003, 1.0000000E+000
 6.2921062E+000, 4.9075114E-003, 1.0000000E+000
 6.3015803E+000, 5.1144049E-003, 1.0000000E+000
 6.3110545E+000, 5.2326500E-003, 1.0000000E+000
 6.3205286E+000, 5.3096474E-003, 1.0000000E+000
 6.3300027E+000, 5.3736186E-003, 1.0000000E+000
 6.3394769E+000, 5.4370174E-003, 1.0000000E+000
 6.3489510E+000, 5.5044583E-003, 1.0000000E+000
 6.3584252E+000, 5.5756828E-003, 1.0000000E+000
 6.3678993E+000, 5.6460866E-003, 1.0000000E+000
 6.3773735E+000, 5.7077659E-003, 1.0000000E+000
 6.3868476E+000, 5.7514516E-003, 1.0000000E+000
 6.3963218E+000, 5.7684558E-003, 1.0000000E+000
 6.4067433E+000, 6.3198200E-003, 1.0000000E+000
 6.4171649E+000, 6.7656087E-003, 1.0000000E+000
 6.4275865E+000, 6.8200433E-003, 1.0000000E+000
 6.4380080E+000, 6.6229976E-003, 1.0000000E+000
 6.4484296E+000, 6.3324213E-003, 1.0000000E+000
 6.4588512E+000, 6.0066346E-003, 1.0000000E+000
 6.4692727E+000, 5.6434714E-003, 1.0000000E+000
 6.4796943E+000, 5.2323596E-003, 1.0000000E+000
 6.4901158E+000, 4.7728867E-003, 1.0000000E+000
 6.5005374E+000, 4.2719894E-003, 1.0000000E+000
 6.5109590E+000, 3.7385927E-003, 1.0000000E+000
 6.5213805E+000, 3.1823373E-003, 1.0000000E+000
 6.5318021E+000, 2.6147108E-003, 1.0000000E+000
 6.5422237E+000, 2.0497394E-003, 1.0000000E+000
 6.5526452E+000, 2.1750886E-003, 1.0000000E+000
 6.5630668E+000, 2.3631011E-003, 1.0000000E+000
 6.5734883E+000, 2.5484419E-003, 1.0000000E+000
 6.5839099E+000, 2.7220512E-003, 1.0000000E+000
 6.5943315E+000, 2.8758494E-003, 1.0000000E+000
 6.6047530E+000, 3.0030017E-003, 1.0000000E+000
 6.6151746E+000, 3.0978314E-003, 1.0000000E+000
 6.6255962E+000, 3.1556086E-003, 1.0000000E+000
 6.6360177E+000, 3.1723238E-003, 1.0000000E+000
 6.6474814E+000, 3.2837236E-003, 1.0000000E+000
 6.6589452E+000, 3.5291403E-003, 1.0000000E+000
 6.6715553E+000, 3.8066961E-003, 1.0000000E+000
 6.6841653E+000, 3.9806302E-003, 1.0000000E+000
 6.6967754E+000, 3.7871366E-003, 1.0000000E+000
 6.7093855E+000, 3.2495411E-003, 1.0000000E+000
 6.7219956E+000, 2.5225747E-003, 1.0000000E+000
 6.7346057E+000, 2.5629716E-003, 1.0000000E+000
 6.7472158E+000, 2.6758856E-003, 1.0000000E+000
 6.7598259E+000, 2.7520735E-003, 1.0000000E+000
 6.7724360E+000, 2.7871610E-003, 1.0000000E+000
 6.7850461E+000, 2.7855941E-003, 1.0000000E+000
 6.7976562E+000, 2.7541403E-003, 1.0000000E+000
 6.8102663E+000, 2.6986128E-003, 1.0000000E+000
 6.8228763E+000, 2.6236081E-003, 1.0000000E+000
 6.8354864E+000, 2.5333987E-003, 1.0000000E+000
 6.8480965E+000, 2.6328315E-003, 1.0000000E+000
 6.8607066E+000, 2.9616995E-003, 1.0000000E+000
